Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33372936,"20:01, 4 May 2025",MiscBot,False,addition,active,,232,(Automatic external link checking: updating and/or deleting links that are broken)
32715229,"16:49, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32686682,"19:33, 30 July 2024",Zygomatt,False,revert,active,,-87,(Reverted edits by Richard Gastmeier (Talk); changed back to last version by Seymour Edits)
32686661,"19:04, 30 July 2024",Richard Gastmeier,False,deletion,reverted,Zygomatt,-2,(Syntax Cleanup)
32686659,"19:01, 30 July 2024",Richard Gastmeier,False,sourcing,reverted,Zygomatt,89,(Reference addition)
32685216,"03:34, 30 July 2024",Seymour Edits,False,addition,reverted,Zygomatt,117,(Added expert citations.)
32115310,"15:42, 4 December 2023",Agusbou2015,False,revert,active,,10296,(RCP reverted edits by 165.138.9.2 (talk) to  revision #28102417 by Wikivisual)
32115207,"15:14, 4 December 2023",165.138.9.2,False,major_deletion,reverted,Agusbou2015,-10296,(Replacing page with 'Dont.')
28102417,"15:16, 11 May 2020",Wikivisual,False,addition,reverted,Agusbou2015,140,(Saving new step-by-step photos)
28101568,"13:47, 11 May 2020",Wikivisual,False,addition,reverted,Agusbou2015,491,(Saving new step-by-step photos)
28065685,"10:34, 3 May 2020",WikiHow Projects,False,addition,active,,214,(added images)
28058731,"12:26, 1 May 2020",Seymour Edits,False,sourcing,reverted,Zygomatt,468,"(Added new section, streamlined intro, replaced source.)"
28047983,"19:52, 28 April 2020",JJDaniels,False,addition,active,,61,(categorization)
28047668,"18:44, 28 April 2020",WRM,False,major_addition,active,,8927,(Created new article.)
