Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34095346,"19:28, 19 February 2026",MiscBot,False,deletion,active,,-94,(Removing Related Articles section)
34079660,"02:27, 19 February 2026",MiscBot,False,revert,active,,98,(Reverting the Related Articles section removal)
34063805,"19:17, 18 February 2026",MiscBot,False,deletion,active,,-98,(Removing Related Articles section)
33959077,"18:15, 7 January 2026",Dec8ying_Mem0ries,False,revert,active,,16985,(RCP reverted edits by 216.12.50.118 (talk) to  revision #33906739 by Tiagoroth)
33959035,"18:07, 7 January 2026",216.12.50.118,False,major_deletion,reverted,Dec8ying_Mem0ries,-16985,(Replacing page with 'Just build the building that needs to be built in the time it needs to be built you can build it you name bob like corn on cob not building is corn so build built building')
33906739,"14:29, 16 December 2025",Tiagoroth,False,revert,reverted,Dec8ying_Mem0ries,13701,(RCP reverted edits by Supertech India (talk) to  revision #33442453 by ICanGuessItLol)
33905534,"07:53, 16 December 2025",Supertech India,False,major_deletion,reverted,Tiagoroth,-13701,
33442453,"00:03, 2 June 2025",ICanGuessItLol,False,revert,reverted,Tiagoroth,-30,(RCP reverted edits by 24.217.197.9 (talk) to  revision #33335719 by MiscBot)
33442447,"23:54, 1 June 2025",24.217.197.9,False,addition,reverted,ICanGuessItLol,30,(Roblox)
33335719,"05:00, 21 April 2025",MiscBot,False,deletion,reverted,ICanGuessItLol,-79,(Automatic external link checking: updating and/or deleting links that are broken)
33179090,"18:42, 24 February 2025",MiscBot,False,addition,reverted,ICanGuessItLol,19,(Adding Horizontal TOC magic word)
33132770,"07:53, 8 February 2025",Tiagoroth,False,revert,reverted,Dec8ying_Mem0ries,15807,(RCP reverted edits by Bulgarian Dramas (talk) to  revision #32888748 by WikiHow Horizon)
33132758,"07:50, 8 February 2025",Bulgarian Dramas,False,major_deletion,reverted,Tiagoroth,-15807,"(Replacing page with ''''Step-by-Step Guide to Building a Building''' Building a structure requires careful planning, legal permissions, and execution. Follow these steps for a successful project...')"
32888748,"21:28, 26 October 2024",WikiHow Horizon,False,deletion,reverted,Tiagoroth,-98,(Updated link/s)
32389867,"17:23, 25 March 2024",Eric,False,revert,active,,-17,(Reverted edits by 144.121.122.145 (Talk); changed back to last version by Alabaster)
32389844,"17:14, 25 March 2024",144.121.122.145,False,addition,reverted,Eric,17,
32335368,"10:12, 4 March 2024",Alabaster,False,revert,reverted,Eric,-189,(RCP reverted edits by Amitpatana (talk) to  revision #32178508 by Iris8989)
32334924,"07:51, 4 March 2024",Amitpatana,False,addition,reverted,Alabaster,189,
32178508,"20:00, 2 January 2024",Iris8989,False,revert,reverted,Alabaster,14312,(Reverted edits by Northern Steel Building (Talk); changed back to last version by Thomas_Ch)
32178507,"20:00, 2 January 2024",Northern Steel Building,False,addition,reverted,Iris8989,15,
32178506,"19:59, 2 January 2024",Northern Steel Building,False,major_deletion,reverted,Iris8989,-14327,
31962550,"17:27, 27 September 2023",Thomas_Ch,False,addition,reverted,Iris8989,88,(added expert method video)
31339372,"20:38, 8 February 2023",ICanGuessItLol,False,revert,reverted,Tiagoroth,-88,(Reverted edits by 105.67.128.101 (Talk); changed back to last version by Seymour Edits)
31339369,"20:38, 8 February 2023",105.67.128.101,False,addition,reverted,ICanGuessItLol,88,
30932735,"12:23, 3 October 2022",Seymour Edits,False,addition,reverted,ICanGuessItLol,200,(Added expert citations)
29164039,"18:30, 2 February 2021",R2_d2000,False,revert,active,,2351,(Reverted edits by 204.29.67.194 (Talk); changed back to last version by Seymour Edits)
29164037,"18:30, 2 February 2021",204.29.67.194,False,major_deletion,reverted,R2_d2000,-2351,
28280910,"09:15, 23 June 2020",Seymour Edits,False,sourcing,reverted,ICanGuessItLol,-152,(Deleted bad source for the wikiHaus content team)
26258530,"23:55, 28 March 2019",MiscBot,False,sourcing,reverted,ICanGuessItLol,-11,(Updating References section name to match new sitewide conventions)
25503599,"13:11, 29 October 2018",Wikivisual,False,major_addition,active,,1071,(Saving new step-by-step photos)
25444040,"21:14, 18 October 2018",Seymour Edits,False,addition,reverted,ICanGuessItLol,135,(Added the Summary template to this article)
25382504,"20:12, 8 October 2018",Seymour Edits,False,addition,reverted,ICanGuessItLol,371,(Edited content)
25359225,"20:09, 4 October 2018",Seymour Edits,False,major_addition,reverted,ICanGuessItLol,14731,(Added content and sourcing)
24092578,"05:15, 24 February 2018",WikiHow Intern,False,deletion,active,,-18,(Change to appropriate sub-category)
22853255,"00:32, 17 July 2017",Flickety,False,deletion,active,,-9,(Change to appropriate sub-category)
21425839,"21:20, 30 November 2016",Flickety,False,addition,active,,46,(Change to appropriate sub-category)
18445643,"16:32, 16 September 2015",Chris H,False,deletion,active,,-27,"(remove stub, queued for editing)"
18436759,"06:30, 15 September 2015",Flickety,False,addition,active,,27,"(NFD, this is not sufficient for a stub, it's completely inadequate)"
4275930,"20:35, 8 February 2010",DifuWu,False,addition,active,,47,(categorization)
4274387,"03:19, 8 February 2010",Ttrimm,False,deletion,active,,-7,(editing article via New Article Boost feature)
4273486,"23:15, 7 February 2010",Daniel123,False,major_addition,active,,822,(Creating new article)
