Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33514428,"09:00, 26 June 2025",MiscBot,False,deletion,active,,-70,(Automatic external link checking: updating and/or deleting links that are broken)
32606254,"18:33, 25 June 2024",WikiHow Projects,False,addition,active,,79,(add internal links)
32560556,"18:47, 7 June 2024",Seymour Edits,False,addition,active,,320,(Added AB treatment)
32559442,"12:00, 7 June 2024",WikiHow Horizon,False,deletion,active,,-113,(Removing broken link/s)
32204810,"19:34, 12 January 2024",Stevecon,False,addition,active,,323,"(Some corrections / clarifications re: AC ""watts"" & Power Factor /  DC rectification..)"
32117750,"16:50, 5 December 2023",WikiHow Horizon,False,deletion,active,,-122,(Removing broken links)
31429940,"19:58, 11 March 2023",WikiHow Projects,False,deletion,active,,-87,(removing broken link)
30891362,"18:09, 19 September 2022",Seymour Edits,False,sourcing,active,,-8,(Replaced bad references for wikiHaus content team)
29514236,"09:56, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28560817,"03:38, 2 September 2020",WikiHow Projects,False,deletion,active,,-115,(removing broken link)
28181269,"16:31, 29 May 2020",WikiHow Expert Review,False,major_addition,active,,798,(Integrated tips from NCA)
27070656,"17:46, 12 September 2019",WikiHow Expert Review,False,addition,active,,4,(Incorporating expert feedback)
27022906,"15:35, 3 September 2019",WikiHow Expert Review,False,addition,active,,192,(Incorporating expert feedback)
27014610,"09:56, 1 September 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26797230,"09:27, 15 July 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26748085,"00:37, 2 July 2019",Christy17,False,revert,active,,298,(Reverted edits by Tyler Timler (Talk); changed back to last version by WikiHow Expert Review)
26748035,"00:15, 2 July 2019",Tyler Timler,False,revert,reverted,Christy17,-298,(RCP reverted edits by WikiHow Expert Review (talk) to  revision #26276000 by MiscBot)
26748030,"00:13, 2 July 2019",WikiHow Expert Review,False,addition,reverted,Christy17,298,(Incorporating expert feedback)
26276000,"01:16, 29 March 2019",MiscBot,False,sourcing,reverted,Tyler Timler,-9,(Updating References section name to match new sitewide conventions)
26026782,"10:10, 13 February 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25880911,"10:18, 14 January 2019",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
25501963,"07:13, 29 October 2018",Upnorth Here,False,cleanup,active,,2264,"(spellings and expand concepts of derating for continuous loads, add tips)"
24716059,"02:00, 8 June 2018",WikiHow Projects,False,deletion,active,,-46,(updating to current link)
24622404,"15:52, 21 May 2018",Seymour Edits,False,addition,active,,156,(Added the Summary template to this article)
23826864,"15:15, 7 January 2018",WikiHow Horizon,False,deletion,active,,-2,(→‎Steps)
21297654,"21:24, 7 November 2016",Flickety,False,addition,active,,12,(Add relevant sub-cat)
21291819,"23:47, 6 November 2016",Flickety,False,addition,active,,51,(Add relevant sub-cat)
20646827,"06:23, 24 July 2016",WikiHow Projects,False,deletion,active,,-232,(removing broken link)
19398381,"03:34, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-147,(Removing redundant wikitext from Related wikiHows section)
18658841,"18:01, 15 October 2015",Wikivisual,False,major_addition,active,,1163,(Saving new step-by-step photos)
18540135,"00:45, 30 September 2015",Myles_Schaller,False,major_addition,active,,7943,(expanding)
18037920,"17:24, 28 July 2015",MiscBot,False,deletion,reverted,Tyler Timler,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17909378,"20:59, 24 July 2015",InterwikiBot,False,deletion,active,,-157,"(Removing interwiki links, no longer needed in wikitext)"
13909269,"17:57, 12 June 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13618438,"17:17, 15 May 2014",InterwikiBot,False,addition,active,,46,(Adding interwiki link)
13273481,"17:20, 11 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13152394,"02:23, 1 April 2014",InterwikiBot,False,addition,active,,51,(Adding interwiki link)
12635395,"20:38, 8 February 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12339049,"18:01, 8 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12050615,"18:23, 9 December 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11898113,"17:34, 24 November 2013",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
11558743,"21:36, 26 October 2013",Votebot,False,addition,active,,3,(reordering tips and warnings based on votes)
10935778,"17:13, 27 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10751695,"16:18, 8 August 2013",WikiHowUser20221012045502,False,addition,active,,6,(Updating old title link to reflect current article redirect)
10706606,"01:51, 7 August 2013",MiscBot,False,deletion,reverted,Tyler Timler,-14,(Removing nointroimg template)
10605634,"15:41, 28 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10512775,"23:43, 18 July 2013",Wikiphoto,False,addition,active,,14,(Adding {{nointroimg}} template and removing intro images)
10507243,"12:26, 18 July 2013",Wikiphoto,False,addition,active,,46,(Enlarging and centering Steps photos)
10507242,"12:26, 18 July 2013",Wikiphoto,False,addition,active,,350,(Saving new step-by-step photos)
10464733,"16:51, 13 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9004035,"17:31, 11 January 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
8405279,"00:10, 10 September 2012",WikiHow Traduce,False,addition,active,,60,
7995907,"21:21, 27 June 2012",Dartmouthmusic,False,deletion,active,,-55,(Edit via Quality Guardian: Removed image that didn't perfectly match the text.)
7993104,"10:57, 27 June 2012",Genius_knight,False,addition,active,,56,(Edit via Image Picker: Added an image)
7559208,"02:45, 8 April 2012",Ttrimm,False,addition,active,,32,(Adding related wikihow from NAB)
7042374,"11:26, 24 December 2011",BR,False,revert,active,,-61,(Reverted edits by Kirstie Younger (Talk); changed back to last version by Stevecon)
7042182,"09:17, 24 December 2011",Kirstie Younger,False,addition,reverted,BR,61,(Edit via Image Picker: Added an image)
6573857,"17:23, 31 August 2011",Stevecon,False,addition,reverted,BR,314,(→‎Warnings:  80% rule)
6573842,"17:20, 31 August 2011",Stevecon,False,deletion,reverted,BR,-244,(→‎Steps)
6573838,"17:18, 31 August 2011",Stevecon,False,addition,reverted,BR,72,(→‎Steps:   bolding)
6573828,"17:16, 31 August 2011",Stevecon,False,major_addition,reverted,BR,812,"(→‎Steps:  additional info, definitions, calculations and examples.)"
2931031,"13:20, 29 December 2008",199.44.92.178,False,addition,active,,1,
