Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34076790,"01:44, 19 February 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Identify Asbestos Insulation"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33338565,"19:46, 21 April 2025",Seymour Edits,False,deletion,active,,-8,(Shortened header)
32584818,"10:03, 18 June 2024",WikiHow Horizon,False,deletion,active,,-10,(Updated link/s)
32474939,"17:04, 30 April 2024",WikiHow Projects,False,deletion,active,,-60,(removing broken link)
31231484,"11:50, 5 January 2023",Seymour Edits,False,addition,active,,126,(Added expert citations)
31174830,"08:16, 16 December 2022",WikiHow Projects,False,deletion,active,,-197,(removing broken link)
31174827,"08:13, 16 December 2022",WikiHow Projects,False,deletion,active,,-82,(updating link)
31127486,"13:09, 2 December 2022",Eric,False,revert,active,,-1,(Reverted edits by 43.251.252.221 (Talk); changed back to last version by Wikivisual)
30097225,"18:22, 28 November 2021",43.251.252.221,False,addition,reverted,Eric,1,
26904630,"16:11, 5 August 2019",Wikivisual,False,major_addition,reverted,Eric,729,(Saving new step-by-step photos)
26785303,"16:39, 11 July 2019",Kyle Hall,False,cleanup,active,,1,(fixed minor typo.)
26784245,"11:16, 11 July 2019",Seymour Edits,False,major_addition,active,,2768,(researched and added new section; re organized article; added steps; clarified language; proofread)
26781303,"13:40, 10 July 2019",Christy17,False,addition,active,,25,(categorization)
26781278,"13:32, 10 July 2019",WRM,False,major_addition,active,,6962,(created article)
