Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34089219,"18:07, 19 February 2026",MiscBot,False,deletion,active,,-122,(Removing Related Articles section)
34073249,"00:52, 19 February 2026",MiscBot,False,revert,active,,124,(Reverting the Related Articles section removal)
34057319,"17:38, 18 February 2026",MiscBot,False,deletion,active,,-124,(Removing Related Articles section)
33487198,"18:15, 14 June 2025",ChocoCat1122,False,addition,active,,18,(adding HTOC)
32609472,"01:23, 27 June 2024",WikiHow Projects,False,addition,active,,1,(updating link)
32609470,"01:22, 27 June 2024",WikiHow Projects,False,addition,active,,24,(updating link)
32073261,"15:37, 15 November 2023",Devman2023,False,revert,active,,-9,(RCP reverted edits by 216.162.114.194 (talk) to  revision #31602172 by Eric)
32073259,"15:36, 15 November 2023",216.162.114.194,False,addition,reverted,Devman2023,9,
31602172,"01:56, 6 May 2023",Eric,False,major_addition,reverted,Devman2023,645,(Last good version)
31602171,"01:56, 6 May 2023",Eric,False,revert,reverted,Devman2023,5576,(Reverted edits by Jaafar 1 (Talk); changed back to last version by 23.122.154.228)
31602129,"01:00, 6 May 2023",Jaafar 1,False,major_deletion,reverted,Eric,-5576,
31602119,"00:45, 6 May 2023",23.122.154.228,False,major_deletion,reverted,Eric,-645,
31601890,"20:54, 5 May 2023",Agere Baby,False,revert,active,,-109,(RCP reverted edits by 204.129.162.210 (talk) to  revision #31601590 by Eric)
31601619,"18:12, 5 May 2023",204.129.162.210,False,addition,reverted,Agere Baby,108,
31601617,"18:10, 5 May 2023",204.129.162.210,False,addition,reverted,Agere Baby,1,
31601616,"18:10, 5 May 2023",Agusbou2015,False,revert,active,,12702,(RCP reverted edits by 204.129.162.210 (talk) to  revision #31601590 by Eric)
31601614,"18:09, 5 May 2023",204.129.162.210,False,major_deletion,reverted,Agere Baby,-12702,(Removing all content from page)
31601590,"17:55, 5 May 2023",Eric,False,revert,reverted,Devman2023,-72,(Reverted edits by 204.129.162.210 (Talk); changed back to last version by Rainy M)
31601539,"17:39, 5 May 2023",204.129.162.210,False,addition,reverted,Agere Baby,72,
31597919,"18:34, 4 May 2023",Rainy M,False,revert,reverted,Eric,-106,(RCP reverted edits by 204.129.162.210 (talk) to  revision #31363371 by Kitty0)
31597918,"18:31, 4 May 2023",204.129.162.210,False,addition,reverted,Agere Baby,91,
31597906,"18:27, 4 May 2023",204.129.162.210,False,addition,reverted,Agere Baby,15,
31363371,"21:26, 16 February 2023",Starlette,False,revert,reverted,Rainy M,-1,(RCP reverted edits by 131.239.161.222 (talk) to  revision #31360092 by R2_d2000)
31363044,"19:26, 16 February 2023",131.239.161.222,False,addition,reverted,Starlette,1,
31360092,"19:14, 15 February 2023",R2_d2000,False,revert,reverted,Starlette,-2,(Reverted edits by 131.239.161.222 (Talk); changed back to last version by Aiosis)
31360089,"19:13, 15 February 2023",131.239.161.222,False,addition,reverted,Starlette,1,
31360086,"19:12, 15 February 2023",131.239.161.222,False,addition,reverted,Starlette,1,
30244116,"05:26, 27 January 2022",Aiosis,False,addition,reverted,R2_d2000,1,(you bulb >> your bulb)
30244115,"05:25, 27 January 2022",Aiosis,False,revert,reverted,R2_d2000,-5,(Reverted edits by 43.248.68.76 (Talk); changed back to last version by 66.181.176.183)
30243999,"04:03, 27 January 2022",43.248.68.76,False,addition,reverted,Aiosis,5,
29020548,"09:42, 24 December 2020",66.181.176.183,False,addition,reverted,Aiosis,23,
29020544,"09:36, 24 December 2020",66.181.176.183,False,addition,reverted,Aiosis,34,
29020528,"09:32, 24 December 2020",66.181.176.183,False,deletion,reverted,Aiosis,-23,
26917338,"07:29, 8 August 2019",RelatedWikihowsBot,False,deletion,active,,-35,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26401684,"08:04, 10 April 2019",Seymour Edits,False,sourcing,active,,344,(Added sources and a reflist for the wikihaus content team)
26312690,"04:29, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26149092,"10:12, 10 March 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25955273,"20:10, 29 January 2019",Zodi,False,revert,active,,12365,(RCP reverted edits by 216.73.77.224 (talk) to  revision #25861054 by 166.70.94.123)
25955215,"19:40, 29 January 2019",216.73.77.224,False,major_deletion,reverted,Zodi,-12365,(Replacing page with 'yeet')
25861054,"15:02, 9 January 2019",166.70.94.123,False,deletion,reverted,Zodi,-3,
25861043,"15:01, 9 January 2019",166.70.94.123,False,addition,reverted,Zodi,3,
25518401,"20:36, 31 October 2018",125.236.254.78,False,deletion,active,,-11,
25518376,"20:32, 31 October 2018",125.236.254.78,False,addition,active,,11,
25289869,"10:22, 24 September 2018",Aiosis,False,revert,reverted,R2_d2000,2,(Reverted edits by 5.45.138.140 (Talk); changed back to last version by Seymour Edits)
25289841,"10:13, 24 September 2018",5.45.138.140,False,addition,reverted,Aiosis,3,
25289834,"10:12, 24 September 2018",5.45.138.140,False,deletion,reverted,Aiosis,-5,
24546597,"20:14, 11 May 2018",Seymour Edits,False,deletion,reverted,Aiosis,-409,(Added the Summary template to this article)
24352601,"20:54, 9 April 2018",B.dajewski,False,major_addition,active,,1067,(Adding bullets/substeps to make content more skimmable)
24318596,"21:21, 2 April 2018",Seymour Edits,False,revert,reverted,Aiosis,543,"(replacing old test with ""Quick Overview"" experiment for wikiHaus)"
23878387,"23:41, 17 January 2018",WikiHow Intern,False,addition,active,,30,(Change to appropriate sub-categories)
23810687,"03:40, 4 January 2018",UnitGuardian,False,addition,active,,23,(Adding conversion template.)
23647321,"23:02, 30 November 2017",ElizabethD,False,deletion,active,,-18,(changed first step)
23643606,"09:56, 30 November 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23472537,"08:48, 30 October 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
