Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33551585,"23:23, 14 July 2025",Seymour Edits,False,sourcing,active,,-119,(Removed and replaced bad sources for wikiHaus content team)
33232251,"22:07, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31756671,"22:42, 2 July 2023",Seymour Edits,False,sourcing,active,,-48,(Replaced bad references for wikiHaus content team)
31014146,"08:54, 26 October 2022",WikiHow Projects,False,deletion,active,,-175,(updating link)
29779450,"12:19, 4 August 2021",MiscBot,False,addition,active,,7,(Automatic category consolidation.)
29506561,"02:44, 4 May 2021",Seymour Edits,False,deletion,active,,-375,(expert QA update)
27664414,"19:11, 30 January 2020",Britte,False,deletion,active,,-10,(Updated green box.)
27664413,"19:10, 30 January 2020",Britte,False,addition,active,,1,(Updated green box.)
27611303,"01:53, 18 January 2020",Nightcore zodiac,False,addition,active,,47,(Adding video via video picker tool)
27610012,"17:56, 17 January 2020",Britte,False,deletion,active,,-10,(Updated green box.)
27610010,"17:55, 17 January 2020",Britte,False,deletion,active,,-281,(Updated green box.)
27067594,"02:46, 12 September 2019",Seymour Edits,False,addition,active,,141,(Added the Summary template to this article)
27039076,"05:11, 6 September 2019",ExoticComet,False,deletion,active,,-72,(improving apostrophe consistency)
26704715,"17:48, 20 June 2019",WikiHow Expert Review,False,deletion,active,,-1,(Updated green box.)
26701776,"01:02, 20 June 2019",WikiHow Expert Review,False,major_addition,active,,676,(Updated green box.)
26328846,"06:00, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
24020453,"14:31, 12 February 2018",Wikivisual,False,major_addition,active,,804,(Saving new step-by-step photos)
23885974,"22:13, 18 January 2018",WikiHow Intern,False,deletion,active,,-16,(Change to appropriate sub-category)
23708277,"16:27, 12 December 2017",Sprinkles0,False,addition,active,,44,(categorization)
23708019,"15:19, 12 December 2017",WRM,False,major_addition,active,,9802,(Created new article)
