Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33540776,"01:01, 9 July 2025",MiscBot,False,deletion,active,,-289,(Automatic external link checking: updating and/or deleting links that are broken)
29838105,"13:53, 26 August 2021",XxVxX,False,addition,active,,53,(Related wikiHows)
29702533,"11:46, 1 July 2021",MiscBot,False,deletion,active,,-3,(Automatic category consolidation.)
29075641,"16:50, 10 January 2021",R2_d2000,False,sourcing,active,,-73,(removing unreliable source)
26323413,"05:31, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
23988242,"08:29, 6 February 2018",WikiHow Intern,False,deletion,active,,-1,(Change to appropriate sub-categories)
22532011,"18:51, 31 May 2017",Wikivisual,False,addition,active,,491,(Saving new step-by-step photos)
22399421,"17:50, 11 May 2017",Seymour Edits,False,cleanup,active,,-84,(Fixed typos throughout; included only one source per step; made sure steps had no more than five sentences in the wrap-- moved others to substeps)
22346314,"04:02, 5 May 2017",Kanishka Williamson,False,addition,active,,46,(categorization)
22342894,"16:49, 4 May 2017",WRM,False,major_addition,active,,5781,(Wrote text for assigned new article.)
