Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33233580,"22:26, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32940340,"22:17, 18 November 2024",WikiHow Horizon,False,addition,active,,1,(Updated link/s)
28444939,"11:16, 3 August 2020",Wikivisual,False,major_addition,active,,1205,(Saving new step-by-step photos)
28067787,"01:04, 4 May 2020",Myhouse2345,False,revert,active,,1,(RCP reverted edits by Walia Gaius (talk) to  revision #26253166 by MiscBot)
28067783,"01:02, 4 May 2020",Myhouse2345,False,revert,active,,-1,(Reverted edits by Walia Gaius (Talk); changed back to last version by Sewing Girl)
28067767,"00:52, 4 May 2020",Walia Gaius,False,revert,reverted,Myhouse2345,1,(RCP reverted edits by Sewing Girl (talk) to  revision #26253166 by MiscBot)
28067752,"00:44, 4 May 2020",WikiHowUser20201201000533,False,deletion,active,,-1,(Linking)
26253166,"23:32, 28 March 2019",MiscBot,False,sourcing,reverted,Myhouse2345,-9,(Updating References section name to match new sitewide conventions)
26002841,"12:09, 8 February 2019",MiscBot,False,sourcing,reverted,Myhouse2345,-106,(Automatic link maintenance: cleaning up links to references that are broken)
25246283,"20:15, 15 September 2018",ExoticComet,False,revert,active,,-19,(RCP reverted edits by UnitGuardian (talk) to  revision #25240017 by UnitGuardian)
25244996,"12:36, 15 September 2018",UnitGuardian,False,addition,reverted,ExoticComet,19,(Adding conversion template.)
25240017,"14:53, 14 September 2018",UnitGuardian,False,addition,reverted,ExoticComet,27,(Adding conversion template.)
25046339,"20:51, 8 August 2018",SarahB,False,revert,active,,180,(Reverted edits by Porg99 (Talk); changed back to last version by HisGirlFriday)
25046332,"20:50, 8 August 2018",Porg99,False,revert,reverted,SarahB,-180,(RCP reverted edits by HisGirlFriday (talk) to  revision #25041542 by Ultimate The Gamer)
25046325,"20:48, 8 August 2018",HisGirlFriday,False,addition,reverted,SarahB,180,(revisions)
25041542,"22:52, 7 August 2018",Ultimate The Gamer,False,addition,reverted,Porg99,64,(categorization)
25041015,"20:23, 7 August 2018",HisGirlFriday,False,major_addition,reverted,SarahB,8901,(created article)
