Continuum,Sub_Continuum,Number_of_Articles,Total_Contributions
Domestic,Baby Care,59,297
Domestic,Towel Origami,42,177
Domestic,Baking,112,363
Domestic,Laundry,68,256
Domestic,Housekeeping,111,431
Domestic,Gardening,94,324
Domestic,Home-and-Garden,84,367
Domestic,Washing/Dryers,72,266
Domestic,Plumbing,188,1267
Domestic,Electrical Wiring,246,2384
Occupational,Nursing,102,393
Occupational,Teaching,156,486
Occupational,Human Resources,84,274
Occupational,Healthcare Admin,68,287
Occupational,Office Etiquette,109,408
Occupational,Business Management,144,496
Occupational,Accounting & Finance,92,327
Occupational,Architecture & Design,56,167
Occupational,Mechanical Eng.,48,151
Occupational,Software Eng.,74,861
Entertainment,Knitting,88,181
Entertainment,Crochet,64,113
Entertainment,Decor/Prints,42,74
Entertainment,Hobbies & Crafts,156,256
Entertainment,DIY,122,254
Entertainment,Photography,104,183
Entertainment,Visual & Media,92,212
Entertainment,Making Movies,56,127
Entertainment,Hacking,134,881
Entertainment,PC Gaming,211,677
Policy,Maternal Health,76,226
Policy,Welfare Services,48,118
Policy,Human Rights,104,247
Policy,Public Policy,86,281
Policy,Civic Participation,92,263
Policy,Legal Matters,114,691
Policy,Economic Policy,58,181
Policy,Taxes,82,256
Policy,Law Enforcement,121,296
Policy,Military,98,691
