Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32715217,"16:48, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32685177,"02:44, 30 July 2024",Seymour Edits,False,addition,active,,78,(Added expert citations.)
29285281,"13:31, 3 March 2021",WikiHow Projects,False,deletion,active,,-11,(Removing category to be deleted)
27143882,"10:11, 28 September 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27039436,"05:36, 6 September 2019",ExoticComet,False,deletion,active,,-62,(improving apostrophe consistency)
26297521,"02:52, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25981655,"14:11, 4 February 2019",Anna,False,revert,active,,-85,(Reverted edits by RobertSmith3 (Talk); changed back to last version by WikiHow Projects)
25980213,"09:56, 4 February 2019",RobertSmith3,False,addition,reverted,Anna,85,
25957314,"05:38, 30 January 2019",WikiHow Projects,False,deletion,reverted,Anna,-91,(removing broken link)
25198579,"13:06, 6 September 2018",Seymour Edits,False,addition,active,,153,(Added the Summary template to this article)
22089131,"22:08, 21 March 2017",Flickety,False,addition,active,,13,(Change to appropriate sub-category)
20763929,"16:51, 13 August 2016",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
19398034,"03:28, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-20,(Removing redundant wikitext from Related wikiHows section)
18900531,"14:59, 20 November 2015",Braiden parry,False,addition,active,,10,
17975025,"20:18, 27 July 2015",InterwikiBot,False,deletion,active,,-83,"(Removing interwiki links, no longer needed in wikitext)"
17513872,"08:01, 3 June 2015",Hootooshay,False,revert,active,,200,(RCP reverted edits by 120.56.190.144 (talk) to  revision #16990401 by Votebot)
17513671,"07:15, 3 June 2015",120.56.190.144,False,deletion,reverted,Hootooshay,-200,
16990401,"13:06, 30 March 2015",Votebot,False,adjustment,reverted,Hootooshay,0,(reordering tips and warnings based on votes)
16656309,"17:23, 15 February 2015",WikiHow Intern,False,addition,active,,4,(fixing order)
16411430,"14:46, 19 January 2015",Votebot,False,addition,reverted,Hootooshay,2,(reordering tips and warnings based on votes)
16249158,"14:15, 29 December 2014",Wikivisual,False,major_addition,active,,783,(Saving new step-by-step photos)
16092699,"03:08, 8 December 2014",Seymour Edits,False,sourcing,active,,5104,"(Organized into parts, expanded every step and inserted missing steps, added in-line citations, revised introduction, added ""things you'll need,"" ""sources and citations,"" and ""warnings,"" revised ""tips"")"
15815166,"22:20, 5 November 2014",MiscBot,False,addition,active,,37,(Adding conversion template.)
15719611,"05:38, 25 October 2014",Donagan,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
15628841,"18:01, 14 October 2014",Ahoward,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
15595890,"19:21, 10 October 2014",InterwikiBot,False,addition,active,,84,(Adding interwiki link)
11343447,"21:16, 8 October 2013",Wikiphoto,False,addition,active,,127,(Enlarging and centering Steps photos)
11343445,"21:16, 8 October 2013",Wikiphoto,False,major_addition,active,,562,(Saving new step-by-step photos)
10309717,"17:28, 27 June 2013",Votebot,False,deletion,reverted,Hootooshay,-1,(reordering tips and warnings based on votes)
10194794,"16:55, 15 June 2013",Votebot,False,addition,reverted,Hootooshay,1,(reordering tips and warnings based on votes)
9807192,"15:46, 5 May 2013",Votebot,False,addition,reverted,Hootooshay,1,(reordering tips and warnings based on votes)
6421991,"00:24, 30 July 2011",Wendy Weaver,False,addition,active,,62,(Weaving the web of links)
6369340,"23:30, 18 July 2011",Cece123,False,revert,active,,1,(Reverted edits by 132.3.33.68 (Talk); changed back to last version by Ttrimm)
6368280,"19:16, 18 July 2011",132.3.33.68,False,deletion,reverted,Cece123,-1,
4647361,"00:45, 31 May 2010",Ttrimm,False,adjustment,reverted,Cece123,0,(Install LED  Lights on a Motorcycle moved to Install LED Lights on a Motorcycle)
4647360,"00:44, 31 May 2010",Ttrimm,False,addition,reverted,Cece123,132,(editing article via New Article Boost feature)
4427314,"04:32, 27 March 2010",Danno Evening Illusions,False,addition,active,,60,(Added image: Wiringdiagram.jpg)
4427293,"04:21, 27 March 2010",JackHerrick,False,adjustment,active,,0,(Install Led  Lights on Motorcycles moved to Install LED  Lights on a Motorcycle)
4427290,"04:20, 27 March 2010",JackHerrick,False,deletion,active,,-18,
4427287,"04:19, 27 March 2010",JackHerrick,False,deletion,active,,-88,(Quick edit while patrolling)
4427274,"04:03, 27 March 2010",Danno Evening Illusions,False,deletion,active,,-108,(Added image: Gary 's Bike.jpg)
4427242,"03:46, 27 March 2010",72.49.71.236,False,addition,active,,282,
4426130,"20:53, 26 March 2010",Tryme2,False,addition,active,,26,(categorization)
4426129,"20:52, 26 March 2010",Tryme2,False,addition,active,,26,(categorization)
4424353,"07:25, 26 March 2010",Wdt3223,False,addition,active,,28,
4424290,"06:30, 26 March 2010",Danno Evening Illusions,False,major_addition,active,,4639,(Creating new article)
