Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34069693,"21:45, 18 February 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Wire a Lamp"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33298703,"06:00, 7 April 2025",MiscBot,False,deletion,active,,-80,(Automatic external link checking: updating and/or deleting links that are broken)
33112150,"11:24, 1 February 2025",WikiHow Horizon,False,deletion,active,,-120,(Removing broken link/s)
32032875,"12:21, 28 October 2023",WikiHow Projects,False,addition,active,,45,(updating link)
30268766,"07:41, 4 February 2022",Seymour Edits,False,addition,active,,303,(Added expert citations.)
29066133,"01:33, 8 January 2021",Seymour Edits,False,deletion,active,,-462,(Link cleanup.)
26349532,"08:05, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25576885,"12:06, 11 November 2018",Wikivisual,False,major_addition,active,,831,(Saving new step-by-step photos)
25470521,"14:37, 23 October 2018",Sophia B,False,deletion,active,,-65,(Clarified a few points.)
25452790,"17:55, 20 October 2018",Seymour Edits,False,addition,active,,5,
25452788,"17:55, 20 October 2018",Seymour Edits,False,addition,active,,97,
25452769,"17:45, 20 October 2018",Seymour Edits,False,major_addition,active,,1149,
25440612,"09:28, 18 October 2018",Seymour Edits,False,major_addition,active,,2639,
25436527,"16:51, 17 October 2018",Seymour Edits,False,major_addition,active,,960,
25430496,"16:46, 16 October 2018",Christy17,False,addition,active,,52,(categorization)
25429185,"10:53, 16 October 2018",WRM,False,major_addition,active,,6778,"(New page: If your lamp wiring is at the end of its lifespan but the body still has some life left, don't buy a new one just yet! With a little bit of DIY knowledge, you can purchase a new cord an...)"
