Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34087274,"17:42, 19 February 2026",MiscBot,False,deletion,active,,-115,(Removing Related Articles section)
34071228,"00:23, 19 February 2026",MiscBot,False,revert,active,,117,(Reverting the Related Articles section removal)
34055369,"17:06, 18 February 2026",MiscBot,False,deletion,active,,-117,(Removing Related Articles section)
33513409,"22:39, 25 June 2025",WikiHow Projects,False,deletion,active,,-68,(Removing broken links)
32651932,"02:50, 15 July 2024",WikiHow Horizon,False,addition,active,,6,(Updated link/s)
31472422,"01:15, 27 March 2023",Zygomatt,False,revert,active,,-53,(Reverted edits by Pocket sparky (Talk); changed back to last version by Seymour Edits)
31472406,"01:09, 27 March 2023",Pocket sparky,False,addition,reverted,Zygomatt,53,
29815076,"15:54, 17 August 2021",Seymour Edits,False,addition,reverted,Zygomatt,207,(Added expert refs)
29089284,"10:27, 13 January 2021",UnitGuardian,False,addition,active,,31,(Adding conversion template)
26918667,"10:07, 8 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26298031,"02:54, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
22700677,"22:14, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-81,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21297773,"21:47, 7 November 2016",Flickety,False,addition,active,,15,(Switch to appropriate category)
20771088,"08:59, 15 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19705691,"02:25, 25 February 2016",WikiHowUser20230227233914,False,revert,active,,-2,(RCP reverted edits by 71.210.232.210 (talk) to  revision #19682688 by 76.232.84.66)
19705658,"02:15, 25 February 2016",71.210.232.210,False,addition,reverted,WikiHowUser20230227233914,2,
19682688,"22:39, 20 February 2016",76.232.84.66,False,cleanup,reverted,WikiHowUser20230227233914,1,(→‎Steps:  minor typo correction)
19403320,"04:58, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-182,(Removing redundant wikitext from Related wikiHows section)
18826894,"09:39, 10 November 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18110503,"15:26, 29 July 2015",MiscBot,False,deletion,active,,-350,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
15816402,"22:40, 5 November 2014",MiscBot,False,addition,active,,74,(Adding conversion template.)
13083142,"16:43, 25 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11917742,"17:49, 26 November 2013",Jamie,False,revert,active,,-2,(Reverted edits by 209.118.96.26 (Talk); changed back to last version by Votebot)
11917212,"17:33, 26 November 2013",209.118.96.26,False,addition,reverted,Jamie,2,(→‎Related wikiHows)
11518464,"22:41, 23 October 2013",Votebot,False,adjustment,reverted,Jamie,0,(reordering tips and warnings based on votes)
11340885,"16:30, 8 October 2013",Votebot,False,adjustment,reverted,Jamie,0,(reordering tips and warnings based on votes)
11298144,"13:56, 3 October 2013",74.131.255.50,False,addition,active,,119,(Mark the word Romex as a registered brand name that it is.)
10910962,"17:45, 24 August 2013",Votebot,False,adjustment,reverted,Jamie,0,(reordering tips and warnings based on votes)
10716842,"05:12, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10426227,"23:59, 9 July 2013",Wikiphoto,False,deletion,active,,-58,(Adding {{nointroimg}} template and removing intro images)
10412358,"21:12, 8 July 2013",Wikiphoto,False,addition,active,,226,(Enlarging and centering Steps photos)
10412356,"21:12, 8 July 2013",Wikiphoto,False,major_addition,active,,1890,(Saving new step-by-step photos)
10267363,"15:58, 23 June 2013",Votebot,False,adjustment,reverted,Jamie,0,(reordering tips and warnings based on votes)
9983849,"16:43, 24 May 2013",Votebot,False,adjustment,reverted,Jamie,0,(reordering tips and warnings based on votes)
9768711,"16:02, 1 May 2013",Votebot,False,adjustment,reverted,Jamie,0,(reordering tips and warnings based on votes)
6587311,"18:17, 3 September 2011",68.39.130.207,False,deletion,active,,-9,(Refrigerator)
6550932,"01:33, 26 August 2011",Readingirl,False,revert,active,,1,(Reverted edits by 71.91.77.178 (Talk); changed back to last version by Cece123)
6550916,"01:29, 26 August 2011",71.91.77.178,False,deletion,reverted,Readingirl,-1,(→‎Things You'll Need)
6378541,"20:02, 20 July 2011",Cece123,False,revert,reverted,Readingirl,422,(Reverted edits by 24.89.244.189 (Talk); changed back to last version by Maluniu)
6378184,"18:51, 20 July 2011",24.89.244.189,False,deletion,reverted,Cece123,-255,(mitchellk)
6378182,"18:50, 20 July 2011",24.89.244.189,False,deletion,reverted,Cece123,-167,(mitchelkl)
6302276,"19:54, 4 July 2011",WikiHowUser20221012045502,False,addition,active,,389,(Related wikiHows)
6141691,"15:17, 5 June 2011",Harri,False,revert,active,,-5,(Reverted edits by 132.79.10.15 (Talk); changed back to last version by 167.83.101.23)
6141648,"15:06, 5 June 2011",132.79.10.15,False,deletion,reverted,Harri,-1,
6141642,"15:05, 5 June 2011",132.79.10.15,False,addition,reverted,Harri,6,
5996613,"21:22, 11 May 2011",167.83.101.23,False,deletion,reverted,Harri,-3,
5996610,"21:22, 11 May 2011",167.83.101.23,False,deletion,reverted,Harri,-424,
5827678,"04:40, 5 April 2011",Ttrimm,False,addition,active,,66,(Adding video via video picker tool)
5826380,"22:09, 4 April 2011",216.255.54.248,False,addition,active,,14,(→‎Things You'll Need)
5195436,"08:05, 30 October 2010",Journeymam,False,addition,active,,86,(→‎Warnings)
5195404,"08:00, 30 October 2010",Bokehmon,False,adjustment,active,,0,(Quick edit while patrolling)
5195401,"07:58, 30 October 2010",Journeymam,False,addition,active,,141,(→‎Warnings)
4529228,"19:59, 25 April 2010",Rogersan,False,deletion,active,,-45,(→‎Warnings)
4529217,"19:57, 25 April 2010",Rogersan,False,major_addition,active,,1365,(Added image: 480VArcFlash1.jpg)
4518479,"19:09, 22 April 2010",Bor,False,addition,active,,49,(Added Image using ImageAdder Tool)
4410428,"17:53, 22 March 2010",216.55.52.198,False,major_deletion,active,,-507,
4295396,"19:37, 14 February 2010",209.91.177.9,False,adjustment,active,,0,(knifes to knives)
4259907,"19:09, 3 February 2010",65.103.52.137,False,addition,active,,257,
4259889,"19:04, 3 February 2010",65.103.52.137,False,addition,active,,184,
4194095,"13:56, 13 January 2010",68.228.149.73,False,addition,active,,66,(→‎Tips)
2956597,"05:00, 4 January 2009",Editor590489584,False,revert,active,,-65,(Reverted edits by 208.58.33.219 (Talk); changed back to last version by Flickety)
2956501,"04:37, 4 January 2009",208.58.33.219,False,addition,reverted,Editor590489584,65,
2780638,"06:05, 23 November 2008",Flickety,False,deletion,reverted,Editor590489584,-6,(categorizing)
2621114,"22:21, 8 October 2008",75.67.182.124,False,deletion,active,,-8,(→‎Steps)
1636330,"18:00, 2 February 2008",76.119.250.62,False,addition,active,,12,
1567866,"19:02, 15 January 2008",Howtowireahouse,False,addition,active,,90,
1437389,"22:59, 10 December 2007",Stevecon,False,addition,active,,175,(→‎Steps)
1435110,"04:12, 10 December 2007",Stevecon,False,addition,active,,1,(→‎Steps)
1434919,"02:54, 10 December 2007",Stevecon,False,addition,active,,39,(→‎Steps)
1433395,"19:35, 9 December 2007",Stevecon,False,major_addition,active,,844,(→‎Steps)
1432906,"16:49, 9 December 2007",Stevecon,False,addition,active,,181,(→‎Steps)
1336681,"06:44, 11 November 2007",AznAcorn,False,revert,active,,-70,(Reverted edits by 122.167.150.150 (Talk); changed back to last version by Stevecon)
1336325,"03:58, 11 November 2007",122.167.150.150,False,addition,reverted,AznAcorn,70,(→‎Tips)
906811,"12:07, 8 July 2007",Stevecon,False,deletion,reverted,AznAcorn,-215,
906797,"11:57, 8 July 2007",Stevecon,False,addition,reverted,AznAcorn,236,(→‎Warnings)
906796,"11:55, 8 July 2007",Stevecon,False,deletion,reverted,AznAcorn,-375,(→‎Warnings)
906793,"11:50, 8 July 2007",Stevecon,False,major_addition,reverted,AznAcorn,4167,(→‎Steps)
