Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33874707,"23:38, 4 December 2025",Hopedemi,False,sourcing,active,,1,(fixing broken references link)
33065341,"05:43, 14 January 2025",Bhoimus,False,deletion,active,,-3,(reword/rm double word occurrence)
33017282,"08:32, 23 December 2024",Robalex848,False,addition,active,,48,(Adding video via video picker tool)
32761033,"00:52, 4 September 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32729897,"11:31, 20 August 2024",WikiHow Projects,False,addition,active,,152,(Added expert citations)
29891082,"11:41, 15 September 2021",Seymour Edits,False,addition,active,,54,
29891075,"11:37, 15 September 2021",Seymour Edits,False,deletion,active,,-30,
23448370,"17:28, 25 October 2017",86.175.64.39,False,deletion,active,,-2,(how to change 30amp box)
22704218,"22:35, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-48,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21291818,"23:47, 6 November 2016",Flickety,False,addition,active,,16,(Switch to appropriate category)
19391932,"01:45, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-190,(Removing redundant wikitext from Related wikiHows section)
18102146,"11:21, 29 July 2015",MiscBot,False,deletion,active,,-42,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17970643,"19:46, 27 July 2015",InterwikiBot,False,deletion,active,,-117,"(Removing interwiki links, no longer needed in wikitext)"
16582522,"17:58, 6 February 2015",MiscBot,False,cleanup,active,,-2,(Correcting spelling and/or grammar.)
16122762,"10:15, 11 December 2014",Faryal_Aftab,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
15926869,"12:31, 18 November 2014",Vidbot,False,deletion,active,,-48,(Removing unavailable video from article)
15902117,"03:07, 15 November 2014",Zygomatt,False,revert,active,,-34,(Reverted edits by Gerismanh (Talk); changed back to last version by Romping)
15901843,"02:28, 15 November 2014",Gerismanh,False,addition,reverted,Zygomatt,34,(→‎Steps)
15721920,"15:54, 25 October 2014",Romping,False,cleanup,reverted,Zygomatt,1,(Fixing misspellings via the Spellchecker tool)
15605732,"22:38, 11 October 2014",Lunar Launch,False,deletion,active,,-47,(Edit from Article Greenhouse: CLEANUP)
15588856,"20:02, 9 October 2014",Anniemp,False,addition,active,,53,(Quick edit while patrolling)
15585331,"15:42, 9 October 2014",JoySLeigh,False,cleanup,active,,2,(Fixing misspellings via the Spellchecker tool)
15531782,"19:14, 3 October 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15511581,"19:05, 1 October 2014",InterwikiBot,False,addition,active,,80,(Adding interwiki link)
