Location,Contributor_Count
"USA,",4
"California,",3
"England,",3
"Canada,",3
"Palo Alto, California,",2
"Palo Alto, CA,",2
"Australia,",2
"wikiHaus,",2
"wikiHow HQ,",2
"Punjab,Pakistan",1
"San Francisco Bay Area,",1
"NYC🗽,",1
"US,",1
"Manchester, U",1
"Nigeria,",1
"Nashville, Tennessee,",1
"Ontario, Canada,",1
"Ibarlucea (province of Santa Fe, Argentina),",1
"In the Wonderful World Of Fanfiction,",1
"Florida,",1
"Redwood City, CA,",1
"a Pokémon world, where Pokémon come to life",1
"California, USA,",1
"Elgin Oklahoma,",1
"Italy,",1
"San Jose, CA,",1
"Utah,",1
"Upper Minnesota,",1
"the United States,",1
"The Great Unknown,",1
"the UK,",1
"Palo Alto,",1
"Japan,",1
"Pennsylvania, USA,",1
"Georgia,",1
"the UK or the Philippines,",1
"the Recent Changes Patrol club and the farm for chicks,",1
"Minneapolis, Minnesota,",1
Florida,1
"New York,",1
"Mountain View, CA,",1
"markham, ontario canada,",1
"Antarctica,",1
"Arizona,",1
"Florida, USA,",1
"India,",1
"WikiHow HQ,",1
"Pluto,",1
"Alberta,  Canada,",1
"Orlando, Florida, USA,",1
"the Boiling Isles,",1
"the USA,",1
"Scotland,",1
"Bentonville, Arkansas,",1
"Long Island, New York,",1
"a bag of skittles,",1
"Australia 🐨,",1
"Earth,",1
"in the United States,",1
"Southeast Pennsylvania,",1
"Illinois,",1
"Tennessee, USA,",1
"Terrafirma,",1
"His House,",1
"Belgium,",1
"Newfoundland, Canada,",1
"the Quentulous Quazgar mountains south of the Great Red Plain of Rars in the land of Sevorbyupstry on the planet Preliumtarn, third out from the star of Zarss in the Grey Binding Fideforms of Saxaquine beyond the Limitless Light-fields of Flanux in galactic sector QQ7 Active J Gamma,",1
"Holtsville,",1
"Jefferson, OR,",1
"San Francisco Bay Area, California,",1
"Oakland, CA,",1
"Dubai,",1
"Peru,",1
"Shanghai,",1
"Tippecanoe County, Indiana,",1
