Continuum,Query,Google Title,Real WikiHow Title,URL
policy,site:wikihow.com Category:Civic Participation,3 Ways to Be Politically Active - wikiHow Life,Error Resolving,/url?q=https://www.wikihow.com/Be-Politically-Active&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAcQAg&usg=AOvVaw26Ht4qxtMvOpyZzR88Kcnv
policy,site:wikihow.com Category:Civic Participation,3 Ways to Decide on a Career in Public Administration - wikiHow Life,Error Resolving,/url?q=https://www.wikihow.com/Decide-on-a-Career-in-Public-Administration&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAgQAg&usg=AOvVaw2KcW8cn6pEyZ5ilFBBq8FR
policy,site:wikihow.com Category:Civic Participation,"Carmela Resuma, MPP - wikiHow Expert Co-author",Error Resolving,/url?q=https://www.wikihow.com/Author/Carmela-Resuma-MPP&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAoQAg&usg=AOvVaw1e_flftv8xxXqxupPDCKa_
policy,site:wikihow.com Category:Civic Participation,3 Ways to Lobby Politicians - wikiHow Life,Error Resolving,/url?q=http://m.wikihow.com/Lobby-Politicians&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECA4QAg&usg=AOvVaw3gecmHeeK_tQcZMvsrjExj
policy,site:wikihow.com Category:Civic Participation,275 Controversial Questions & Debate Topics on Every Subject,Error Resolving,/url?q=https://www.wikihow.com/Controversial-Questions&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAsQAg&usg=AOvVaw0jmCVvcp2DG4BjFo9RJ8a_
policy,site:wikihow.com Category:Civic Participation,How to End a College Essay: The Do's and Don'ts - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Conclude-a-College-Essay&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECA8QAg&usg=AOvVaw3JJ5R2uIK2K_tUmNCrtz3t
policy,site:wikihow.com Category:Civic Participation,How to Plan a Town Hall Meeting on a Health Issue - wikiHow Life,Error Resolving,/url?q=https://www.wikihow.com/Plan-a-Town-Hall-Meeting-on-a-Health-Issue&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAUQAg&usg=AOvVaw18HW8eS9pyfrbiM_ebsf-5
policy,site:wikihow.com Category:Civic Participation,How to Be Useful & Contribute to Society: 21 Helpful Ideas - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Be-Useful-and-Help-Contribute-to-Society&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAQQAg&usg=AOvVaw1oglr-27K8jzTNIVDoqdFg
policy,site:wikihow.com Category:Civic Participation,How to Get Involved in Local Politics: A Beginner's Guide,Error Resolving,/url?q=https://www.wikihow.com/Get-Involved-in-Local-Politics&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAYQAg&usg=AOvVaw050jEPxzxmK842UvnpXv-i
policy,site:wikihow.com Category:Civic Participation,19 Ways to Change the World - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Change-the-World&sa=U&ved=2ahUKEwiXm5v3--STAxUpM1kFHQGPEOgQFnoECAkQAg&usg=AOvVaw0EcQJlw92rRkrPNrA4hTZk
policy,"site:wikihow.com ""Civic Participation""",Legal Matters - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Legal-Matters&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAYQAg&usg=AOvVaw2Xp728TT1W5Ikc36XvwvFx
policy,"site:wikihow.com ""Civic Participation""",How to Write a Legal Brief (with Pictures) - wikiHow Life,Error Resolving,/url?q=https://www.wikihow.com/Write-a-Legal-Brief&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAcQAg&usg=AOvVaw0ALMXM32znUMVjg8J54n15
policy,"site:wikihow.com ""Civic Participation""",How to Analyze Case Law: 11 Steps (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Analyze-Case-Law&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAQQAg&usg=AOvVaw3H8EQ7aP7281F5Y3WxVxPN
policy,"site:wikihow.com ""Civic Participation""",30 Weirdest Laws in the US You Won't Believe - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Weirdest-Laws-in-the-US&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECA0QAg&usg=AOvVaw2mnbB99o0eeqUv4iLGmgxg
policy,"site:wikihow.com ""Civic Participation""",How to Avoid Being Served Court Papers or Notices - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Avoid-Being-Served-Court-Papers-or-Notices&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAsQAg&usg=AOvVaw32cabK1gFE7sW7GkIiU2nm
policy,"site:wikihow.com ""Civic Participation""",What Happens When You File a Complaint with the Attorney General,Error Resolving,/url?q=https://www.wikihow.com/File-a-Complaint-With-the-Attorney-General&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAkQAg&usg=AOvVaw2jAZ9x3Km_c1jf3iHbvVho
policy,"site:wikihow.com ""Civic Participation""",3 Simple Ways to Look Up Judgements Against You - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Look-Up-Judgements-Against-You&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAMQAg&usg=AOvVaw2XzgZ6e3jBHBKYnWn-jNq4
policy,"site:wikihow.com ""Civic Participation""",Civil Litigation - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Civil-Litigation&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAgQAg&usg=AOvVaw3RNo3OsjDGMJiyfcgaRHBn
policy,"site:wikihow.com ""Civic Participation""",5 Ways to Get Evidence Thrown out in Court - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Get-Evidence-Thrown-out-in-Court&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAUQAg&usg=AOvVaw2qH7FiJCuE5SfeEO-Gwec3
policy,"site:wikihow.com ""Civic Participation""",Contracts and Legal Agreements - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Contracts-and-Legal-Agreements&sa=U&ved=2ahUKEwjfjP36--STAxXLK1kFHd2BCcgQFnoECAoQAg&usg=AOvVaw0MidX_71XPDYsX2HK9uwXf
policy,site:wikihow.com impact of Civic Participation,Legal Matters - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Legal-Matters&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECAcQAg&usg=AOvVaw1xUbRorBJ66nCRr5QMb5rZ
policy,site:wikihow.com impact of Civic Participation,Simple Ways to File a Petition in Court (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/File-a-Petition-in-Court&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECAoQAg&usg=AOvVaw2ZSaKu2xWGKRQb0Gi2WJ-z
policy,site:wikihow.com impact of Civic Participation,How to Avoid Being Served Court Papers or Notices - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Avoid-Being-Served-Court-Papers-or-Notices&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECAMQAg&usg=AOvVaw06_jCd5Netw6UcoS49VBOo
policy,site:wikihow.com impact of Civic Participation,How to File a Motion in Court Without an Attorney - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/File-a-Motion-in-Court-Without-an-Attorney&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECA4QAg&usg=AOvVaw2EPQqip6C7fhS0lSwIH_jM
policy,site:wikihow.com impact of Civic Participation,Simple Ways to Contact an Attorney (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Contact-an-Attorney&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECAQQAg&usg=AOvVaw09YtdvKrPOTbhJfJ9_wYeN
policy,site:wikihow.com impact of Civic Participation,How to Behave in Court: 14 Steps (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Behave-in-Court&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECA0QAg&usg=AOvVaw3y4Mat8Xvu3QxJqIy-Cmih
policy,site:wikihow.com impact of Civic Participation,5 Ways to Get Evidence Thrown out in Court - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Get-Evidence-Thrown-out-in-Court&sa=U&ved=2ahUKEwjv2eP---STAxWPFlkFHa5rMqAQFnoECAgQAg&usg=AOvVaw3AMDoMoMYts7m3pqfOmln6
