Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34087143,"17:40, 19 February 2026",MiscBot,False,deletion,active,,-68,(Removing Related Articles section)
34071092,"00:21, 19 February 2026",MiscBot,False,revert,active,,70,(Reverting the Related Articles section removal)
34055235,"17:04, 18 February 2026",MiscBot,False,deletion,active,,-70,(Removing Related Articles section)
32935404,"17:45, 16 November 2024",WikiHow Horizon,False,deletion,active,,-152,(Removing broken link/s)
31669681,"20:33, 29 May 2023",Rainy M,False,revert,active,,160,(RCP reverted edits by Adamssjsjsj (talk) to  revision #31526513 by ICanGuessItLol)
31669622,"19:33, 29 May 2023",Adamssjsjsj,False,deletion,reverted,Rainy M,-160,
31526513,"11:24, 13 April 2023",ICanGuessItLol,False,revert,reverted,Rainy M,-135,(RCP reverted edits by Pappu Kumar 1 (talk) to  revision #31200185 by Zygomatt)
31526335,"10:03, 13 April 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,7,
31526330,"10:00, 13 April 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,128,(16 Amp socket in these locations is best done by qualified electricians. Replacing a damaged socket here may be doable by yourself and Believe me It's not that tough as you think)
31200185,"16:31, 24 December 2022",Zygomatt,False,deletion,reverted,ICanGuessItLol,-1,
31199801,"11:55, 24 December 2022",Yannick Slock,False,addition,active,,46,(Europe mostly has a 230 V network)
29935876,"16:27, 30 September 2021",Seymour Edits,False,addition,active,,37,(adding expert citations)
29435459,"23:11, 11 April 2021",Wikivisual,False,major_addition,active,,693,(Saving new step-by-step photos)
29381847,"20:58, 25 March 2021",Seymour Edits,False,major_addition,active,,6793,(Expanded rewrite focusing on title rather than box installation)
29301763,"18:28, 7 March 2021",ElizabethD,False,deletion,active,,-50,"(removing stub, but we will take a look at article asap)"
29299697,"00:16, 7 March 2021",Awesome Aasim,False,addition,active,,50,"(not ready for readers as seen by ratings, needs to be converted to wikiHow format and is a stub)"
27655910,"06:30, 29 January 2020",Seymour Edits,False,sourcing,active,,346,(Added sources and a reflist for the wikiHaus content team.)
22718670,"00:17, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-25,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21291805,"23:44, 6 November 2016",Flickety,False,addition,active,,16,(Switch to appropriate category)
19330799,"00:10, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-75,(Removing redundant wikitext from Related wikiHows section)
18064483,"21:18, 28 July 2015",MiscBot,False,addition,active,,12,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17919299,"00:16, 25 July 2015",InterwikiBot,False,deletion,active,,-41,"(Removing interwiki links, no longer needed in wikitext)"
16480155,"21:44, 27 January 2015",Ttrimm,False,adjustment,active,,0,(Ttrimm moved page Wire a Plug Socket to Wire an Electrical Socket)
16119591,"03:24, 11 December 2014",WikiHow Intern,False,deletion,active,,-179,(removing broken link)
13144006,"00:47, 1 April 2014",InterwikiBot,False,addition,active,,40,(Adding interwiki link)
12941826,"18:02, 10 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11405535,"20:04, 14 October 2013",CelesteTu,False,addition,active,,53,(Adding related wikihow from NAB)
10737514,"11:49, 7 August 2013",MiscBot,False,deletion,active,,-15,(Removing nointroimg template)
10101925,"15:47, 6 June 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
8885623,"04:57, 16 December 2012",LargeImageBot,False,deletion,active,,-97,(Resized images to the {{largeimage}} size.)
8183713,"19:48, 1 August 2012",Wikiphoto,False,addition,active,,56,(Enlarging and centering Steps photos; enlarging intro image)
8183674,"19:46, 1 August 2012",Wikiphoto,False,deletion,active,,-35,(Adding {{nointroimg}} template and removing intro images)
8183317,"18:45, 1 August 2012",Wikiphoto,False,addition,active,,317,(Saving new step-by-step photos)
7892704,"10:33, 7 June 2012",BR,False,revert,active,,186,(Reverted edits by 194.106.220.85 (Talk); changed back to last version by 71.76.202.199)
7892574,"09:49, 7 June 2012",194.106.220.85,False,deletion,reverted,BR,-24,
7892567,"09:47, 7 June 2012",194.106.220.85,False,deletion,reverted,BR,-162,
7892556,"09:46, 7 June 2012",194.106.220.85,False,adjustment,reverted,BR,0,
7303228,"17:12, 18 February 2012",71.76.202.199,False,deletion,reverted,BR,-1,(how to wire a double plug socket)
6277241,"22:57, 28 June 2011",Wendy Weaver,False,addition,active,,119,(Weaving the web of links)
4212184,"03:53, 19 January 2010",Flickety,False,deletion,active,,-9,(In use removal)
4201765,"22:00, 15 January 2010",Flickety,False,major_addition,active,,932,
4201744,"21:51, 15 January 2010",Flickety,False,addition,active,,39,
4201735,"21:46, 15 January 2010",Flickety,False,major_addition,active,,2790,(categorization)
