Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32969775,"23:25, 1 December 2024",Seymour Edits,False,addition,active,,39,
32969769,"23:23, 1 December 2024",Seymour Edits,False,addition,active,,56,
31641108,"08:28, 19 May 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31247246,"15:58, 9 January 2023",Seymour Edits,False,revert,active,,43,(NCA edit. Do not revert.)
31118890,"18:01, 29 November 2022",Zygomatt,False,revert,active,,-41,(Reverted edits by RaviPatel (Talk); changed back to last version by Votebot)
31118877,"17:55, 29 November 2022",RaviPatel,False,addition,reverted,Zygomatt,41,
30975131,"08:48, 14 October 2022",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
29863311,"08:53, 6 September 2021",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
29418785,"03:23, 7 April 2021",ICanGuessItLol,False,revert,active,,6121,(RCP reverted edits by Usensor (talk) to  revision #28347672 by Alex1710)
29418779,"03:12, 7 April 2021",Usensor,False,major_deletion,reverted,ICanGuessItLol,-6121,
28347672,"06:02, 7 July 2020",Alex1710,False,revert,reverted,ICanGuessItLol,9941,(RCP reverted edits by GarageDoorServicesIndianapolisIN (talk) to  revision #27972885 by Votebot)
28347666,"05:58, 7 July 2020",GarageDoorServicesIndianapolisIN,False,revert,reverted,Alex1710,-9941,"(Replacing page with 'Across 30 years in serving Indianapolis, Indiana we have encountered a few carport entryway issues and inside this extensive stretch we have taken profound preparing in how...')"
27972885,"09:06, 11 April 2020",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
26915788,"05:02, 8 August 2019",Mrappbrain,False,revert,active,,9958,(RCP reverted edits by Garagedoor01 (talk) to  revision #26643393 by Votebot)
26915766,"04:43, 8 August 2019",Garagedoor01,False,revert,reverted,Mrappbrain,-9958,(GaragedooropenerserviceinoaklandCA)
26643393,"09:27, 5 June 2019",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
26297864,"02:53, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
24746869,"09:48, 13 June 2018",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
24588434,"16:29, 15 May 2018",Seymour Edits,False,addition,active,,147,(Added the Summary template to this article)
24443003,"09:14, 26 April 2018",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
22923505,"08:51, 27 July 2017",Votebot,False,deletion,reverted,Zygomatt,-1,(reordering tips and warnings based on votes)
22713349,"23:07, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-253,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22111360,"08:09, 25 March 2017",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
21889469,"21:46, 18 February 2017",Joel.Miles925,False,revert,active,,-198,(RCP reverted edits by 98.165.132.45 (talk) to  revision #20452275 by InfernoTerra)
21889413,"21:31, 18 February 2017",98.165.132.45,False,addition,reverted,Joel.Miles925,198,
20452275,"05:30, 22 June 2016",InfernoTerra,False,addition,reverted,Joel.Miles925,52,(Adding video via video picker tool)
20446982,"08:46, 21 June 2016",SarahB,False,revert,active,,9869,(Reverted edits by 103.35.168.30 (Talk); changed back to last version by Votebot)
20446545,"07:53, 21 June 2016",103.35.168.30,False,addition,reverted,SarahB,70,
20446540,"07:52, 21 June 2016",103.35.168.30,False,major_deletion,reverted,SarahB,-9939,
19943522,"08:53, 3 April 2016",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
19431967,"16:36, 14 January 2016",Wikivisual,False,major_addition,active,,735,(Saving new step-by-step photos)
19393562,"02:13, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-238,(Removing redundant wikitext from Related wikiHows section)
19094101,"09:53, 19 December 2015",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
18663941,"08:53, 16 October 2015",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
18103314,"11:55, 29 July 2015",MiscBot,False,deletion,active,,-84,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17873033,"21:32, 21 July 2015",MiscBot,False,cleanup,active,,1,(Correcting spelling and/or grammar.)
17859761,"18:01, 21 July 2015",MiscBot,False,cleanup,active,,1,(Correcting spelling and/or grammar.)
17213494,"13:10, 27 April 2015",Votebot,False,adjustment,reverted,Zygomatt,0,(reordering tips and warnings based on votes)
16794441,"03:05, 4 March 2015",Seymour Edits,False,addition,active,,108,
16794430,"03:02, 4 March 2015",Seymour Edits,False,major_addition,active,,5222,
15131943,"01:45, 21 August 2014",Wikivisual,False,addition,active,,97,(Enlarging and centering Steps photos)
15131942,"01:45, 21 August 2014",Wikivisual,False,major_addition,active,,686,(Saving new step-by-step photos)
12221584,"17:24, 26 December 2013",Votebot,False,deletion,reverted,Zygomatt,-1,(reordering tips and warnings based on votes)
7767109,"20:46, 15 May 2012",Editor590489584,False,revert,active,,-145,(Reverted edits by 99.225.230.246 (Talk); changed back to last version by Wendy Weaver)
7766589,"18:57, 15 May 2012",99.225.230.246,False,sourcing,reverted,Editor590489584,145,(→‎Sources and Citations)
6420266,"00:03, 30 July 2011",Wendy Weaver,False,addition,reverted,Editor590489584,83,(Weaving the web of links)
4947069,"12:45, 18 August 2010",Spyagent101,False,addition,active,,50,(Added Image using ImageAdder Tool)
3179686,"21:20, 5 March 2009",Flickety,False,deletion,active,,-52,(RBR)
3027580,"19:07, 22 January 2009",MartynP,False,deletion,active,,-54,(title changed)
3027575,"19:07, 22 January 2009",MartynP,False,adjustment,active,,0,(Install a Garage Door moved to Install a Garage Door Opener: suggestion)
3023520,"15:22, 21 January 2009",AlmostBrazilian,False,addition,active,,54,(Suggest Title Change)
3023489,"15:07, 21 January 2009",RMunsonNJ,False,addition,active,,82,(editing article via New Article Boost feature)
3021420,"23:50, 20 January 2009",WikiHowUser20221012045502,False,addition,active,,486,(Relateds)
2999246,"17:48, 15 January 2009",Bunk,False,major_addition,active,,3327,(categorizing)
