Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33487558,"02:11, 15 June 2025",Bhoimus,False,deletion,active,,-1,(wp)
33487556,"02:11, 15 June 2025",Bhoimus,False,addition,active,,18,(adding Horizontal TOC magic word (forums.wikihow.com/t/16140))
32730108,"13:25, 20 August 2024",WikiHow Projects,False,addition,active,,129,(Added expert citations)
30544432,"09:20, 14 May 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30159782,"22:51, 23 December 2021",XxVxX,False,addition,active,,7,(Updating image tag)
28889097,"23:53, 18 November 2020",JayneG,False,deletion,active,,-272,(editing article via New Article Boost feature)
28863728,"13:13, 13 November 2020",Julia2002,False,addition,active,,48,(categorization)
28862230,"23:55, 12 November 2020",Nick Cejka,False,deletion,active,,-25,
28762819,"21:12, 19 October 2020",Nick Cejka,False,addition,active,,25,
28762815,"21:10, 19 October 2020",Nick Cejka,False,major_addition,active,,602,
28762752,"20:49, 19 October 2020",Nick Cejka,False,addition,active,,25,
28762745,"20:45, 19 October 2020",Nick Cejka,False,addition,active,,3,
28762740,"20:44, 19 October 2020",Nick Cejka,False,addition,active,,17,
28762735,"20:42, 19 October 2020",Nick Cejka,False,addition,active,,9,
28762734,"20:42, 19 October 2020",Nick Cejka,False,deletion,active,,-4,
28762733,"20:41, 19 October 2020",Nick Cejka,False,addition,active,,17,
28762726,"20:38, 19 October 2020",Nick Cejka,False,major_addition,active,,10422,(Creating a new article via the Article Creator)
