Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34098400,"20:08, 19 February 2026",MiscBot,False,deletion,active,,-69,(Removing Related Articles section)
34082824,"03:11, 19 February 2026",MiscBot,False,revert,active,,71,(Reverting the Related Articles section removal)
34067076,"20:03, 18 February 2026",MiscBot,False,deletion,active,,-71,(Removing Related Articles section)
33369700,"04:01, 3 May 2025",MiscBot,False,deletion,active,,-188,(Automatic external link checking: updating and/or deleting links that are broken)
33182468,"19:27, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31203460,"10:21, 26 December 2022",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
29889102,"01:27, 15 September 2021",MiscBot,False,addition,active,,9,(Automatic category consolidation.)
27724212,"09:20, 13 February 2020",Seymour Edits,False,sourcing,active,,-73,(Added sources and a reflist for the wikiHaus content team.)
27686148,"11:53, 5 February 2020",Seymour Edits,False,sourcing,active,,266,(Added sources for the wikiHaus content team.)
26298004,"02:54, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25408668,"23:37, 12 October 2018",Seymour Edits,False,addition,active,,138,(Added the Summary template to this article)
24163618,"13:31, 6 March 2018",WikiHow Intern,False,deletion,active,,-8,(Change to appropriate sub-category)
22738217,"04:09, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-24,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
20742411,"05:51, 10 August 2016",Wikivisual,False,addition,active,,120,(Saving new step-by-step photos)
19392771,"01:58, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-77,(Removing redundant wikitext from Related wikiHows section)
18103117,"11:49, 29 July 2015",MiscBot,False,deletion,active,,-238,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
15672756,"02:40, 20 October 2014",Wikivisual,False,addition,active,,137,(Enlarging and centering Steps photos)
15672755,"02:40, 20 October 2014",Wikivisual,False,major_addition,active,,652,(Saving new step-by-step photos)
15533128,"23:29, 3 October 2014",Kriskross7,False,major_addition,active,,4705,
15468061,"15:15, 26 September 2014",Wikivisual,False,addition,active,,41,(Enlarging and centering Steps photos)
15468060,"15:15, 26 September 2014",Wikivisual,False,addition,active,,260,(Saving new step-by-step photos)
15144088,"21:19, 21 August 2014",Anna,False,addition,active,,1,(editing article via New Article Boost feature)
15144084,"21:18, 21 August 2014",Anna,False,addition,active,,87,(Adding related wikihow from NAB)
15108635,"00:59, 19 August 2014",HumanBeing,False,addition,active,,27,(categorization)
14953705,"16:05, 14 August 2014",Safes,False,major_addition,active,,4075,(Creating a new article via the Article Creator)
