Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33179684,"18:50, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31082938,"02:50, 18 November 2022",Seymour Edits,False,addition,active,,447,(Updated green box.)
29572352,"22:38, 20 May 2021",XxVxX,False,adjustment,active,,0,(Fixing invalid unit)
29571920,"19:18, 20 May 2021",Seymour Edits,False,deletion,active,,-28,(Updated expert ref)
29571917,"19:17, 20 May 2021",Seymour Edits,False,major_addition,active,,632,(Added expert refs)
29521550,"10:42, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-50,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29374657,"09:05, 24 March 2021",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
27206869,"03:31, 13 October 2019",Seymour Edits,False,addition,active,,140,(Added the Summary template to this article)
26716784,"09:28, 24 June 2019",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
26502879,"17:31, 3 May 2019",Wikivisual,False,major_addition,active,,568,(Saving new step-by-step photos)
26258575,"23:55, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26068183,"15:21, 21 February 2019",Seymour Edits,False,major_addition,active,,611,(Auditor feedback revisions.)
26008441,"16:19, 9 February 2019",Seymour Edits,False,major_addition,active,,1048,(Adding steps.)
26005170,"20:55, 8 February 2019",Seymour Edits,False,major_addition,active,,8939,(Expanding into parts with sourcing.)
24051482,"03:42, 17 February 2018",WikiHow Intern,False,deletion,active,,-40,(Change to appropriate sub-category)
22665098,"22:58, 21 June 2017",WikiHow Projects,False,deletion,active,,-340,(removing broken links)
21420821,"23:03, 29 November 2016",Flickety,False,addition,active,,46,(Add relevant sub-cat)
19335125,"00:33, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-29,(Removing redundant wikitext from Related wikiHows section)
18070748,"22:54, 28 July 2015",MiscBot,False,deletion,active,,-98,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17922655,"01:25, 25 July 2015",InterwikiBot,False,deletion,active,,-82,"(Removing interwiki links, no longer needed in wikitext)"
16263329,"11:39, 31 December 2014",Ciara Is here,False,revert,active,,-89,(RCP reverted edits by 46.30.178.22 (talk) to  revision #13826005 by InterwikiBot)
16263236,"11:04, 31 December 2014",46.30.178.22,False,adjustment,reverted,Ciara Is here,0,
16263229,"11:03, 31 December 2014",46.30.178.22,False,addition,reverted,Ciara Is here,89,
13826005,"17:46, 4 June 2014",InterwikiBot,False,addition,reverted,Ciara Is here,41,(Adding interwiki link)
11686576,"08:08, 5 November 2013",41.182.177.214,False,deletion,active,,-1,
11071105,"19:46, 10 September 2013",Wikiphoto,False,addition,active,,64,(Enlarging and centering Steps photos)
11071104,"19:46, 10 September 2013",Wikiphoto,False,addition,active,,311,(Saving new step-by-step photos)
10409109,"16:40, 8 July 2013",Aegis,False,revert,active,,-62,(Reverted edits by 182.185.168.88 (Talk); changed back to last version by InterwikiBot)
10409080,"16:40, 8 July 2013",182.185.168.88,False,deletion,reverted,Aegis,-12,
10409014,"16:39, 8 July 2013",182.185.168.88,False,addition,reverted,Aegis,74,
9340825,"05:44, 5 March 2013",InterwikiBot,False,addition,reverted,Ciara Is here,41,(Adding interwiki link)
8564403,"00:00, 12 October 2012",BR,False,deletion,active,,-40,
8562152,"16:11, 11 October 2012",Skrrp,False,addition,active,,1,"(Quick edit while patrolling - spaces, capitalisation)"
8562095,"15:57, 11 October 2012",123.236.223.164,False,addition,active,,31,
8385618,"21:36, 5 September 2012",BR,False,revert,active,,-391,(Reverted edits by Emichaelsen (Talk); changed back to last version by BR)
8385424,"20:33, 5 September 2012",Emichaelsen,False,addition,reverted,BR,391,
8367216,"00:10, 2 September 2012",BR,False,revert,reverted,BR,-68,(Reverted edits by 122.151.92.56 (Talk); changed back to last version by Wendy Weaver)
8367182,"00:04, 2 September 2012",122.151.92.56,False,addition,reverted,BR,68,(→‎Steps)
7198162,"23:31, 27 January 2012",Wendy Weaver,False,addition,reverted,BR,81,(Weaving the web of links)
6208886,"16:26, 15 June 2011",Kati_24,False,addition,active,,68,(Edit via Image Picker: Added an image)
6206303,"03:46, 15 June 2011",IngeborgK,False,addition,active,,23,(categorization)
6204149,"21:00, 14 June 2011",WRM,False,major_addition,active,,3793,(Creating new article)
