Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34092424,"18:50, 19 February 2026",MiscBot,False,deletion,active,,-125,(Removing Related Articles section)
34076612,"01:41, 19 February 2026",MiscBot,False,revert,active,,187,(Reverting the Related Articles section removal)
34060705,"18:30, 18 February 2026",MiscBot,False,deletion,active,,-187,(Removing Related Articles section)
33335718,"05:00, 21 April 2025",MiscBot,False,deletion,active,,-178,(Automatic external link checking: updating and/or deleting links that are broken)
31965186,"00:54, 29 September 2023",WikiHow Projects,False,deletion,active,,-73,(removing broken link)
31619132,"22:44, 11 May 2023",Thomas_Ch,False,revert,active,,326,(Expert Interview Section added.)
31573582,"07:34, 28 April 2023",Seymour Edits,False,addition,active,,40,(Added expert citations.)
31009242,"16:28, 25 October 2022",MiscBot,False,cleanup,active,,-18,(Reformatting the Things You Should Know section)
30468953,"22:23, 15 April 2022",Seymour Edits,False,addition,active,,323,(added TYSK)
28030619,"20:44, 24 April 2020",Bridget8,False,deletion,active,,-105,(deleting old video)
28022586,"18:57, 22 April 2020",Caitlynn L,False,revert,active,,-4092,(revert for wikiHaus test - message me if you have any questions)
27962302,"21:22, 8 April 2020",Wikiphoto,False,deletion,active,,-104,(removed QS)
27590940,"14:42, 13 January 2020",Wikivisual,False,addition,active,,210,(Saving new step-by-step photos)
27207009,"05:02, 13 October 2019",Seymour Edits,False,major_deletion,active,,-639,"(combined repetitive steps, improved readability and sourcing)"
27202077,"16:15, 11 October 2019",Seymour Edits,False,sourcing,active,,4625,"(expanded and reorganized existing content, added references)"
26916786,"07:21, 8 August 2019",RelatedWikihowsBot,False,deletion,active,,-42,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26693876,"07:44, 18 June 2019",Seymour Edits,False,sourcing,active,,235,(Added sources for the wikihaus content team.)
26325585,"05:43, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25231421,"23:55, 12 September 2018",Wikivisual,False,addition,active,,105,(Saving new step-by-step photos)
24571756,"23:43, 14 May 2018",MiscBot,False,deletion,active,,-363,(Converting summary section to the new Summary template.)
24118845,"14:18, 27 February 2018",Seymour Edits,False,addition,active,,15,"(Editing the Introduction and editing ""In a Hurry?"" for wikihaus based on reviewer feedback)"
24077664,"20:23, 21 February 2018",Seymour Edits,False,addition,active,,220,"(Editing the Introduction and adding ""In a Hurry?"" for wikihaus)"
21255289,"19:45, 31 October 2016",Flickety,False,addition,active,,16,(Switch to appropriate category)
19330639,"00:10, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-180,(Removing redundant wikitext from Related wikiHows section)
19210750,"22:31, 5 January 2016",RedirectsBot,False,deletion,active,,-25,(Updating link to point directly to article instead of redirect)
18923900,"14:06, 24 November 2015",167.121.4.35,False,deletion,active,,-1,"(In the Intro the statement, "" It is as if the ceiling was see-through and you could see right through it to the floor below."" is incorrect and in direct conflict with the explanation that precedes it.)"
17919550,"00:21, 25 July 2015",InterwikiBot,False,deletion,active,,-40,"(Removing interwiki links, no longer needed in wikitext)"
16452847,"07:35, 24 January 2015",Wikivisual,False,major_deletion,active,,-1203,(Saving new step-by-step photos)
15429029,"21:32, 22 September 2014",Donagan,False,cleanup,active,,3,(Fixing misspellings via the Spellchecker tool)
13567763,"15:25, 10 May 2014",BR,False,revert,active,,-345,(Reverted edits by 71.132.143.45 (Talk); changed back to last version by Votebot)
13567534,"14:54, 10 May 2014",71.132.143.45,False,addition,reverted,BR,345,
13506473,"16:47, 4 May 2014",Votebot,False,adjustment,reverted,BR,0,(reordering tips and warnings based on votes)
12887838,"05:02, 5 March 2014",Wikiphoto,False,addition,active,,200,(Enlarging and centering Steps photos)
12887835,"05:01, 5 March 2014",Wikiphoto,False,major_addition,active,,1449,(Saving new step-by-step photos)
12872861,"18:55, 3 March 2014",Votebot,False,adjustment,reverted,BR,0,(reordering tips and warnings based on votes)
12031877,"18:45, 7 December 2013",Votebot,False,adjustment,reverted,BR,0,(reordering tips and warnings based on votes)
11722905,"21:17, 7 November 2013",Votebot,False,deletion,reverted,BR,-3,(reordering tips and warnings based on votes)
11486433,"22:18, 21 October 2013",Votebot,False,addition,reverted,BR,3,(reordering tips and warnings based on votes)
10907018,"09:40, 24 August 2013",Quietbookworm,False,revert,active,,0,(Reverted edits by 121.247.162.120 (Talk); changed back to last version by Votebot)
10907011,"09:33, 24 August 2013",121.247.162.120,False,addition,reverted,Quietbookworm,8,
10907009,"09:32, 24 August 2013",121.247.162.120,False,deletion,reverted,Quietbookworm,-8,
9019511,"21:18, 11 January 2013",Votebot,False,adjustment,reverted,BR,0,(reordering tips and warnings based on votes)
8718182,"01:03, 13 November 2012",WikiHow Traduce,False,addition,active,,40,
8539286,"06:35, 7 October 2012",112.209.77.75,False,addition,active,,14,
8038096,"14:39, 5 July 2012",BeautyNBrains,False,addition,active,,42,(Edit via Image Picker: Added an image)
6478892,"00:40, 10 August 2011",Wendy Weaver,False,addition,active,,64,(Weaving the web of links)
6286064,"18:41, 30 June 2011",Zevante101,False,deletion,active,,-70,(Edit via Quality Guardian: Removed image that didn't perfectly match the text.)
6285302,"15:45, 30 June 2011",Terizajac,False,addition,active,,71,(Edit via Image Picker: Added an image)
3960528,"19:08, 29 October 2009",LinkTool,False,addition,active,,35,(Adding keyword links for phrase sprinkler heads)
2302026,"01:46, 15 July 2008",WikiHowUser20221012045502,False,addition,active,,310,(relateds)
2290567,"00:33, 12 July 2008",Henryka,False,deletion,active,,-30,
2290359,"23:55, 11 July 2008",Henryka,False,addition,active,,71,
2290298,"23:34, 11 July 2008",Henryka,False,addition,active,,4,
2285830,"00:30, 11 July 2008",Henryka,False,deletion,active,,-2,
2285763,"00:14, 11 July 2008",Henryka,False,addition,active,,21,
2284684,"20:16, 10 July 2008",Henryka,False,addition,active,,401,
2284611,"19:54, 10 July 2008",Henryka,False,major_addition,active,,1179,
2270808,"20:06, 7 July 2008",Bulrush,False,addition,active,,4,(Fix tag to {{inuse}})
2270729,"19:44, 7 July 2008",Henryka,False,addition,active,,26,
2266667,"20:46, 6 July 2008",Henryka,False,addition,active,,58,
2266586,"20:16, 6 July 2008",Henryka,False,addition,active,,405,
2266572,"20:11, 6 July 2008",Henryka,False,major_addition,active,,946,(categorizing)
