Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33441142,"20:19, 31 May 2025",WikiHow Horizon 3,False,deletion,active,,-262,
31349161,"16:04, 12 February 2023",Seymour Edits,False,addition,active,,459,(Added expert citations)
29886182,"01:09, 15 September 2021",MiscBot,False,adjustment,active,,0,(Automatic category consolidation.)
28764044,"07:43, 20 October 2020",WikiHow Projects,False,deletion,active,,-153,(removing broken link)
26580792,"23:50, 21 May 2019",Anna,False,revert,active,,-161,(Reverted edits by 98.152.72.130 (Talk); changed back to last version by MiscBot)
26580211,"21:59, 21 May 2019",98.152.72.130,False,sourcing,reverted,Anna,-2,(→‎References)
26580209,"21:59, 21 May 2019",98.152.72.130,False,sourcing,reverted,Anna,163,(→‎References)
26298125,"02:54, 29 March 2019",MiscBot,False,sourcing,reverted,Anna,-11,(Updating References section name to match new sitewide conventions)
26075604,"04:23, 23 February 2019",Seymour Edits,False,addition,active,,136,(Added the Summary template to this article)
21255308,"19:48, 31 October 2016",Flickety,False,addition,active,,12,(Switch to appropriate category)
19906748,"08:52, 29 March 2016",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
18101912,"11:13, 29 July 2015",MiscBot,False,deletion,reverted,Anna,-182,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17970360,"19:44, 27 July 2015",InterwikiBot,False,deletion,active,,-86,"(Removing interwiki links, no longer needed in wikitext)"
17679515,"20:50, 25 June 2015",Awesome_Arnav,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
17672324,"03:17, 25 June 2015",Lcmortensen,False,addition,active,,161,(→‎Steps:  two R scales)
15815961,"22:32, 5 November 2014",MiscBot,False,addition,reverted,Anna,56,(Adding conversion template.)
15732005,"05:10, 27 October 2014",JackHerrick,False,revert,active,,1,(RCP reverted edits by Sid15 (talk) to  revision #13917093 by InterwikiBot)
15731932,"04:56, 27 October 2014",Sid15,False,cleanup,reverted,JackHerrick,-1,(Fixing misspellings via the Spellchecker tool)
13917093,"17:53, 13 June 2014",InterwikiBot,False,addition,reverted,JackHerrick,37,(Adding interwiki link)
12244143,"16:23, 29 December 2013",InterwikiBot,False,addition,reverted,JackHerrick,24,(Adding interwiki link)
11659749,"06:07, 3 November 2013",Wikiphoto,False,addition,active,,118,(Enlarging and centering Steps photos)
11659748,"06:07, 3 November 2013",Wikiphoto,False,major_addition,active,,654,(Saving new step-by-step photos)
11510112,"12:37, 23 October 2013",Lepereira,False,sourcing,active,,25,(→‎Sources and Citations)
10716888,"05:13, 7 August 2013",MiscBot,False,deletion,reverted,Anna,-15,(Removing nointroimg template)
10639916,"22:08, 31 July 2013",Run2run2,False,addition,active,,44,(categorization)
10631043,"00:01, 31 July 2013",WRM,False,major_addition,active,,8447,(New page: {{nointroimg}} Attic insulation is one of the most cost-effective ways to reduce your energy consumption without sacrificing a warm house. Read this guide to learn the basics of doing it y...)
