Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33178883,"18:39, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32612558,"08:51, 28 June 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32128298,"23:17, 10 December 2023",WikiHow Horizon 3,False,major_deletion,active,,-605,(Deleted link/s)
31882271,"07:32, 23 August 2023",WikiHow Projects,False,deletion,active,,-73,(removing broken link)
31229490,"19:10, 4 January 2023",Hailey,False,revert,active,,-912,(RCP reverted edits by Peter Strous (talk) to  revision #30570211 by Seymour Edits)
31229406,"18:11, 4 January 2023",Peter Strous,False,major_addition,reverted,Hailey,912,
30570211,"17:28, 24 May 2022",Seymour Edits,False,revert,reverted,Hailey,116,(Adding subtitle for wikiHaus test. Do not revert.)
30188421,"22:09, 7 January 2022",220.253.70.160,False,major_addition,active,,656,
29993381,"03:07, 21 October 2021",MiscBot,False,deletion,active,,-4,(Automatic category consolidation.)
29535586,"11:30, 10 May 2021",WikiHow Projects,False,addition,active,,2,(Move JSON to bottom)
29416546,"09:07, 6 April 2021",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
29314978,"17:48, 10 March 2021",Vanna Tran,False,addition,active,,59,(Video added via Video Embed Helper Tool)
29196479,"18:10, 10 February 2021",Wikivisual,False,addition,active,,117,(Saving new step-by-step photos)
29125186,"23:51, 22 January 2021",Wikiphoto,False,addition,active,,299,(added JSON)
28772517,"08:16, 22 October 2020",WikiaWang,False,revert,active,,0,(Reverted edits by 61.93.0.218 (Talk); changed back to last version by Snowflakeiesta)
28772498,"08:06, 22 October 2020",61.93.0.218,False,adjustment,reverted,WikiaWang,0,
28772294,"07:00, 22 October 2020",Snowflakeiesta,False,revert,reverted,WikiaWang,0,(RCP reverted edits by 61.93.0.218 (talk) to  revision #28414571 by WikiHow Expert Review)
28772281,"06:52, 22 October 2020",61.93.0.218,False,adjustment,reverted,WikiaWang,0,
28414571,"22:13, 24 July 2020",WikiHow Expert Review,False,addition,reverted,Snowflakeiesta,127,(Integrated tips from NCA)
26328793,"06:00, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
24943902,"22:51, 22 July 2018",Wikivisual,False,major_addition,active,,1188,(Saving new step-by-step photos)
24941853,"09:55, 22 July 2018",WikiHowUser20220204205835,False,revert,active,,-5,(RCP reverted edits by Jozsef Hegedus (talk) to  revision #24749826 by Seymour Edits)
24941620,"08:30, 22 July 2018",Jozsef_Hegedus,False,addition,active,,5,
24749826,"20:57, 13 June 2018",Seymour Edits,False,deletion,reverted,Hailey,-2,
24748511,"15:47, 13 June 2018",Seymour Edits,False,addition,reverted,Hailey,7,
24748111,"14:39, 13 June 2018",Humayra Ahmed,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24743446,"21:52, 12 June 2018",Melvyn Latham iv,False,addition,active,,27,(categorization)
24743301,"21:14, 12 June 2018",Seymour Edits,False,addition,reverted,Hailey,154,(Added the Summary template to this article)
24743294,"21:12, 12 June 2018",WRM,False,major_addition,active,,11128,(Created New Article)
