Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34154162,"09:45, 22 March 2026",Bhoimus,False,adjustment,active,,0,"(Protected ""Handle a Newborn Baby"": LTA target ([Edit=Block unregistered and un-autoconfirmed users] (expires 09:45, 22 May 2026 (UTC)) [Move=Block unregistered and un-autoconfirmed users] (expires 09:45, 22 May 2026 (UTC))))"
34154153,"09:41, 22 March 2026",Bhoimus,False,revert,active,,-87,(Reverted edits by I record myself plugging Airpods up my ass and pooping them back out while moaning (Talk); changed back to last version by MiscBot)
34154000,"07:13, 22 March 2026",WikiHowUser20260322200207,False,addition,active,,87,(I plugged a battery up my cat because she's overweight and I want to make her fatter)
34100150,"20:30, 19 February 2026",MiscBot,False,deletion,reverted,Bhoimus,-93,(Removing Related Articles section)
34084564,"03:36, 19 February 2026",MiscBot,False,revert,reverted,Bhoimus,94,(Reverting the Related Articles section removal)
34069027,"20:43, 18 February 2026",MiscBot,False,deletion,reverted,Bhoimus,-94,(Removing Related Articles section)
33933918,"07:42, 29 December 2025",Bhoimus,False,adjustment,active,,0,"(Changed protection level for ""Handle a Newborn Baby"": whoops ([Edit=Block unregistered and un-autoconfirmed users] (expires 07:40, 29 January 2026 (UTC)) [Move=Block unregistered and un-autoconfirmed users] (expires 07:40, 29 January 2026 (UTC))))"
33933914,"07:40, 29 December 2025",Bhoimus,False,major_deletion,active,,-915,
33933913,"07:40, 29 December 2025",Bhoimus,False,adjustment,active,,0,"(Protected ""Handle a Newborn Baby"": LTA target ([Edit=Administrators only] (expires 07:40, 29 January 2026 (UTC)) [Move=Administrators only] (expires 07:40, 29 January 2026 (UTC))))"
33933889,"07:31, 29 December 2025",WikiHowUser20251229135145,False,major_addition,active,,915,"(𝙸 𝙻𝙾𝚅𝙴 𝙼𝙰𝙺𝙸𝙽𝙶 𝙱𝙰𝙱𝙸𝙴𝚂 𝙴𝙰𝚃 𝙲𝚄𝙼, 𝙸 𝙰𝙻𝚂𝙾 𝙼𝙰𝙳𝙴 𝙰 𝙱𝙰𝙱𝚈 𝚂𝚄𝙲𝙺 𝙰 𝙲𝙾𝙲𝙺, 𝚃𝙰𝙺𝙴 𝙰 𝙲𝚄𝙼𝚂𝙷𝙾𝚃 𝙸𝙽𝚃𝙾 𝚃𝙷𝙴𝙸𝚁 𝙰𝚂𝚂, 𝙼𝙰𝙳𝙴 𝚃𝙷𝙴𝙼 𝙶𝙴𝚃 𝙰𝙽 𝚂𝚃𝙳, 𝙰𝙽𝙳 𝙲𝙷𝙾𝙿𝙿𝙸𝙽𝙶 𝙾𝙵 𝚃𝙷𝙴𝙸𝚁 𝙿𝙴𝙽𝙸𝚂 𝙰𝙽𝙳 𝙼𝙰𝙺𝙸𝙽𝙶 𝚃𝙷𝙴 𝙱𝙰𝙱𝚈 𝙴𝙰𝚃 𝙸𝚃. 𝙸 𝙱𝚁𝙴𝙰𝚂𝚃 𝙵𝙴𝙴𝙳 𝚃𝙷𝙴 𝙱𝙰𝙱𝚈 𝙲𝚄𝙼, 𝙱𝙻𝙾𝙾𝙳 𝙰𝙽𝙳 𝚂𝙷𝙾𝙾𝚃 𝚃𝙸𝚃𝚃𝚈 𝙼𝙸𝙻𝙺 𝙸𝙽𝚃𝙾 𝚃𝙷𝙴𝙸𝚁 𝙰𝚂𝚂. 𝙸 𝙼𝚈 𝙳𝙾𝙶 𝙲𝙷𝙴𝚆𝙴𝙳 𝙾𝙵𝙵 𝙼𝚈 𝙱𝙰𝙱𝙸𝙴𝚂 𝙳𝙸𝙲𝙺.)"
33769004,"22:23, 21 October 2025",Bhoimus,False,adjustment,active,,0,"(Protected ""Handle a Newborn Baby"": LTA target ([Edit=Block unregistered and un-autoconfirmed users] (expires 22:23, 4 November 2025 (UTC)) [Move=Block unregistered and un-autoconfirmed users] (expires 22:23, 4 November 2025 (UTC))))"
33768640,"18:53, 21 October 2025",CommunityTeam,False,revert,active,,-454,(Reverted edits by Tiagoroth RAPES BABIES (Talk); changed back to last version by Stormyy)
33768521,"18:24, 21 October 2025",WikiHowUser20251021185520,False,addition,active,,454,"(My baby g͎o͎e͎s͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎ ͎a͎n͎d͎ ͎u͎p͎ ͎a͎n͎d͎ ͎d͎o͎w͎n͎,͎ ͎j͎u͎s͎t͎ ͎l͎i͎k͎e͎ ͎F͎U͎E͎R͎D͎A͎I͎.͎)"
33661116,"22:31, 5 September 2025",Stormyy,False,revert,reverted,CommunityTeam,-198,(RCP reverted edits by Username123456 (talk) to  revision #33644609 by Bhoimus)
33661115,,Unknown,False,addition,active,,198,(comment removed)
33644609,"00:13, 29 August 2025",Bhoimus,False,adjustment,reverted,Stormyy,0,"(Protected ""Handle a Newborn Baby"": LTA target ([Edit=Block unregistered and un-autoconfirmed users] (expires 00:13, 5 September 2025 (UTC)) [Move=Block unregistered and un-autoconfirmed users] (expires 00:13, 5 September 2025 (UTC))))"
33644154,"18:29, 28 August 2025",Tiagoroth,False,revert,reverted,CommunityTeam,-30,(Reverted edits by Tiagoroth pissing and crying blood while taking a handjob and jizzing on wheeIs (Talk); changed back to last version by Hopedemi)
33644127,"18:24, 28 August 2025",WHuser28082501,False,addition,active,,30,
33639545,"18:16, 26 August 2025",Hopedemi,False,revert,reverted,Tiagoroth,-47,(Reverted edits by Bhoimus raping and abusing children (Talk); changed back to last version by Hopedemi)
