Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33495809,"19:02, 18 June 2025",MiscBot,False,deletion,active,,-58,(Automatic external link checking: updating and/or deleting links that are broken)
33233451,"22:24, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32720000,"23:56, 14 August 2024",WikiHow Horizon 3,False,addition,active,,13,(http ► https)
32687410,"08:48, 31 July 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32435809,"05:16, 15 April 2024",WikiHow Projects,False,deletion,active,,-76,(removing broken link)
32435808,"05:12, 15 April 2024",WikiHow Projects,False,addition,active,,1,(updating link)
30188930,"04:37, 8 January 2022",HumanBeing,False,revert,active,,-84,(RCP reverted edits by Atif Sharif (talk) to  revision #29889203 by MiscBot)
30188928,"04:35, 8 January 2022",Atif Sharif,False,addition,reverted,HumanBeing,84,
29889203,"01:28, 15 September 2021",MiscBot,False,deletion,reverted,HumanBeing,-11,(Automatic category consolidation.)
29578629,"15:06, 23 May 2021",Wikivisual,False,addition,active,,88,(Saving new step-by-step photos)
26331768,"06:17, 29 March 2019",MiscBot,False,sourcing,reverted,HumanBeing,-11,(Updating References section name to match new sitewide conventions)
26102651,"09:28, 28 February 2019",WikiHow Projects,False,deletion,active,,-269,(removing broken link)
25358629,"18:32, 4 October 2018",Seymour Edits,False,addition,active,,135,(Added the Summary template to this article)
23919271,"03:01, 25 January 2018",WikiHow Intern,False,addition,active,,8,(Change to appropriate sub-category)
22565311,"23:37, 5 June 2017",Flickety,False,addition,active,,5,(Change to appropriate sub-category)
21772942,"09:49, 31 January 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20512883,"18:53, 1 July 2016",Wikiphoto,False,addition,active,,61,(Adding revised images)
20488322,"17:20, 27 June 2016",Wikivisual,False,addition,active,,398,(Saving new step-by-step photos)
20483852,"23:35, 26 June 2016",WikiHow Projects,False,deletion,active,,-14,(fixing link)
19522629,"09:54, 25 January 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19463694,"15:59, 18 January 2016",Butterfly princess,False,addition,active,,89,(New tip approved in Tips Patrol)
19421481,"15:15, 13 January 2016",CriminalCoroner,False,cleanup,active,,2,(Fixing misspellings via the Spellchecker tool)
19403834,"05:09, 12 January 2016",Seymour Edits,False,major_addition,active,,2288,(Renamed Part 1; expanded original Step 1.1 into multiple steps; added bullets to each new step created; slightly rearranged some preexisting steps.)
19164380,"22:33, 30 December 2015",Pdraux,False,cleanup,active,,2,(Fixing misspellings via the Spellchecker tool)
19156673,"16:14, 29 December 2015",Seymour Edits,False,sourcing,active,,9862,(Reworked introduction; added parts; added steps; added bullets to steps; added in-text citations and a references list; modified tips and warnings.)
18087418,"04:28, 29 July 2015",MiscBot,False,deletion,reverted,HumanBeing,-210,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17952187,"18:21, 27 July 2015",InterwikiBot,False,deletion,active,,-87,"(Removing interwiki links, no longer needed in wikitext)"
17574202,"18:15, 10 June 2015",Vidbot,False,addition,active,,41,(restoring removed video)
17540571,"10:43, 6 June 2015",Vidbot,False,deletion,active,,-41,(Removing unavailable video from article)
17508246,"19:24, 2 June 2015",GeekySonic,False,revert,active,,-225,(RCP reverted edits by 63.88.13.250 (talk) to  revision #16181437 by Amna_35)
17507573,"17:52, 2 June 2015",63.88.13.250,False,addition,reverted,GeekySonic,225,
16181437,"12:49, 18 December 2014",Amna_35,False,revert,reverted,GeekySonic,-50,(RCP reverted edits by 59.144.179.60 (talk) to  revision #16064664 by InterwikiBot)
16181344,"12:39, 18 December 2014",59.144.179.60,False,addition,reverted,Amna_35,30,
16181341,"12:38, 18 December 2014",59.144.179.60,False,addition,reverted,Amna_35,20,
16064664,"14:41, 4 December 2014",InterwikiBot,False,addition,reverted,Amna_35,31,(Adding interwiki link)
15184713,"18:13, 26 August 2014",Hannah Banana xox,False,addition,active,,40,(Adding video via video picker tool)
13152166,"02:21, 1 April 2014",InterwikiBot,False,addition,reverted,Amna_35,33,(Adding interwiki link)
11819752,"14:32, 17 November 2013",Wikiphoto,False,addition,active,,133,(Enlarging and centering Steps photos)
11819751,"14:32, 17 November 2013",Wikiphoto,False,major_addition,active,,741,(Saving new step-by-step photos)
11535365,"22:16, 24 October 2013",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
11087551,"15:32, 12 September 2013",InterwikiBot,False,addition,reverted,Amna_35,23,(Adding interwiki link)
8046489,"00:59, 7 July 2012",Smileyface101,False,addition,active,,22,(categorization)
8037810,"12:48, 5 July 2012",WRM,False,major_addition,active,,4899,"(New page: Scrap metal has become more valuable in recent years because countries like China, India and other developing nations are willing to pay record prices for the goods. This article will teac...)"
