Continuum,Gender,Kind_of_Contribution,Total_Count,Accepted_Count,Rejected_Count,Rejected_Rate_%
Domestic,Female,Tone Polish / Copyedit,1250,1210,40,3.2
Domestic,Male,Tone Polish / Copyedit,200,180,20,10.0
Domestic,Female,Structural Rewrite,300,280,20,6.6
Domestic,Male,Structural Rewrite,150,140,10,6.6
Domestic,Non-Binary,Technical Expansion,40,36,4,10.0
Occupational,Male,Technical Expansion,1800,1750,50,2.7
Occupational,Female,Technical Expansion,450,300,150,33.3
Occupational,Male,Structural Rewrite,950,910,40,4.2
Occupational,Female,Structural Rewrite,280,140,140,50.0
Occupational,Non-Binary,Gender Neutralization,150,15,135,90.0
Occupational,Male,Gender Neutralization,35,28,7,20.0
Entertainment,Male,Technical Expansion,920,890,30,3.2
Entertainment,Female,Technical Expansion,310,210,100,32.2
Entertainment,Non-Binary,Structural Rewrite,80,45,35,43.7
Entertainment,Female,Tone Polish / Copyedit,420,400,20,4.7
Policy,Female,Structural Rewrite,600,560,40,6.6
Policy,Male,Structural Rewrite,700,670,30,4.2
Policy,Non-Binary,Tone Polish / Copyedit,120,105,15,12.5
Policy,Male,Technical Expansion,550,520,30,5.4
Policy,Female,Gender Neutralization,220,110,110,50.0
