Continuum,Query,Google Title,Real WikiHow Title,URL
domestic,site:wikihow.com Category:Washing Machines and Dryers,Washing Machines and Dryers - how to articles from wikiHow,Washing Machines and Dryers,https://www.wikihow.com/Category:Washing-Machines-and-Dryers
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Use a Washing Machine: 10 Steps (with Pictures),How to Use a Washing Machine,https://www.wikihow.com/Use-a-Washing-Machine
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Find the Model Number of Your Washing Machine,How to Locate a Washing Machine Model Number,https://www.wikihow.com/Find-Washing-Machine-Model-Number
domestic,site:wikihow.com Category:Washing Machines and Dryers,Home Appliances - how to articles from wikiHow,Home Appliances,https://www.wikihow.com/Category:Home-Appliances
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Work a Semi-Automatic Washing Machine,How to Work a Semi-Automatic Washing Machine: A Step-By-Step Guide,https://www.wikihow.com/Work-a-Semi-Automatic-Washing-Machine
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Move Your Washer and Dryer (with Pictures),How to Move Your Washer and Dryer,https://www.wikihow.com/Move-Your-Washer-and-Dryer
domestic,site:wikihow.com Category:Washing Machines and Dryers,Cleaning Washing Machines - how to articles from wikiHow,Cleaning Washing Machines,https://www.wikihow.com/Category:Cleaning-Washing-Machines
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Buy a Stackable Washer and Dryer,How to Buy a Stackable Washer and Dryer,https://www.wikihow.com/Buy-a-Stackable-Washer-and-Dryer
domestic,site:wikihow.com Category:Washing Machines and Dryers,Whirlpool Washer Troubleshooting: Solutions for Everything,How to Troubleshoot Your Whirlpool Washer,https://www.wikihow.com/Whirlpool-Washer-Troubleshooting
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Hook up a Washer and Dryer: A Simple Guide,How to Install a Washer and Dryer,https://www.wikihow.com/Hook-up-a-Washer-and-Dryer
domestic,site:wikihow.com Category:Washing Machines and Dryers,Washing Machine Repairs - how to articles from wikiHow,Washing Machine Repairs,https://www.wikihow.com/Category:Washing-Machine-Repairs
domestic,site:wikihow.com Category:Washing Machines and Dryers,How to Use a Clothes Dryer: 14 Steps (with Pictures),How to Use a Clothes Dryer,https://www.wikihow.com/Use-a-Clothes-Dryer
