Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33176454,"18:06, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33053813,"01:28, 9 January 2025",WikiHow Projects,False,addition,active,,2,(updating link)
33048187,"20:42, 6 January 2025",Hopedemi,False,revert,active,,319,(Expert Interview Section added.)
32998387,"21:50, 13 December 2024",Seymour Edits,False,addition,active,,473,(Added expert citations)
32677351,"22:14, 25 July 2024",Seymour Edits,False,addition,active,,368,(Added AB treatment)
32609753,"05:38, 27 June 2024",WikiHow Projects,False,addition,active,,2,(updating link)
32356531,"00:06, 12 March 2024",WikiHow Horizon 3,False,addition,active,,58,(Adding video via Video Adder tool)
32205120,"22:44, 12 January 2024",WikiHow Horizon 3,False,deletion,active,,-460,(Deleted link/s)
32080626,"00:40, 19 November 2023",WikiHow Horizon,False,deletion,active,,-33,(Deleted link/s)
28200906,"13:56, 3 June 2020",Caitlynn L,False,deletion,active,,-56,(helping WikiHaus Trainee - moving link to more closely related info)
28198670,"01:16, 3 June 2020",WikiHaus Trainee,False,addition,active,,94,(Adding relevant wikihow link)
27886657,"21:20, 22 March 2020",Seymour Edits,False,deletion,active,,-59,
27886653,"21:18, 22 March 2020",Seymour Edits,False,deletion,active,,-153,
27886644,"21:14, 22 March 2020",Seymour Edits,False,deletion,active,,-88,
26272899,"01:03, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25819919,"14:24, 30 December 2018",WikiHowUser20220204205835,False,revert,active,,35,(RCP reverted edits by 73.221.12.95 (talk) to  revision #25197242 by RelatedWikihowsBot)
25819158,"09:27, 30 December 2018",73.221.12.95,False,deletion,reverted,WikiHowUser20220204205835,-35,(Replaced inaccurate picture with pic more reflective of subject.)
25197242,"08:07, 6 September 2018",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20220204205835,-29,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
24670278,"23:20, 30 May 2018",Seymour Edits,False,addition,active,,152,(Added the Summary template to this article)
23970448,"19:21, 2 February 2018",Wikivisual,False,addition,active,,120,(Saving new step-by-step photos)
23891394,"21:52, 19 January 2018",Anna,False,addition,active,,2,(format fix)
23873122,"20:53, 16 January 2018",Ilovethesethings,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
23868700,"22:19, 15 January 2018",Phil fara,False,addition,active,,48,(Added Replace shielding in reassembly)
23868668,"22:14, 15 January 2018",Phil fara,False,addition,active,,268,(Added info to protecting neck joint)
23868609,"22:06, 15 January 2018",Phil fara,False,addition,active,,241,(Added more info to sealing.)
23512639,"14:09, 6 November 2017",WikiHow Edition,False,adjustment,active,,0,
22931142,"15:26, 28 July 2017",Wikivisual,False,major_addition,active,,1476,(Saving new step-by-step photos)
22887175,"22:25, 21 July 2017",Seymour Edits,False,cleanup,active,,11,"(grammar, flow, and internal links)"
22886703,"20:25, 21 July 2017",Seymour Edits,False,major_addition,active,,591,"(2.3 clarified about drying, 3.8 added more info about drying, 3.8 comma, 3.10 sentence about polish, added step about reassembling)"
22886599,"20:04, 21 July 2017",Seymour Edits,False,cleanup,active,,195,"(fixed intro, fixed p1 title, 1.3 added ""putty knife,"" 1.6 more details about the automotive filler, 1.8 fixed typo, removing hanging tip, clarified 2.1)"
22825818,"17:25, 11 July 2017",Seymour Edits,False,addition,active,,85,
22825793,"17:19, 11 July 2017",Seymour Edits,False,cleanup,active,,1103,"(broke 1.1 into 2 steps, explained 1.2 more, 1.6 broke into 2 steps and expanded, 2.2 broke into 2 parts, changed to sealer, added more steps in m3, 3.6 removed repeated step, 3.8 clarified, 3.9 typo)"
22806349,"16:56, 8 July 2017",StealthMojo,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
22794050,"16:24, 6 July 2017",Seymour Edits,False,sourcing,active,,-4307,"(created article. 3 methods, substeps, intro, references)"
22694671,"18:31, 26 June 2017",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20220204205835,-129,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22567367,"08:44, 6 June 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21785100,"09:42, 2 February 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21592485,"09:41, 2 January 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21257746,"08:41, 1 November 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21098082,"08:32, 8 October 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20918484,"08:34, 7 September 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20727662,"08:33, 7 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20711111,"17:24, 4 August 2016",HiDoctorMic,False,addition,active,,4,(Quick edit while patrolling)
20710744,"16:21, 4 August 2016",Yasmin Kirby,False,addition,active,,291,(New tip approved in Tips Patrol)
20543479,"08:37, 7 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20317625,"08:36, 30 May 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20185750,"08:33, 10 May 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19984230,"08:40, 9 April 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19944874,"15:54, 3 April 2016",WikiHowUser20200902171050,False,revert,active,,-295,(RCP reverted edits by Cirice (talk) to  revision #19783407 by Votebot)
19944859,"15:50, 3 April 2016",Cirice,False,addition,reverted,WikiHowUser20200902171050,295,(→‎Steps)
19783407,"10:37, 9 March 2016",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
19669933,"09:47, 19 February 2016",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
19470668,"09:48, 19 January 2016",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
19403225,"04:57, 12 January 2016",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20220204205835,-243,(Removing redundant wikitext from Related wikiHows section)
19094035,"09:51, 19 December 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
18909632,"09:40, 22 November 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
18702454,"07:52, 22 October 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
18477044,"08:31, 21 September 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
18275181,"08:44, 21 August 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
18110097,"15:23, 29 July 2015",MiscBot,False,addition,active,,40,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17982343,"07:27, 28 July 2015",InterwikiBot,False,deletion,active,,-276,"(Removing interwiki links, no longer needed in wikitext)"
17939337,"08:28, 27 July 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
17874960,"22:00, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
17683671,"13:31, 26 June 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
17420923,"13:14, 26 May 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
17202708,"12:58, 25 April 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
16950209,"12:53, 25 March 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
16711796,"14:37, 22 February 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
16684234,"07:39, 19 February 2015",Sieglindes,False,adjustment,active,,0,(→‎Steps)
16583579,"18:06, 6 February 2015",MiscBot,False,cleanup,active,,-2,(Correcting spelling and/or grammar.)
16579337,"17:36, 6 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
16437735,"14:52, 22 January 2015",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
16207954,"14:50, 22 December 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
15958419,"14:44, 21 November 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
15686358,"18:52, 21 October 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
15412311,"18:57, 20 September 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
15127878,"18:42, 20 August 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
14469332,"19:18, 7 August 2014",EpcotMagic,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
14277916,"17:26, 20 July 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
13977638,"17:54, 19 June 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
13650919,"17:24, 19 May 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
13350339,"17:21, 18 April 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
13226739,"16:44, 7 April 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
13159717,"03:46, 1 April 2014",InterwikiBot,False,addition,active,,86,(Adding interwiki link)
13105328,"16:26, 28 March 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
12804364,"18:59, 25 February 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
12734857,"13:11, 19 February 2014",Wsheen,False,deletion,active,,-52,(→‎Tips)
12503307,"16:07, 25 January 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
12350891,"17:41, 9 January 2014",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
12212329,"16:50, 25 December 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
12059642,"17:35, 10 December 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
11906384,"17:24, 25 November 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
11748584,"17:03, 10 November 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
11556963,"21:02, 26 October 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
11377954,"16:15, 11 October 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
11277052,"15:50, 1 October 2013",InterwikiBot,False,addition,active,,58,(Adding interwiki link)
11231799,"16:05, 26 September 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
11078375,"16:04, 11 September 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
10935231,"16:58, 27 August 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
10788757,"16:46, 12 August 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
10705536,"01:29, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10681937,"17:35, 5 August 2013",WikiHowUser20221012045502,False,addition,active,,30,(Updating old title link to reflect current article redirect)
10464191,"16:38, 13 July 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
10318532,"15:53, 28 June 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
10276429,"16:59, 24 June 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
10129850,"15:31, 9 June 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
9991732,"16:03, 25 May 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
9857835,"15:38, 10 May 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
9696880,"16:16, 25 April 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
9539104,"18:26, 2 April 2013",Ttrimm,False,addition,active,,12,(added to warning)
9531496,"17:40, 1 April 2013",Votebot,False,adjustment,reverted,WikiHowUser20200902171050,0,(reordering tips and warnings based on votes)
9329495,"23:11, 4 March 2013",InterwikiBot,False,addition,active,,38,(Adding interwiki link)
9040099,"12:59, 15 January 2013",BR,False,revert,active,,226,(Reverted edits by 122.168.96.30 (Talk); changed back to last version by Votebot)
9040082,"12:49, 15 January 2013",122.168.96.30,False,deletion,reverted,BR,-226,
9003640,"17:26, 11 January 2013",Votebot,False,deletion,reverted,WikiHowUser20200902171050,-3,(reordering tips and warnings based on votes)
8845752,"21:38, 10 December 2012",LargeImageBot,False,deletion,active,,-320,(Resized images to the {{largeimage}} size.)
8728005,"01:09, 15 November 2012",Rock20000,False,revert,active,,41,(Reverted edits by 72.206.98.39 (Talk); changed back to last version by WikiHow Traduction)
8727969,"01:01, 15 November 2012",72.206.98.39,False,deletion,reverted,Rock20000,-41,(→‎Tips)
8671307,"20:54, 3 November 2012",WikiHow Traduction,False,addition,reverted,Rock20000,47,
8584310,"02:12, 16 October 2012",At home user,False,revert,active,,10,(Reverted edits by 203.122.255.222 (Talk); changed back to last version by Wikiphoto)
8584288,"02:01, 16 October 2012",203.122.255.222,False,deletion,reverted,At home user,-2,
8584284,"01:59, 16 October 2012",203.122.255.222,False,deletion,reverted,At home user,-8,(→‎Steps)
8413442,"18:58, 11 September 2012",Wikiphoto,False,addition,reverted,At home user,26,(Adding {{nointroimg}} template and removing intro images)
8401866,"11:26, 9 September 2012",Wikiphoto,False,addition,reverted,At home user,166,(Enlarging and centering Steps photos)
8401865,"11:26, 9 September 2012",Wikiphoto,False,major_addition,reverted,At home user,1262,(Saving new step-by-step photos)
8153774,"06:12, 27 July 2012",Traduções wikiHow,False,addition,active,,47,
7478560,"00:19, 24 March 2012",72.186.252.87,False,major_deletion,active,,-572,(→‎Steps)
7478531,"00:09, 24 March 2012",72.186.252.87,False,major_addition,active,,524,(→‎Steps)
7289371,"20:36, 15 February 2012",86.149.76.34,False,deletion,active,,-49,(→‎Steps)
7185119,"07:58, 25 January 2012",Mackerman,False,addition,active,,88,(adding video)
7185116,"07:57, 25 January 2012",Mackerman,False,cleanup,active,,-1440,"(Added steps, divided into subsections, edited for grammar and content.)"
6810464,"05:37, 29 October 2011",Ttrimm,False,addition,active,,48,(Adding related wikihow from NAB)
6625809,"13:56, 13 September 2011",Davecrosby,False,revert,active,,-4,(Reverted edits by 72.10.122.69 (Talk); changed back to last version by 96.20.79.216)
6625651,"12:38, 13 September 2011",72.10.122.69,False,addition,reverted,Davecrosby,4,(→‎Warnings)
6503376,"01:14, 15 August 2011",96.20.79.216,False,deletion,reverted,Davecrosby,-46,
6503365,"01:11, 15 August 2011",96.20.79.216,False,addition,reverted,Davecrosby,46,(→‎Steps)
6450709,"21:10, 4 August 2011",Maniac,False,revert,active,,2,(Reverted edits by 93.161.97.235 (Talk); changed back to last version by Wendy Weaver)
6450556,"20:34, 4 August 2011",93.161.97.235,False,deletion,reverted,Maniac,-2,
6420458,"00:06, 30 July 2011",Wendy Weaver,False,addition,reverted,Maniac,60,(Weaving the web of links)
6357705,"09:42, 16 July 2011",Ladanea,False,deletion,active,,-2,(Quick edit while patrolling)
6357616,"08:18, 16 July 2011",69.112.106.255,False,deletion,active,,-11,(→‎Warnings)
6334446,"13:17, 11 July 2011",Wendy Weaver,False,addition,reverted,Maniac,48,(Weaving the web of links)
6247028,"02:00, 22 June 2011",Maniac,False,revert,active,,-17,(Reverted edits by 70.170.72.143 (Talk); changed back to last version by BR)
6246970,"01:45, 22 June 2011",70.170.72.143,False,addition,reverted,Maniac,17,(→‎Tips)
6118637,"02:28, 2 June 2011",BR,False,revert,reverted,Maniac,-40,(Reverted edits by 202.189.78.186 (Talk); changed back to last version by TheBestAdviceGiver)
6118600,"02:21, 2 June 2011",202.189.78.186,False,addition,reverted,BR,30,
6118582,"02:16, 2 June 2011",202.189.78.186,False,addition,reverted,BR,10,(→‎Tips)
6034359,"23:23, 19 May 2011",TheBestAdviceGiver,False,addition,reverted,BR,81,(Changing it Back)
6034316,"23:14, 19 May 2011",71.177.254.224,False,deletion,active,,-86,"(Changed ""Always apply at least 2 coats of any one colours or you will just bore a hole into the wood that cannot grip the screw by its threads."" to ""Always apply at least 2 coats of any one colour."")"
5857154,"00:11, 12 April 2011",Nepbot,False,revert,active,,6,(Reverted edits by 76.120.8.185 (Talk); changed back to last version by 203.153.204.243)
5856803,"23:07, 11 April 2011",76.120.8.185,False,deletion,reverted,Nepbot,-4,(→‎Warnings)
5856785,"23:01, 11 April 2011",76.120.8.185,False,deletion,reverted,Nepbot,-2,(→‎Tips)
5772013,"15:21, 22 March 2011",203.153.204.243,False,addition,reverted,Nepbot,285,(→‎Warnings)
5772002,"15:18, 22 March 2011",203.153.204.243,False,major_addition,reverted,Nepbot,560,(→‎Tips)
5496122,"10:01, 16 January 2011",SilverSparkz,False,deletion,active,,-9,(Quick edit while patrolling)
5496120,"10:01, 16 January 2011",SilverSparkz,False,revert,active,,1,(Reverted edits by 66.58.203.143 (Talk); changed back to last version by Harh017)
5495997,"08:47, 16 January 2011",66.58.203.143,False,deletion,reverted,SilverSparkz,-1,(...)
5381092,"20:01, 16 December 2010",Harri,False,revert,active,,13122,(Reverted edits by 69.66.87.222 (Talk); changed back to last version by Progressive)
5381076,"19:56, 16 December 2010",69.66.87.222,False,major_deletion,reverted,Harri,-13122,
5319769,"20:18, 29 November 2010",Jordan,False,revert,active,,-144,(Reverted edits by 83.104.39.176 (Talk); changed back to last version by Wingrider)
5319768,"20:18, 29 November 2010",83.104.39.176,False,addition,reverted,Jordan,56,
5319767,"20:17, 29 November 2010",83.104.39.176,False,addition,reverted,Jordan,74,
5319765,"20:16, 29 November 2010",83.104.39.176,False,addition,reverted,Jordan,14,
