Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33728571,"05:02, 9 October 2025",MiscBot,False,deletion,active,,-177,(Automatic external link checking: updating and/or deleting links that are broken)
33175674,"17:55, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33067013,"18:01, 14 January 2025",Tiagoroth,False,revert,active,,1,(Reverted edits by 205.215.175.138 (Talk); changed back to last version by Seymour Edits)
33067011,"18:00, 14 January 2025",205.215.175.138,False,deletion,reverted,Tiagoroth,-1,
32816895,"15:35, 28 September 2024",Seymour Edits,False,sourcing,reverted,Tiagoroth,-138,(Removed and replaced bad sources for wikiHaus content team)
32228878,"05:00, 23 January 2024",Zygomatt,False,deletion,active,,-21,(ce new additions)
32228326,"20:18, 22 January 2024",Reuben Ranzo,False,addition,active,,189,"(In warnings: or burn, but it's alternating current and will NOT develop a magnetic field.)"
32172906,"14:27, 31 December 2023",Agusbou2015,False,deletion,active,,-19,(Quick edit while patrolling)
32172611,"10:32, 31 December 2023",117.199.231.66,False,addition,active,,1,
32172605,"10:28, 31 December 2023",117.199.231.66,False,addition,active,,228,"(Added information on how to connect the magnetic appliance to the mains, in a safe manner)"
31837892,"14:13, 6 August 2023",WikiHow Projects,False,deletion,active,,-162,(removing broken link)
31713379,"22:53, 15 June 2023",Agusbou2015,False,revert,active,,5,(RCP reverted edits by 109.146.194.80 (talk) to  revision #31607032 by Zygomatt)
31713202,"20:30, 15 June 2023",109.146.194.80,False,deletion,reverted,Agusbou2015,-5,
31607032,"04:07, 8 May 2023",Zygomatt,False,revert,reverted,Agusbou2015,1,(Reverted edits by 172.58.141.91 (Talk); changed back to last version by Agusbou2015)
31607028,"04:04, 8 May 2023",172.58.141.91,False,deletion,reverted,Zygomatt,-1,
31048855,"19:30, 6 November 2022",Agusbou2015,False,revert,reverted,Zygomatt,575,(RCP reverted edits by 24.96.16.65 (talk) to  revision #30407350 by Zygomatt)
31048837,"19:04, 6 November 2022",24.96.16.65,False,major_deletion,reverted,Agusbou2015,-575,
30407350,"04:03, 23 March 2022",Zygomatt,False,addition,reverted,Agusbou2015,6,(tagging as FA)
30334260,"19:53, 24 February 2022",Wikivisual,False,deletion,active,,-1,(Video added via Video Embed Helper Tool)
30331343,"22:55, 23 February 2022",Wikivisual,False,addition,active,,89,(Saving new step-by-step photos)
30279697,"04:17, 8 February 2022",Eric,False,revert,active,,526,(Reverted edits by 125.234.98.114 (Talk); changed back to last version by Wikiphoto)
30279622,"03:33, 8 February 2022",125.234.98.114,False,major_deletion,reverted,Eric,-526,
29736335,"20:26, 15 July 2021",Wikiphoto,False,deletion,reverted,Eric,-74,(changing some videos to static images)
29724200,"11:15, 11 July 2021",Wikivisual,False,major_deletion,active,,-721,(Saving new step-by-step photos)
27438150,"08:45, 3 December 2019",213.127.111.23,False,deletion,active,,-2,
27438148,"08:45, 3 December 2019",213.127.111.23,False,addition,active,,2,
27202331,"17:12, 11 October 2019",Starlette,False,revert,active,,-3,(RCP reverted edits by 168.9.22.235 (talk) to  revision #27159735 by R2_d2000)
27201801,"14:44, 11 October 2019",168.9.22.235,False,addition,reverted,Starlette,3,
27159735,"19:37, 1 October 2019",R2_d2000,False,revert,reverted,Starlette,-19,(Reverted edits by 156.3.153.31 (Talk); changed back to last version by MiscBot)
27159732,"19:35, 1 October 2019",156.3.153.31,False,addition,reverted,R2_d2000,19,
26315057,"04:45, 29 March 2019",MiscBot,False,sourcing,reverted,R2_d2000,-9,(Updating References section name to match new sitewide conventions)
25653370,"14:48, 26 November 2018",Wikivisual,False,major_addition,active,,2070,(Saving new step-by-step photos)
25429663,"14:00, 16 October 2018",Kyra.Johnson,False,revert,active,,-6,(RCP reverted edits by 194.74.103.120 (talk) to  revision #25209884 by WikiHow Intern)
25429636,"13:52, 16 October 2018",194.74.103.120,False,addition,reverted,Kyra.Johnson,6,
25209884,"02:21, 9 September 2018",WikiHow Intern,False,addition,reverted,Kyra.Johnson,9,(Change to appropriate sub-category)
25130246,"01:50, 24 August 2018",Seymour Edits,False,addition,reverted,Tiagoroth,346,(audit revision - added 2 steps)
25097500,"20:49, 17 August 2018",JuliaMMartins,False,cleanup,active,,-1,(formatting)
25080449,"22:59, 14 August 2018",Seymour Edits,False,deletion,reverted,Tiagoroth,-2,
25047460,"01:53, 9 August 2018",Seymour Edits,False,deletion,reverted,Tiagoroth,-30,"(condensed material, made it more specific)"
25021559,"03:37, 4 August 2018",Seymour Edits,False,major_addition,reverted,Tiagoroth,810,(images don't show bare copper wire so I kept them; added substeps)
24985343,"03:25, 30 July 2018",Seymour Edits,False,major_deletion,reverted,Tiagoroth,-904,(added steps and detail)
24924138,"19:51, 18 July 2018",Zodi,False,deletion,active,,-1,
24722195,"03:24, 9 June 2018",Anna,False,revert,active,,-51,(RCP reverted edits by Dilbertron (talk) to  revision #24544910 by Seymour Edits)
24718227,"12:16, 8 June 2018",Dilbertron,False,addition,reverted,Anna,51,(New tip approved in Tips Patrol)
24544910,"15:39, 11 May 2018",Seymour Edits,False,addition,reverted,Tiagoroth,140,(Added the Summary template to this article)
24356538,"16:15, 10 April 2018",Midnight Dreams,False,revert,active,,4,(RCP reverted edits by 142.26.99.183 (talk) to  revision #23904525 by GeekySonic)
24356502,"16:06, 10 April 2018",142.26.99.183,False,deletion,reverted,Midnight Dreams,-4,
23904525,"15:15, 22 January 2018",GeekySonic,False,revert,reverted,Midnight Dreams,34,(RCP reverted edits by 182.18.234.125 (talk) to  revision #23660953 by Thehelper101)
23902447,"08:28, 22 January 2018",182.18.234.125,False,addition,reverted,GeekySonic,39,
23902440,"08:25, 22 January 2018",182.18.234.125,False,deletion,reverted,GeekySonic,-73,
23660953,"23:26, 3 December 2017",Thehelper101,False,revert,reverted,GeekySonic,-23,(RCP reverted edits by 119.17.49.158 (talk) to  revision #23336720 by Technist)
23660910,"23:15, 3 December 2017",119.17.49.158,False,addition,reverted,Thehelper101,18,
23660906,"23:15, 3 December 2017",119.17.49.158,False,addition,reverted,Thehelper101,5,
23336720,"12:39, 6 October 2017",Technist,False,revert,reverted,Thehelper101,-84,(Reverted edits by Faun471 (Talk); changed back to last version by Zodiaw)
23336679,"12:25, 6 October 2017",Faun471,False,addition,reverted,Technist,84,(New tip approved in Tips Patrol)
23331625,"16:37, 5 October 2017",Zodi,False,revert,reverted,Technist,-12,(RCP reverted edits by 208.108.122.232 (talk) to  revision #23236573 by Caeiia)
23331563,"16:25, 5 October 2017",208.108.122.232,False,addition,reverted,Zodi,12,
23236573,"22:31, 18 September 2017",Caeiia,False,revert,reverted,Zodi,7898,(RCP reverted edits by 122.56.85.97 (talk) to  revision #22659192 by Joel.Miles925)
