Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34139922,"15:10, 13 March 2026",Seymour Edits,False,addition,active,,75,(Adding video via Video Adder tool)
32811402,"03:58, 27 September 2024",MiscBot,False,deletion,active,,-38,(Removed broken YouTube video)
32715228,"16:49, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32685215,"03:31, 30 July 2024",Seymour Edits,False,addition,active,,78,(Added expert citations.)
32257791,"13:06, 3 February 2024",Wikivisual,False,deletion,active,,-4,(Saving new step-by-step photos)
31669682,"20:33, 29 May 2023",Rainy M,False,revert,active,,-141,(RCP reverted edits by Adamssjsjsj (talk) to  revision #31445204 by Agusbou2015)
31669621,"19:31, 29 May 2023",Adamssjsjsj,False,addition,reverted,Rainy M,141,
31445204,"10:33, 17 March 2023",Agusbou2015,False,revert,reverted,Rainy M,3417,(Reverted edits by 159.86.182.69 (Talk); changed back to last version by Seymour Edits)
31445186,"10:13, 17 March 2023",159.86.182.69,False,major_deletion,reverted,Agusbou2015,-3417,(Replacing page with 'ggg')
30936470,"14:34, 4 October 2022",Seymour Edits,False,deletion,reverted,Agusbou2015,-147,(Removed dead links)
30900764,"16:27, 22 September 2022",JayneG,False,addition,active,,1,(Format)
30900763,"16:27, 22 September 2022",JayneG,False,deletion,active,,-1,(Test)
30900725,"16:10, 22 September 2022",Vanna Tran,False,revert,active,,16,(Reverted edits by Vanna Tran (Talk); changed back to last version by JayneG)
30900720,"16:08, 22 September 2022",Vanna Tran,False,addition,reverted,Vanna Tran,2,
30900717,"16:07, 22 September 2022",Vanna Tran,False,deletion,reverted,Vanna Tran,-19,
30900703,"16:02, 22 September 2022",Vanna Tran,False,addition,reverted,Vanna Tran,1,
30900690,"15:51, 22 September 2022",JayneG,False,deletion,reverted,Vanna Tran,-1,(Format)
30900556,"14:46, 22 September 2022",Agusbou2015,False,revert,reverted,Rainy M,-12,(Reverted edits by Agusbou2015 (Talk); changed back to last version by Awesome Aasim)
30900555,"14:46, 22 September 2022",Agusbou2015,False,addition,reverted,Rainy M,12,
30900552,"14:44, 22 September 2022",Agusbou2015,False,revert,reverted,Rainy M,-1,(Reverted edits by Agusbou2015 (Talk); changed back to last version by Awesome Aasim)
30900551,"14:44, 22 September 2022",Agusbou2015,False,addition,reverted,Rainy M,1,
30898750,"01:59, 22 September 2022",Awesome Aasim,False,revert,reverted,Agusbou2015,631,(Reverted edits by Awesome Aasim (Talk); changed back to last version by FREE WORDS)
30898749,"01:58, 22 September 2022",Awesome Aasim,False,deletion,reverted,Agusbou2015,-52,
30898748,"01:58, 22 September 2022",Awesome Aasim,False,major_deletion,reverted,Agusbou2015,-579,"(there may be a parser bug, removing images to test)"
29870773,"04:41, 9 September 2021",FREE WORDS,False,deletion,reverted,Awesome Aasim,-17,(Adding video via video picker tool)
29515842,"10:06, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26786703,"01:24, 12 July 2019",Seymour Edits,False,sourcing,reverted,Agusbou2015,455,(Added sources for the wikihaus content team.)
24885990,"09:01, 11 July 2018",Aiosis,False,revert,active,,2283,(Reverted edits by 46.18.181.52 (Talk); changed back to last version by Aiosis)
24885942,"08:40, 11 July 2018",46.18.181.52,False,major_deletion,reverted,Aiosis,-2283,
24239659,"11:38, 20 March 2018",Aiosis,False,deletion,reverted,Aiosis,-28,
24239656,"11:37, 20 March 2018",Aiosis,False,addition,reverted,Aiosis,17,(Removed personal ref and added accuracy tag.)
24239654,"11:36, 20 March 2018",Aiosis,False,revert,reverted,Aiosis,2276,(Reverted edits by 46.18.181.52 (Talk); changed back to last version by Artemi7)
24239639,"11:28, 20 March 2018",46.18.181.52,False,major_deletion,reverted,Aiosis,-2274,
23948580,"11:17, 30 January 2018",46.18.181.52,False,deletion,reverted,Aiosis,-2,
23948574,"11:16, 30 January 2018",Artemi7,False,revert,reverted,Aiosis,2309,(RCP reverted edits by 46.18.181.52 (talk) to  revision #23894611 by Wikivisual)
23948572,"11:15, 30 January 2018",46.18.181.52,False,deletion,reverted,Aiosis,-20,(→‎Steps)
23948561,"11:12, 30 January 2018",46.18.181.52,False,major_deletion,reverted,Aiosis,-2289,
23894611,"17:11, 20 January 2018",Wikivisual,False,addition,reverted,Artemi7,96,(Saving new step-by-step photos)
22702085,"22:19, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-78,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21291801,"23:42, 6 November 2016",Flickety,False,addition,active,,17,(Switch to appropriate category)
19317347,"23:11, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-161,(Removing redundant wikitext from Related wikiHows section)
19304657,"12:59, 8 January 2016",Charlie G,False,revert,active,,-15,(RCP reverted edits by 195.194.238.110 (talk) to  revision #18734293 by Technist)
19294784,"09:30, 8 January 2016",195.194.238.110,False,addition,reverted,Charlie G,15,(Editing from step editor)
