Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
28035600,"09:33, 26 April 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27047082,"10:21, 7 September 2019",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
26954617,"11:59, 16 August 2019",Seymour Edits,False,sourcing,active,,402,(Added sources for the wikihaus content team.)
26918493,"10:01, 8 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25669447,"10:12, 29 November 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21679223,"09:59, 16 January 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21514383,"13:01, 16 December 2016",130.193.193.217,False,deletion,active,,-2,(how to electrical design by pipe for home)
21513780,"09:49, 16 December 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21291826,"23:49, 6 November 2016",Flickety,False,addition,active,,17,(Switch to appropriate category)
20957875,"08:36, 14 September 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20763868,"16:51, 13 August 2016",Wikivisual,False,addition,active,,39,(Saving new step-by-step photos)
20638071,"03:34, 23 July 2016",WikiHow Projects,False,adjustment,active,,0,(added images)
20585966,"08:34, 14 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20398959,"08:33, 13 June 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19349304,"02:14, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-195,(Removing redundant wikitext from Related wikiHows section)
18609045,"08:42, 9 October 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18085012,"03:24, 29 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17948372,"18:10, 27 July 2015",InterwikiBot,False,deletion,active,,-43,"(Removing interwiki links, no longer needed in wikitext)"
16816926,"15:04, 6 March 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16535225,"15:27, 3 February 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16053217,"14:52, 3 December 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15784302,"13:35, 2 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15511997,"19:18, 1 October 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14398447,"19:04, 31 July 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13777292,"18:08, 30 May 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13458269,"17:43, 29 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12511415,"18:20, 26 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11854189,"15:08, 20 November 2013",Rock20000,False,revert,active,,-277,(Reverted edits by 12.111.55.186 (Talk); changed back to last version by Votebot)
11853523,"13:31, 20 November 2013",12.111.55.186,False,addition,reverted,Rock20000,277,
11557570,"21:16, 26 October 2013",Votebot,False,adjustment,reverted,Rock20000,0,(reordering tips and warnings based on votes)
10935604,"17:08, 27 August 2013",Votebot,False,adjustment,reverted,Rock20000,0,(reordering tips and warnings based on votes)
10711490,"03:28, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10605655,"15:41, 28 July 2013",Votebot,False,adjustment,reverted,Rock20000,0,(reordering tips and warnings based on votes)
