Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33673893,"19:01, 12 September 2025",MiscBot,False,deletion,active,,-128,(Automatic external link checking: updating and/or deleting links that are broken)
33104765,"09:59, 29 January 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32687674,"09:58, 31 July 2024",RubyRoseRain,False,deletion,active,,-4,
29535060,"08:59, 10 May 2021",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
29519724,"10:30, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-45,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29428685,"09:15, 9 April 2021",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
29386756,"06:38, 27 March 2021",HumanBeing,False,deletion,active,,-96,
29202991,"00:07, 12 February 2021",Seymour Edits,False,addition,active,,117,(expert citations added)
28732159,"13:16, 12 October 2020",Wikivisual,False,addition,active,,189,(Saving new step-by-step photos)
27134690,"09:35, 26 September 2019",Seymour Edits,False,sourcing,active,,12,(Added sources for the wikihaus content team)
27109402,"18:55, 20 September 2019",Seymour Edits,False,sourcing,active,,496,(Added sources for the wikihaus content team)
25209993,"03:21, 9 September 2018",HumanBeing,False,adjustment,active,,0,(→‎Tips)
25209992,"03:20, 9 September 2018",HumanBeing,False,major_deletion,active,,-619,(→‎Tips:  They Weren't Tips!)
25209987,"03:18, 9 September 2018",HumanBeing,False,major_addition,active,,716,(Looks a bit stubby to me...)
24324369,"19:49, 3 April 2018",186.179.155.15,False,deletion,active,,-3,(→‎Tips)
21209629,"22:16, 24 October 2016",Flickety,False,addition,active,,3,(Switch to appropriate category)
20160760,"02:11, 6 May 2016",63.143.116.105,False,deletion,active,,-7,
19326064,"23:48, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-24,(Removing redundant wikitext from Related wikiHows section)
18296499,"02:12, 25 August 2015",Donagan,False,cleanup,active,,7,(Fixing misspellings via the Spellchecker tool)
18060645,"20:28, 28 July 2015",MiscBot,False,deletion,active,,-56,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16708706,"00:34, 22 February 2015",Lauren Hernandez,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
16585909,"18:22, 6 February 2015",MiscBot,False,cleanup,active,,0,(Correcting spelling and/or grammar.)
15773633,"19:10, 31 October 2014",Wikivisual,False,addition,active,,34,(Enlarging and centering Steps photos)
15773632,"19:10, 31 October 2014",Wikivisual,False,addition,active,,138,(Saving new step-by-step photos)
11573562,"20:49, 27 October 2013",Votebot,False,addition,active,,6,(reordering tips and warnings based on votes)
10615322,"16:47, 29 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9777863,"15:52, 2 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
6519136,"12:21, 18 August 2011",WikiHowUser20221012045502,False,addition,active,,7,(Cleaning up)
6188129,"15:45, 12 June 2011",Grahamster,False,addition,active,,142,(Edit from Article Greenhouse: STUB)
6153583,"10:17, 7 June 2011",195.93.21.37,False,addition,active,,202,(→‎Warnings)
5509616,"13:19, 19 January 2011",195.93.21.4,False,addition,active,,183,
5337295,"07:19, 4 December 2010",Johri,False,addition,active,,86,(Added Image using ImageAdder Tool)
5332369,"00:27, 3 December 2010",Wendy Weaver,False,addition,active,,70,(Weaving the web of links)
5232168,"20:30, 5 November 2010",Emazing,False,cleanup,active,,-18,(fixed formatting issues.)
4767151,"17:54, 1 July 2010",Krystle,False,addition,active,,26,(Quick edit while patrolling)
4758102,"12:59, 29 June 2010",195.93.21.36,False,major_addition,active,,850,
4692248,"17:09, 10 June 2010",Editor590489584,False,addition,active,,25,(Adding templates (stub) from new article boost)
4692242,"17:08, 10 June 2010",Editor590489584,False,deletion,active,,-59,(editing article via New Article Boost feature)
4692152,"16:50, 10 June 2010",Catie,False,addition,active,,44,(categorization)
4691528,"14:04, 10 June 2010",195.93.21.36,False,major_addition,active,,2034,(Creating new article)
