Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33180868,"19:05, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33024029,"11:08, 26 December 2024",WikiHow Horizon,False,deletion,active,,-188,(Removing broken link/s)
32419294,"23:29, 6 April 2024",WikiHow Projects,False,deletion,active,,-315,(removing broken link)
30186774,"05:43, 7 January 2022",Kirajan,False,deletion,active,,-48,(moved 1.2 into a substep of 1.1)
29921116,"23:40, 24 September 2021",Kyle Hall,False,deletion,active,,-108,"(removed internal links in intro, reordered methods)"
29887071,"01:15, 15 September 2021",MiscBot,False,deletion,active,,-12,(Automatic category consolidation.)
29475149,"16:48, 22 April 2021",Seymour Edits,False,addition,active,,80,(expert citations added)
27929183,"13:01, 1 April 2020",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
27861759,"11:36, 16 March 2020",Wikivisual,False,major_addition,active,,2031,(Saving new step-by-step photos)
27730555,"18:37, 14 February 2020",Wikiphoto,False,major_deletion,active,,-1691,(Removing all images from article)
27628198,"04:36, 22 January 2020",WikiHaus Trainee,False,addition,active,,25,(Adding relevant wikihow link)
26285606,"01:58, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25074850,"00:29, 14 August 2018",WikiHow Expert Review,False,major_addition,active,,1231,(Incorporating expert feedback)
24934508,"14:51, 20 July 2018",Seymour Edits,False,addition,active,,140,(Added the Summary template to this article)
24093924,"12:59, 24 February 2018",WikiHow Intern,False,addition,active,,19,(Add appropriate sub-category)
23706430,"10:56, 12 December 2017",Wikivisual,False,major_addition,active,,1681,(Saving new step-by-step photos)
23540664,"19:51, 11 November 2017",Ludum Victorem,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
23535809,"17:12, 10 November 2017",Seymour Edits,False,major_addition,active,,2959,"(revised content to create more, shorter, and more singularly-focused steps throughout)"
23466421,"04:55, 29 October 2017",Seymour Edits,False,deletion,active,,-79,
23466409,"04:52, 29 October 2017",Seymour Edits,False,addition,active,,1,(→‎Steps)
23464948,"22:16, 28 October 2017",Seymour Edits,False,addition,active,,6,"(reduction of parentheses; minor edits to 1.1-.3, 4.5-.6)"
23462515,"09:41, 28 October 2017",Sergeantpro,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
23459951,"19:40, 27 October 2017",Onealbraydon,False,addition,active,,31,(categorization)
23459624,"18:22, 27 October 2017",WikiHowUser20230227233914,False,revert,active,,0,(Reverted edits by Dust2dust (Talk); changed back to last version by Seymour Edits)
23459616,"18:21, 27 October 2017",Dust2dust,False,revert,reverted,WikiHowUser20230227233914,0,(RCP reverted edits by Seymour Edits (talk) to  revision #23459421 by WRM)
23459438,"17:50, 27 October 2017",Seymour Edits,False,adjustment,reverted,WikiHowUser20230227233914,0,(format error in 3.1)
23459421,"17:45, 27 October 2017",WRM,False,major_addition,reverted,Dust2dust,12157,(new article)
