Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33183446,"19:40, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32701412,"02:51, 6 August 2024",WikiHow Projects,False,deletion,active,,-380,(removing broken link)
32654293,"15:53, 15 July 2024",Seymour Edits,False,addition,active,,114,
32145509,"13:47, 18 December 2023",Eric,False,revert,active,,-26,(Reverted edits by 111.88.108.181 (Talk); changed back to last version by MiscBot)
32144511,"08:45, 18 December 2023",111.88.108.181,False,addition,reverted,Eric,26,
29895576,"06:27, 16 September 2021",MiscBot,False,deletion,reverted,Eric,-16,(Automatic category consolidation.)
28358835,"06:03, 10 July 2020",Seymour Edits,False,deletion,active,,-95,(Link cleanup.)
28054647,"11:53, 30 April 2020",Lara K,False,revert,active,,-75,(RCP reverted edits by Vaibhav Kamble (talk) to  revision #26311045 by MiscBot)
28054190,"09:16, 30 April 2020",Vaibhav Kamble,False,addition,reverted,Lara K,75,
28054185,"09:14, 30 April 2020",ActualPlant,False,revert,active,,-123,(RCP reverted edits by Vaibhav Kamble (talk) to  revision #26311045 by MiscBot)
28054183,"09:14, 30 April 2020",Vaibhav Kamble,False,addition,reverted,Lara K,123,
26311045,"04:18, 29 March 2019",MiscBot,False,sourcing,reverted,Eric,-9,(Updating References section name to match new sitewide conventions)
25981552,"13:46, 4 February 2019",Wikivisual,False,major_addition,active,,664,(Saving new step-by-step photos)
25942851,"13:52, 28 January 2019",Wikivisual,False,major_addition,active,,949,(Saving new step-by-step photos)
25081587,"05:18, 15 August 2018",Aiosis,False,revert,active,,-110,(Reverted edits by Bhuvnesh.Singh (Talk); changed back to last version by Seymour Edits)
25081584,"05:17, 15 August 2018",Bhuvnesh.Singh,False,addition,reverted,Aiosis,110,(added images)
24609942,"01:57, 19 May 2018",Seymour Edits,False,addition,reverted,Aiosis,154,(Added the Summary template to this article)
24496341,"21:26, 3 May 2018",WikiHow Expert Review,False,addition,active,,420,(Incorporating expert feedback)
23988417,"09:55, 6 February 2018",WikiHow Intern,False,addition,active,,36,(Add appropriate sub-category)
23985756,"21:07, 5 February 2018",Seymour Edits,False,adjustment,reverted,Aiosis,0,(→‎Steps:  2 minor punctuation corrections)
23985749,"21:06, 5 February 2018",Seymour Edits,False,deletion,reverted,Aiosis,-10,(shortened a section title)
23985660,"20:38, 5 February 2018",HisGirlFriday,False,sourcing,active,,1,(fixed reference link)
23985658,"20:37, 5 February 2018",HisGirlFriday,False,major_addition,active,,563,(revisions)
23974842,"22:30, 3 February 2018",HisGirlFriday,False,major_deletion,active,,-7025,(revised and expanded content)
23664682,"15:12, 4 December 2017",Jax Smith,False,revert,active,,-7,(RCP reverted edits by 59.99.111.155 (talk) to  revision #22766783 by LavenderMoon)
23664680,"15:12, 4 December 2017",59.99.111.155,False,addition,reverted,Jax Smith,7,
