Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34097306,"19:54, 19 February 2026",MiscBot,False,deletion,active,,-133,(Removing Related Articles section)
34081723,"02:56, 19 February 2026",MiscBot,False,revert,active,,134,(Reverting the Related Articles section removal)
34065923,"19:46, 18 February 2026",MiscBot,False,deletion,active,,-134,(Removing Related Articles section)
33916583,"19:42, 19 December 2025",Thomas_Ch,False,addition,active,,348,(readded greenbox)
33910360,"17:52, 17 December 2025",MiscBot,False,deletion,active,,-362,(Removing invalid experts)
33230677,"21:46, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33112104,"10:59, 1 February 2025",WikiHow Horizon,False,addition,active,,7,(Updated link/s)
32987947,"16:36, 9 December 2024",Wikivisual,False,addition,active,,160,(Saving new step-by-step photos)
32384325,"06:24, 23 March 2024",WikiHow Projects,False,addition,active,,362,(Updated green box.)
32244763,"22:50, 29 January 2024",WikiHow Horizon 3,False,addition,active,,15,(Updated link/s)
32044797,"06:48, 2 November 2023",WikiHow Projects,False,deletion,active,,-104,(removing broken link)
30643464,"05:36, 22 June 2022",ANAV RANJAN,False,deletion,active,,-44,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
30642375,"17:45, 21 June 2022",WikiDenise25,False,addition,active,,47,(Adding video via video picker tool)
29169157,"19:48, 3 February 2021",Kyle Hall,False,addition,active,,193,(added expert citation)
26263222,"00:15, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25307022,"16:19, 26 September 2018",Seymour Edits,False,addition,active,,140,(Added the Summary template to this article)
23896874,"10:06, 21 January 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20588134,"16:31, 14 July 2016",Wikivisual,False,major_addition,active,,873,(Saving new step-by-step photos)
20244169,"08:38, 18 May 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20197879,"05:49, 12 May 2016",Tricia Matthews,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
20149386,"08:35, 4 May 2016",Votebot,False,addition,active,,6,(reordering tips and warnings based on votes)
20078281,"23:59, 22 April 2016",HiDoctorMic,False,deletion,active,,-26,(removed inuse tag after editing)
20075938,"17:29, 22 April 2016",Seymour Edits,False,major_addition,active,,697,
20055215,"13:41, 19 April 2016",Darkhorse503805714323,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
20050258,"17:36, 18 April 2016",Seymour Edits,False,cleanup,active,,4410,(Expanded Parts/Sources/Accuracy/Detail/Relevance/Edited Grammar)
19867140,"20:15, 22 March 2016",Wikiphoto,False,revert,active,,-1300,(Reverted edits by Wikivisual (Talk); changed back to last version by Votebot)
