Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33564321,"12:00, 21 July 2025",MiscBot,False,deletion,active,,-65,(Automatic external link checking: updating and/or deleting links that are broken)
32515700,"13:07, 18 May 2024",WikiHow Projects,False,addition,active,,102,
32152197,"22:40, 20 December 2023",Seymour Edits,False,addition,active,,336,"(added ""the takeaway"" for project)"
26276896,"01:20, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26138545,"17:47, 7 March 2019",Seymour Edits,False,addition,active,,157,(Added the Summary template to this article)
26038157,"05:43, 15 February 2019",Seymour Edits,False,sourcing,active,,473,(Added sources for the wikihaus content team)
23774803,"16:36, 26 December 2017",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
23336673,"12:21, 6 October 2017",SarahB,False,revert,active,,-13,(RCP reverted edits by Curtis Fairgrieve (talk) to  revision #19979111 by Wikivisual)
23331914,"17:37, 5 October 2017",Curtis Fairgrieve,False,cleanup,reverted,SarahB,13,(Edited grammar)
19979111,"17:46, 8 April 2016",Wikivisual,False,adjustment,reverted,SarahB,0,(Saving new step-by-step photos)
19895524,"18:26, 27 March 2016",Wikivisual,False,addition,reverted,SarahB,40,(Saving new step-by-step photos)
19891007,"16:01, 26 March 2016",Wikivisual,False,addition,reverted,SarahB,155,(Saving new step-by-step photos)
19334976,"00:33, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-73,(Removing redundant wikitext from Related wikiHows section)
18896491,"00:04, 20 November 2015",Brookenado,False,addition,active,,151,"(expert verification , weaving the web of links)"
18067510,"22:02, 28 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17921284,"00:55, 25 July 2015",InterwikiBot,False,deletion,active,,-107,"(Removing interwiki links, no longer needed in wikitext)"
13859637,"18:43, 7 June 2014",Isorhythmic,False,revert,active,,2,(RCP reverted edits by 107.201.240.10 (talk) to  revision #13247849 by InterwikiBot)
13859563,"18:21, 7 June 2014",107.201.240.10,False,deletion,reverted,Isorhythmic,-2,
13247849,"16:40, 9 April 2014",InterwikiBot,False,addition,reverted,Isorhythmic,52,(Adding interwiki link)
12792066,"15:28, 24 February 2014",Tom,False,revert,active,,-41,(Reverted edits by 206.176.82.253 (Talk); changed back to last version by Votebot)
12792049,"15:21, 24 February 2014",206.176.82.253,False,addition,reverted,Tom,41,
11483714,"21:32, 21 October 2013",Votebot,False,addition,reverted,Tom,1,(reordering tips and warnings based on votes)
10826811,"00:44, 16 August 2013",BR,False,revert,active,,97,(Reverted edits by 167.187.100.202 (Talk); changed back to last version by MiscBot)
10826687,"00:29, 16 August 2013",167.187.100.202,False,deletion,reverted,BR,-97,
10706754,"01:53, 7 August 2013",MiscBot,False,deletion,reverted,BR,-13,(Removing nointroimg template)
10537276,"23:21, 21 July 2013",RockyRaccoon,False,revert,active,,0,(Reverted edits by Nom786 (Talk); changed back to last version by Chris H)
10537223,"23:16, 21 July 2013",Nom786,False,adjustment,reverted,RockyRaccoon,0,(Edits from the spell checker tool)
9568407,"02:12, 7 April 2013",Chris H,False,addition,reverted,RockyRaccoon,50,(some little copyediting)
9562786,"02:48, 6 April 2013",BR,False,addition,active,,217,
9552784,"17:45, 4 April 2013",Krystle,False,deletion,active,,-161,(incorporating accuracy concerns into article (see discussion))
9549114,"04:58, 4 April 2013",Krystle,False,addition,active,,28,(see discussion page)
9545106,"16:56, 3 April 2013",Krystle,False,addition,active,,1,
9518831,"18:27, 31 March 2013",94.14.173.235,False,addition,active,,176,(→‎Steps)
9518813,"18:18, 31 March 2013",94.14.173.235,False,deletion,active,,-1,
9509675,"04:05, 30 March 2013",Wikiphoto,False,addition,active,,14,(Adding {{nointroimg}} template and removing intro images)
9505405,"15:01, 29 March 2013",Wikiphoto,False,addition,active,,73,(Enlarging and centering Steps photos)
9505403,"15:00, 29 March 2013",Wikiphoto,False,major_addition,active,,559,(Saving new step-by-step photos)
9338600,"04:44, 5 March 2013",InterwikiBot,False,addition,reverted,Isorhythmic,55,(Adding interwiki link)
9206655,"12:58, 13 February 2013",KimmiLOVE,False,addition,active,,45,(Edit via Image Picker: Added an image)
6459552,"19:35, 6 August 2011",WRM,False,sourcing,active,,-368,(→‎Sources and Citations)
6457790,"06:45, 6 August 2011",Maniac,False,revert,active,,-52,(Reverted edits by Erin Lucy (Talk); changed back to last version by Wendy Weaver)
6457678,"05:09, 6 August 2011",Erin Lucy,False,addition,reverted,Maniac,52,(Edit via Image Picker: Added an image)
6334913,"13:24, 11 July 2011",Wendy Weaver,False,addition,reverted,Maniac,52,(Weaving the web of links)
6068813,"14:56, 25 May 2011",WikiHowUser20221012045502,False,deletion,active,,-8,(categorization)
5373565,"18:18, 14 December 2010",Wendy Weaver,False,addition,reverted,Maniac,115,(Weaving the web of links)
5353599,"01:03, 9 December 2010",Carolyn Barratt,False,addition,active,,41,(categorization)
5349415,"21:00, 7 December 2010",WRM,False,major_addition,active,,3323,(Creating new article)
