Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34097842,"20:01, 19 February 2026",MiscBot,False,deletion,active,,-116,(Removing Related Articles section)
34082274,"03:04, 19 February 2026",MiscBot,False,revert,active,,118,(Reverting the Related Articles section removal)
34066488,"19:54, 18 February 2026",MiscBot,False,deletion,active,,-118,(Removing Related Articles section)
33225850,"20:39, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32816477,"13:53, 28 September 2024",WikiHow Projects,False,addition,active,,90,
32080407,"19:46, 18 November 2023",WikiHow Horizon 3,False,deletion,active,,-72,(Deleted link/s)
27356363,"01:34, 13 November 2019",CAROLYN CHAO,False,addition,active,,13,
27324463,"15:32, 6 November 2019",R2_d2000,False,revert,active,,-27,(Reverted edits by 76.7.54.63 (Talk); changed back to last version by MiscBot)
27324460,"15:30, 6 November 2019",76.7.54.63,False,addition,reverted,R2_d2000,22,
27324455,"15:28, 6 November 2019",76.7.54.63,False,addition,reverted,R2_d2000,5,(POOP)
26255525,"23:42, 28 March 2019",MiscBot,False,sourcing,reverted,R2_d2000,-11,(Updating References section name to match new sitewide conventions)
26197957,"17:29, 18 March 2019",Christy17,False,revert,active,,-128,(RCP reverted edits by 204.29.64.220 (talk) to  revision #25999161 by Hapayne)
26197490,"16:30, 18 March 2019",204.29.64.220,False,addition,reverted,Christy17,128,
25999161,"19:22, 7 February 2019",Hapayne,False,addition,reverted,Christy17,5,(Updated green box.)
25999158,"19:21, 7 February 2019",Hapayne,False,deletion,reverted,Christy17,-6,(Updated green box.)
25999148,"19:20, 7 February 2019",Hapayne,False,addition,reverted,Christy17,6,(Updated green box.)
25999143,"19:20, 7 February 2019",Hapayne,False,addition,reverted,Christy17,6,(Updated green box.)
25999138,"19:19, 7 February 2019",Hapayne,False,addition,reverted,Christy17,6,(Updated green box.)
25999136,"19:19, 7 February 2019",Hapayne,False,addition,reverted,Christy17,465,(Updated green box.)
25828972,"13:26, 2 January 2019",Wikivisual,False,major_addition,active,,733,(Saving new step-by-step photos)
25633371,"02:00, 22 November 2018",Wikiphoto,False,major_deletion,active,,-643,(Removing all images from article)
25125321,"22:55, 22 August 2018",Seymour Edits,False,addition,active,,133,(Added the Summary template to this article)
24449005,"00:48, 27 April 2018",Sarah Lucy,False,revert,active,,120,(RCP reverted edits by 69.143.156.50 (talk) to  revision #22829684 by WikiHow Projects)
24448338,"22:25, 26 April 2018",69.143.156.50,False,deletion,reverted,Sarah Lucy,-120,
22829684,"12:31, 12 July 2017",WikiHow Projects,False,deletion,reverted,Sarah Lucy,-208,(removing broken link)
