Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33227357,"21:00, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32331158,"12:44, 2 March 2024",Eric,False,revert,active,,9761,(Reverted edits by 122.162.150.66 (Talk); changed back to last version by Seymour Edits)
32330610,"07:50, 2 March 2024",122.162.150.66,False,addition,reverted,Eric,1,
32330606,"07:48, 2 March 2024",122.162.150.66,False,addition,reverted,Eric,18,
32330596,"07:47, 2 March 2024",122.162.150.66,False,major_deletion,reverted,Eric,-9780,(Removing all content from page)
30184799,"14:58, 6 January 2022",Seymour Edits,False,adjustment,reverted,Eric,0,(Fixed error)
30118340,"20:16, 6 December 2021",Seymour Edits,False,addition,reverted,Eric,42,(Added expert ref)
29108491,"13:36, 18 January 2021",Wikivisual,False,addition,active,,20,(Saving new step-by-step photos)
29031042,"12:21, 28 December 2020",Wikivisual,False,major_addition,active,,510,(Saving new step-by-step photos)
28879351,"12:14, 17 November 2020",WikiHow Projects,False,addition,active,,212,(Added Images)
28865466,"22:37, 13 November 2020",Seymour Edits,False,sourcing,reverted,Eric,2059,"(adding new method and sources, revising clarity)"
28862401,"01:19, 13 November 2020",Julia2002,False,addition,active,,87,(categorization)
28861687,"21:41, 12 November 2020",WRM,False,sourcing,active,,6850,(adding new methods and sources)
