Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34069546,"21:22, 18 February 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Wire a Garbage Disposal to a Switch"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33225952,"20:41, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32861017,"15:58, 15 October 2024",WikiHow Horizon 3,False,addition,active,,60,(Adding video via Video Adder tool)
32608024,"08:51, 26 June 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31729777,"08:33, 22 June 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30849336,"17:24, 5 September 2022",Seymour Edits,False,addition,active,,117,(Added expert citations)
29894516,"06:20, 16 September 2021",MiscBot,False,deletion,active,,-4,(Automatic category consolidation.)
29115275,"10:03, 20 January 2021",Votebot,False,addition,active,,3,(reordering tips and warnings based on votes)
27957407,"15:51, 7 April 2020",Wikivisual,False,addition,active,,30,(Saving new step-by-step photos)
27882099,"09:12, 21 March 2020",Wikivisual,False,major_addition,active,,1783,(Saving new step-by-step photos)
27750560,"15:21, 19 February 2020",Sophia B,False,deletion,active,,-2,(grammatical edits)
27746277,"22:25, 18 February 2020",Seymour Edits,False,major_addition,active,,521,(Adjusting tone and confusing passages throughout)
27695156,"17:21, 6 February 2020",Sophia B,False,addition,active,,7,(corrected a few phrases)
27694753,"16:29, 6 February 2020",Seymour Edits,False,major_addition,active,,1084,"(Adding new steps, clarifying step titles and information)"
27688628,"22:27, 5 February 2020",WikiHowUser20201201000533,False,addition,active,,36,(categorization)
27688291,"20:55, 5 February 2020",WRM,False,sourcing,active,,16917,"(Adding new parts, sources, and greenboxes)"
