Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33657309,"07:03, 4 September 2025",MiscBot,False,deletion,active,,-166,(Automatic external link checking: updating and/or deleting links that are broken)
31594175,"11:18, 4 May 2023",RedirectsBot,False,deletion,active,,-3,(Updating link to point directly to article instead of redirect)
30964528,"19:53, 11 October 2022",Thomas_Ch,False,deletion,active,,-40,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
29453331,"21:41, 15 April 2021",Chris H,False,addition,active,,40,(Moving article to quality review. Disagree? Contact me or leave a note here.)
28271615,"23:45, 20 June 2020",EpcotMagic,False,revert,active,,-27,(RCP reverted edits by Jamo G. (talk) to  revision #28254549 by Votebot)
28270544,"13:44, 20 June 2020",Jamo G.,False,addition,reverted,EpcotMagic,27,
28254549,"09:22, 16 June 2020",Votebot,False,adjustment,reverted,EpcotMagic,0,(reordering tips and warnings based on votes)
28242591,"23:08, 12 June 2020",WikiHow Expert Review,False,major_addition,active,,589,(Integrated tips from NCA)
27983089,"16:52, 13 April 2020",WikiHow International PM,False,addition,active,,14,"(Was not clear. ""Avoid to"" + ""Remove..."" or ""Avoid to..."" + ""Don't put..."")"
26261850,"00:09, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26109150,"08:52, 1 March 2019",Anna RU PM,False,deletion,active,,-50,(removing potentially problematic images for wikiHaus)
25552834,"17:11, 6 November 2018",209.133.101.108,False,deletion,active,,-80,
25552828,"17:10, 6 November 2018",209.133.101.108,False,addition,active,,80,
24827778,"09:36, 29 June 2018",Votebot,False,deletion,reverted,EpcotMagic,-1,(reordering tips and warnings based on votes)
24699331,"00:00, 5 June 2018",Anna,False,deletion,active,,-12,(oopsy)
24699326,"23:58, 4 June 2018",Anna,False,addition,active,,2,(moving sections)
24699282,"23:47, 4 June 2018",Seymour Edits,False,addition,active,,12,(weaving links)
24692315,"01:39, 4 June 2018",ReLily078,False,revert,active,,51,(RCP reverted edits by Meadow Maturo (talk) to  revision #24451579 by SarahB)
24692163,"00:40, 4 June 2018",Meadow Maturo,False,deletion,reverted,ReLily078,-51,
24451579,"15:20, 27 April 2018",SarahB,False,revert,reverted,ReLily078,13,(Reverted edits by Ainoi Keomouangchanh (Talk); changed back to last version by SarahB)
