Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34154069,"09:01, 22 March 2026",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
34099127,"20:17, 19 February 2026",MiscBot,False,deletion,active,,-165,(Removing Related Articles section)
34085609,"10:36, 19 February 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
34083539,"03:21, 19 February 2026",MiscBot,False,revert,active,,166,(Reverting the Related Articles section removal)
34067933,"20:27, 18 February 2026",MiscBot,False,deletion,active,,-166,(Removing Related Articles section)
34038560,"10:19, 10 February 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33230490,"21:43, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32239342,"13:10, 27 January 2024",WikiHow Horizon,False,addition,active,,96,(Updated link/s)
29518081,"10:20, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29224074,"10:08, 17 February 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29138517,"20:26, 26 January 2021",Sophia B,False,major_deletion,active,,-806,(corrected a step)
28734050,"20:41, 12 October 2020",JustJellyKelly,False,addition,active,,60,(Adding video via video picker tool)
28341352,"14:26, 5 July 2020",Wikivisual,False,major_addition,active,,1220,(Saving new step-by-step photos)
28259751,"16:08, 17 June 2020",WikiHow Expert Review,False,major_addition,active,,650,(Integrated tips from NCA)
27712261,"23:25, 10 February 2020",WikiHow Expert Review,False,addition,active,,249,(Incorporating expert feedback)
26249853,"23:19, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
24746742,"09:21, 13 June 2018",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
24703154,"20:26, 5 June 2018",WikiHow Expert Review,False,addition,active,,176,(Incorporating expert feedback)
24699107,"22:49, 4 June 2018",WikiHow Expert Review,False,addition,active,,54,(Incorporating expert feedback)
24627903,"09:35, 22 May 2018",Rkk,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24625127,"21:34, 21 May 2018",WikiHow Expert Review,False,major_deletion,active,,-577,(Incorporating expert feedback)
