Year,Overall_Members,Female_Members,Male_Members,NB_Unk_Members
2005,63,16,21,26
2006,106,33,44,29
2007,269,76,129,64
2008,314,76,186,52
2009,351,69,201,81
2010,339,101,161,77
2011,288,104,128,56
2012,319,82,166,71
2013,703,206,376,121
2014,616,201,322,92
2015,996,356,494,146
2016,1038,354,533,151
2017,954,394,364,196
2018,1343,468,651,224
2019,1613,709,716,188
2020,1902,814,717,371
2021,1959,1037,616,306
2022,2602,1263,806,533
2023,2122,981,593,548
2024,2182,903,742,537
2025,2593,1439,757,397
2026,2466,1111,1012,343
