Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34014640,"18:28, 27 January 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Gauge Wire"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33538423,"02:24, 8 July 2025",Seymour Edits,False,sourcing,active,,64,(Added and updated sources for the wikiHaus content team.)
33229070,"21:24, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32446948,"00:16, 19 April 2024",MiscBot,False,deletion,active,,-52,(Celebrity Green boxes converted to use new format)
32237679,"17:02, 26 January 2024",WikiHow Projects,False,addition,active,,415,(Updated green box.)
31756003,"12:07, 2 July 2023",Seymour Edits,False,sourcing,active,,-50,(Replaced bad references for wikiHaus content team)
28259865,"16:41, 17 June 2020",WikiHow Expert Review,False,addition,active,,7,(Integrated tips from NCA)
27071531,"21:27, 12 September 2019",Seymour Edits,False,addition,active,,129,(Added the Summary template to this article)
26286867,"02:04, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25136758,"09:18, 25 August 2018",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
23222855,"15:11, 16 September 2017",Wikivisual,False,addition,active,,431,(Saving new step-by-step photos)
23012361,"14:13, 11 August 2017",Seymour Edits,False,cleanup,active,,629,"(Clarified 1.2.1, 1.4, and 3.4. Corrected minor typos. Added 2.2 and ""Things You'll Need."")"
23010059,"06:16, 11 August 2017",Ral2004,False,addition,active,,51,(categorization)
23006795,"16:41, 10 August 2017",WRM,False,major_addition,active,,8045,(Created new article.)
