Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
31214762,"20:54, 29 December 2022",Seymour Edits,False,addition,active,,43,(Added expert ref)
31176224,"17:06, 16 December 2022",WikiHow Projects,False,revert,active,,240,(Adding an Expert Interview)
31125025,"17:18, 1 December 2022",Seymour Edits,False,addition,active,,192,(Added expert citations.)
30921046,"22:25, 28 September 2022",Wikivisual,False,addition,active,,81,(Saving new step-by-step photos)
30900041,"11:31, 22 September 2022",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
30899426,"08:16, 22 September 2022",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
30614254,"21:10, 10 June 2022",WikiDenise25,False,addition,active,,42,(Adding video via video picker tool)
27734751,"12:09, 16 February 2020",RubyRoseRain,False,addition,active,,1,(→‎Things You'll Need)
27660601,"04:29, 30 January 2020",WikiHowUser20230227233914,False,addition,active,,6,(adding fa tag)
26743644,"05:11, 1 July 2019",Wikivisual,False,major_addition,active,,701,(Saving new step-by-step photos)
26312642,"04:29, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25358640,"18:34, 4 October 2018",Seymour Edits,False,addition,active,,136,(Added the Summary template to this article)
25344458,"19:51, 2 October 2018",HisGirlFriday,False,addition,active,,359,(revisions)
25327930,"01:39, 30 September 2018",HisGirlFriday,False,major_addition,active,,4386,(revised and expanded content)
22484562,"14:38, 24 May 2017",Trellex,False,revert,active,,3927,(RCP reverted edits by 211.136.212.76 (talk) to  revision #20047924 by Wikivisual)
22484520,"14:27, 24 May 2017",211.136.212.76,False,addition,reverted,Trellex,1,(→‎Remove the cakes from the refrigerator. Unwrap the first one. Set it atop the platform.)
22484514,"14:26, 24 May 2017",211.136.212.76,False,addition,reverted,Trellex,2,(→‎Remove the cakes from the refrigerator. Unwrap the first one. Set it atop the platform.)
22484484,"14:17, 24 May 2017",211.136.212.76,False,deletion,reverted,Trellex,-5,"(→‎When you cool the wafer layer, cut the mango and use it)"
22484482,"14:16, 24 May 2017",211.136.212.76,False,deletion,reverted,Trellex,-4,(→‎With nonstick cooking wafer layer.)
22484480,"14:16, 24 May 2017",211.136.212.76,False,deletion,reverted,Trellex,-3,(→‎we should make a batter)
22484478,"14:15, 24 May 2017",211.136.212.76,False,deletion,reverted,Trellex,-4,(→‎Remove the cakes from the refrigerator. Unwrap the first one. Set it atop the platform.)
22484473,"14:14, 24 May 2017",211.136.212.76,False,addition,reverted,Trellex,49,(→‎Step)
22484426,"14:08, 24 May 2017",211.136.212.76,False,deletion,reverted,Trellex,-25,
22484420,"14:06, 24 May 2017",211.136.212.76,False,addition,reverted,Trellex,42,
22484383,"14:05, 24 May 2017",211.136.212.76,False,major_deletion,reverted,Trellex,-3980,(→‎Steps)
20047924,"08:21, 18 April 2016",Wikivisual,False,major_addition,reverted,Trellex,987,(Saving new step-by-step photos)
17947840,"18:08, 27 July 2015",InterwikiBot,False,deletion,active,,-32,"(Removing interwiki links, no longer needed in wikitext)"
15815065,"22:19, 5 November 2014",MiscBot,False,addition,active,,22,(Adding conversion template.)
13921868,"10:23, 14 June 2014",RG Dhruv,False,revert,active,,1,(RCP reverted edits by 5.71.152.174 (talk) to  revision #13896503 by InterwikiBot)
13921841,"10:16, 14 June 2014",5.71.152.174,False,deletion,reverted,RG Dhruv,-1,
13896503,"17:45, 11 June 2014",InterwikiBot,False,addition,reverted,RG Dhruv,32,(Adding interwiki link)
13115245,"00:37, 29 March 2014",Maddie2880,False,addition,active,,29,(categorization)
13103861,"13:38, 28 March 2014",WRM,False,major_addition,active,,5441,"(New page: The layer cake is one of the main creations in a baker’s repertoire. Circular, even layers of cake and frosting are layered and decorated, making it a popular birthday cake recipe. Cr...)"
