Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34021570,"18:38, 30 January 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Install Flood Lights"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33019350,"17:12, 23 December 2024",Seymour Edits,False,addition,active,,459,
31884477,"03:28, 24 August 2023",WikiHow Projects,False,major_deletion,active,,-1501,(removing broken link)
31379499,"09:52, 22 February 2023",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
29895270,"06:25, 16 September 2021",MiscBot,False,deletion,active,,-6,(Automatic category consolidation.)
28414443,"21:12, 24 July 2020",WikiHow Expert Review,False,addition,active,,262,(Integrated tips from NCA)
27549809,"18:46, 2 January 2020",Seymour Edits,False,addition,active,,139,(Added the Summary template to this article)
26297444,"02:51, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
23995384,"18:11, 7 February 2018",Wikivisual,False,major_addition,active,,1657,(Saving new step-by-step photos)
23879338,"05:12, 18 January 2018",WikiHow Intern,False,deletion,active,,-46,(Change to appropriate sub-category)
23658539,"16:09, 3 December 2017",Seymour Edits,False,addition,active,,324,(Adding a step.)
23657099,"05:53, 3 December 2017",Seymour Edits,False,addition,active,,116,(revised intro)
23655877,"19:50, 2 December 2017",P Hills,False,addition,active,,74,(categorization)
23655703,"19:06, 2 December 2017",WRM,False,major_addition,active,,13853,(Creating article.)
