Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32722198,"03:55, 16 August 2024",MiscBot,False,deletion,active,,-45,(Removed broken YouTube video)
32325399,"00:19, 29 February 2024",WikiHow Horizon 3,False,deletion,active,,-224,(Deleted link)
32065843,"09:36, 12 November 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32030258,"03:13, 27 October 2023",RedirectsBot,False,deletion,active,,-28,(Updating link to point directly to article instead of redirect)
30512551,"09:03, 3 May 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30309158,"10:25, 17 February 2022",WikiHow Projects,False,deletion,active,,-31,(Moving article from category to be deleted)
30171505,"09:53, 30 December 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30098788,"09:51, 29 November 2021",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
30028156,"16:41, 1 November 2021",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
29960947,"20:16, 9 October 2021",Wikivisual,False,addition,active,,460,(Saving new step-by-step photos)
29813042,"15:36, 16 August 2021",Wikivisual,False,deletion,active,,-365,(Saving new step-by-step photos)
29796496,"14:20, 10 August 2021",MiscBot,False,addition,active,,5,(Automatic category consolidation.)
29730759,"19:04, 13 July 2021",Katelijn,False,deletion,active,,-1,
29516805,"10:12, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-25,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28711169,"09:46, 8 October 2020",RelatedWikihowsBot,False,deletion,active,,-97,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28035286,"05:54, 26 April 2020",Sasha Smarts,False,addition,active,,45,(Adding video via video picker tool)
27687154,"16:29, 5 February 2020",Loiswade42,False,revert,active,,-80,(RCP reverted edits by 45.73.151.62 (talk) to  revision #27487721 by Queenie Lawrie)
27687034,"16:08, 5 February 2020",45.73.151.62,False,addition,reverted,Loiswade42,80,
27487721,"07:08, 14 December 2019",Queenie Lawrie,False,deletion,reverted,Loiswade42,-1,(→‎Tips)
27487720,"07:08, 14 December 2019",Queenie Lawrie,False,addition,reverted,Loiswade42,105,(→‎Tips)
27233692,"16:24, 18 October 2019",Seymour Edits,False,sourcing,active,,1274,(Added sources for the wikihaus content team.)
26708152,"15:13, 21 June 2019",Mymy B,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
26706759,"08:11, 21 June 2019",WikiHowUser20220204205835,False,major_addition,active,,788,(Quick edit while patrolling)
26706511,"06:39, 21 June 2019",Awesome Aasim,False,addition,active,,369,(This may need to be moved into a different section (I am on my phone editing this))
24199826,"13:28, 13 March 2018",Aiosis,False,revert,active,,-18,(Reverted edits by 204.111.242.2 (Talk); changed back to last version by Aiosis)
24199825,"13:28, 13 March 2018",204.111.242.2,False,addition,reverted,Aiosis,18,(→‎Steps)
24199822,"13:26, 13 March 2018",Aiosis,False,revert,reverted,Aiosis,-7,(Reverted edits by 204.111.242.2 (Talk); changed back to last version by WikiHow Intern)
24199821,"13:26, 13 March 2018",204.111.242.2,False,addition,reverted,Aiosis,7,
23880829,"13:56, 18 January 2018",WikiHow Intern,False,addition,reverted,Aiosis,25,(Change to appropriate sub-categories)
22312778,"10:26, 29 April 2017",Wikivisual,False,addition,active,,463,(Saving new step-by-step photos)
21685770,"10:01, 17 January 2017",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
21665341,"02:41, 14 January 2017",HumanBeing,False,addition,active,,1,
21665298,"02:24, 14 January 2017",HumanBeing,False,major_addition,active,,1097,
21665080,"01:35, 14 January 2017",Joel.Miles925,False,revert,active,,-175,(RCP reverted edits by 68.102.78.111 (talk) to  revision #21157514 by Thecardmaker)
21665079,"01:35, 14 January 2017",Moonmodule1998,False,addition,active,,1,
21665076,"01:30, 14 January 2017",68.102.78.111,False,addition,reverted,Joel.Miles925,174,(→‎Tips)
21157514,"11:49, 17 October 2016",Thecardmaker,False,addition,reverted,Joel.Miles925,58,(New tip approved in Tips Patrol)
19936734,"08:45, 2 April 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19899438,"13:52, 28 March 2016",162.206.204.111,False,addition,active,,47,
19899437,"13:51, 28 March 2016",162.206.204.111,False,addition,active,,9,
19899434,"13:49, 28 March 2016",162.206.204.111,False,addition,active,,57,
19782949,"09:37, 9 March 2016",Sarah Lucy,False,revert,active,,-128,(RCP reverted edits by 71.199.38.79 (talk) to  revision #19406010 by RelatedWikihowsBot)
19782795,"08:34, 9 March 2016",71.199.38.79,False,addition,reverted,Sarah Lucy,128,(→‎Steps)
19406010,"05:50, 12 January 2016",RelatedWikihowsBot,False,deletion,reverted,Sarah Lucy,-383,(Removing redundant wikitext from Related wikiHows section)
18587444,"21:48, 6 October 2015",Tiagoroth,False,revert,active,,5,(RCP reverted edits by 47.16.248.4 (talk) to  revision #18230237 by Rocio Macias Melehan)
18587241,"21:05, 6 October 2015",47.16.248.4,False,deletion,reverted,Tiagoroth,-10,(→‎Steps)
18587221,"21:01, 6 October 2015",47.16.248.4,False,addition,reverted,Tiagoroth,5,
18230237,"02:28, 15 August 2015",Rocio Macias Melehan,False,cleanup,reverted,Tiagoroth,2,(Fixing misspellings via the Spellchecker tool)
18111855,"15:38, 29 July 2015",MiscBot,False,deletion,active,,-308,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17986765,"07:49, 28 July 2015",InterwikiBot,False,deletion,active,,-337,"(Removing interwiki links, no longer needed in wikitext)"
17686518,"21:45, 26 June 2015",213.120.33.220,False,sourcing,active,,-102,"(Removed reference to illegality of smoking indoors in UK - it is not illegal to smoke in a domestic property. The ban refers specifically to enclosed public spaces, and was instituted for public health reasons not fire safety.)"
17591786,"13:26, 12 June 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17187126,"15:01, 23 April 2015",Anna,False,revert,active,,-89,(Reverted edits by Tumblree (Talk); changed back to last version by WikiHow Intern)
17187087,"14:57, 23 April 2015",Tumblree,False,revert,reverted,Anna,89,(RCP reverted edits by WikiHow Intern (talk) to  revision #16600671 by 98.93.78.65)
17187083,"14:56, 23 April 2015",WikiHow Intern,False,sourcing,reverted,Aiosis,-89,(removing non-source or low quality link)
16600671,"18:23, 8 February 2015",98.93.78.65,False,addition,reverted,Tumblree,1,
16563197,"19:14, 5 February 2015",MiscBot,False,cleanup,active,,-2,(Correcting spelling and/or grammar.)
16485635,"15:08, 28 January 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16403995,"10:42, 18 January 2015",STFLightning,False,addition,active,,1,(Grammer edit while patrolling)
16403929,"10:30, 18 January 2015",Keelan,False,addition,active,,73,(New tip approved in Tips Patrol)
16337100,"14:49, 9 January 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16316779,"15:29, 7 January 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16264288,"14:37, 31 December 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16202565,"17:49, 21 December 2014",71.10.177.190,False,deletion,active,,-54,
16096292,"15:06, 8 December 2014",InterwikiBot,False,addition,active,,26,(Adding interwiki link)
16022598,"14:37, 29 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15980195,"14:51, 24 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15845361,"01:37, 9 November 2014",Souphead,False,revert,active,,207,(RCP reverted edits by 69.80.24.205 (talk) to  revision #15804905 by Chrisramaz)
15845332,"01:24, 9 November 2014",69.80.24.205,False,deletion,reverted,Souphead,-207,
15804905,"05:35, 5 November 2014",Chrisramaz,False,cleanup,reverted,Souphead,12,(Fixing misspellings via the Spellchecker tool)
15303216,"18:57, 8 September 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15129050,"19:22, 20 August 2014",GeGeGeLL,False,revert,active,,17586,(RCP reverted edits by 27.251.108.253 (talk) to  revision #14340806 by Votebot)
15126917,"17:31, 20 August 2014",27.251.108.253,False,major_deletion,reverted,GeGeGeLL,-17586,(Removing all content from page)
14340806,"18:08, 26 July 2014",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
14034199,"17:56, 25 June 2014",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
13717960,"17:16, 25 May 2014",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
13072603,"16:28, 24 March 2014",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
12766239,"19:09, 21 February 2014",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
12317822,"17:46, 6 January 2014",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
12187906,"16:59, 22 December 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
12030747,"18:06, 7 December 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
12009003,"15:39, 5 December 2013",Imaginationoriented,False,revert,active,,17,(Reverted edits by 64.251.51.2 (Talk); changed back to last version by Sanssheriff)
12009001,"15:38, 5 December 2013",64.251.51.2,False,deletion,reverted,Imaginationoriented,-17,(→‎Steps)
11977354,"22:22, 2 December 2013",Sanssheriff,False,revert,reverted,Imaginationoriented,-6,(Reverted edits by 70.182.174.81 (Talk); changed back to last version by Votebot)
11976030,"19:47, 2 December 2013",70.182.174.81,False,addition,reverted,Sanssheriff,10,(→‎Steps)
11976022,"19:44, 2 December 2013",70.182.174.81,False,deletion,reverted,Sanssheriff,-4,(→‎Steps)
11880188,"18:44, 22 November 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
11784855,"22:42, 13 November 2013",Flickety,False,revert,active,,-36,(Reverted edits by Disney's Ariel (Talk); changed back to last version by Abrogation316)
11766370,"06:22, 12 November 2013",Disney's Ariel,False,addition,reverted,Flickety,36,(edited tip from Tips Patrol)
11724164,"22:08, 7 November 2013",Abrogation316,False,revert,reverted,Flickety,-11,(Reverted edits by 24.227.178.118 (Talk); changed back to last version by Votebot)
11724159,"22:06, 7 November 2013",24.227.178.118,False,addition,reverted,Abrogation316,11,(→‎Steps)
11723597,"21:30, 7 November 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
11534658,"22:06, 24 October 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
11445948,"17:17, 18 October 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
11423219,"16:02, 16 October 2013",InterwikiBot,False,addition,active,,26,(Adding interwiki link)
11393629,"15:30, 13 October 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
11345401,"22:37, 8 October 2013",Zygomatt,False,addition,active,,108,(→‎Warnings)
11341393,"17:58, 8 October 2013",74.84.118.142,False,addition,active,,4,(→‎Warnings)
11330576,"17:10, 7 October 2013",Peter C,False,addition,active,,102,(→‎Warnings)
11330572,"17:10, 7 October 2013",Peter C,False,addition,active,,87,(→‎Tips)
11330563,"17:09, 7 October 2013",Peter C,False,addition,active,,223,(→‎Warnings)
11330547,"17:06, 7 October 2013",Peter C,False,addition,active,,142,(→‎Steps)
11326978,"04:28, 7 October 2013",Clarinetdude,False,revert,active,,-68,(Reverted edits by Buzz (Talk); changed back to last version by Lutherus Shyrilser)
11326947,"04:24, 7 October 2013",Buzz,False,addition,reverted,Clarinetdude,68,
11319302,"10:10, 6 October 2013",Lutherus Shyrilser,False,revert,reverted,Clarinetdude,1967,(Reverted edits by 112.207.158.34 (Talk); changed back to last version by Votebot)
11319297,"10:07, 6 October 2013",112.207.158.34,False,major_deletion,reverted,Lutherus Shyrilser,-1967,
11249954,"15:41, 28 September 2013",Votebot,False,adjustment,reverted,GeGeGeLL,0,(reordering tips and warnings based on votes)
11175066,"15:09, 21 September 2013",InterwikiBot,False,addition,active,,74,(Adding interwiki link)
11142027,"00:46, 18 September 2013",Flickety,False,addition,active,,381,
11099205,"16:01, 13 September 2013",Votebot,False,deletion,reverted,GeGeGeLL,-1,(reordering tips and warnings based on votes)
