Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33229704,"21:33, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33092548,"12:15, 24 January 2025",Freyrr,False,deletion,active,,-4,(extra word)
33091461,"01:57, 24 January 2025",EpcotMagic,False,addition,active,,42,(Adding video via video picker tool)
32433915,"20:39, 13 April 2024",WikiHow Horizon 3,False,addition,active,,13,(http ► https)
31701359,"19:17, 11 June 2023",UnitGuardian,False,addition,active,,20,(Adding conversion template)
31701358,"19:17, 11 June 2023",UnitGuardian,False,addition,active,,20,(Adding conversion template)
31371133,"18:04, 19 February 2023",WikiHow Projects,False,deletion,active,,-417,(removing broken links)
31101143,"14:11, 23 November 2022",WikiHow Projects,False,deletion,active,,-231,(updating link)
27962218,"20:46, 8 April 2020",Seymour Edits,False,addition,active,,136,(Added the Summary template to this article)
26285408,"01:57, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24344330,"12:35, 8 April 2018",WikiHow Projects,False,deletion,active,,-218,(removing broken link)
22752381,"08:48, 29 June 2017",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
22726787,"00:43, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-46,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21222061,"21:25, 26 October 2016",Flickety,False,addition,active,,8,(Switch to appropriate category)
20674616,"08:45, 29 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19401283,"04:25, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-25,(Removing redundant wikitext from Related wikiHows section)
18575953,"08:40, 5 October 2015",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
17477155,"09:11, 29 May 2015",Wikivisual,False,major_addition,active,,1098,(Saving new step-by-step photos)
16391905,"15:20, 16 January 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16126727,"17:23, 11 December 2014",Seymour Edits,False,major_addition,active,,8351,"(Broke the process into several parts, added more details and citations.)"
15210282,"19:08, 28 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14059146,"18:19, 27 June 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12998344,"16:10, 16 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11232820,"16:33, 26 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9827627,"15:52, 7 May 2013",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
8157374,"19:35, 27 July 2012",SmarmySnodsnick,False,addition,active,,43,(Edit via Image Picker: Added an image)
6422279,"00:35, 30 July 2011",Wendy Weaver,False,addition,active,,73,(Weaving the web of links)
6099398,"09:12, 30 May 2011",Anniesarah,False,addition,active,,25,(categorization)
6047581,"07:00, 22 May 2011",WRM,False,major_addition,active,,3577,(Creating new article)
