Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33540640,"00:01, 9 July 2025",MiscBot,False,deletion,active,,-140,(Automatic external link checking: updating and/or deleting links that are broken)
33477928,"23:01, 10 June 2025",MiscBot,False,deletion,active,,-74,(Automatic external link checking: updating and/or deleting links that are broken)
32269291,"16:46, 6 February 2024",WikiHow Projects,False,deletion,active,,-143,(removing broken links)
32241118,"00:20, 29 January 2024",Alabaster,False,revert,active,,-5,(Undid edit #32240530 by Yogesh Kandpal (Talk) rm exlinks)
32240530,"11:10, 28 January 2024",Yogesh Kandpal,False,sourcing,reverted,Alabaster,5,(Updated the home inspection franchise cost and the resource link for the information.)
31271535,"01:24, 18 January 2023",WikiHow Projects,False,deletion,active,,-62,(removing broken link)
31271533,"01:23, 18 January 2023",WikiHow Projects,False,deletion,active,,-55,(removing broken link)
29303268,"08:33, 8 March 2021",Vidbot,False,deletion,active,,-48,(Removing unavailable video from article)
26256028,"23:44, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25999945,"21:26, 7 February 2019",Seymour Edits,False,addition,active,,142,(Added the Summary template to this article)
25559884,"20:22, 7 November 2018",Zodi,False,revert,active,,-43,(RCP reverted edits by 1.23.115.252 (talk) to  revision #24668025 by WikiHow Projects)
25559873,"20:18, 7 November 2018",1.23.115.252,False,addition,reverted,Zodi,43,
24668025,"16:09, 30 May 2018",WikiHow Projects,False,deletion,reverted,Zodi,-86,(removing broken link)
24553369,"22:11, 12 May 2018",EpcotMagic,False,addition,active,,48,(Adding video via video picker tool)
24092527,"04:56, 24 February 2018",WikiHow Intern,False,addition,active,,6,(Change to appropriate sub-category)
21986327,"15:41, 5 March 2017",Wikivisual,False,addition,active,,476,(Saving new step-by-step photos)
21865194,"04:33, 15 February 2017",Seymour Edits,False,deletion,active,,-3,"(minor edits to intro, 1.2, 2.1)"
21862875,"19:12, 14 February 2017",WRM,False,cleanup,active,,69,"(fixed intro, fixed 1.1 added substep, 1.2 fixed structure, 1.5.2 fixed typo and added another substep, 2.3.1 removed extra space, 3.1 added in the U.S.)"
21836764,"11:51, 10 February 2017",Arna Snorradottir,False,cleanup,active,,3,(Fixing misspellings via the Spellchecker tool)
21832821,"19:51, 9 February 2017",WRM,False,cleanup,active,,1,(fixed formatting error)
21832817,"19:51, 9 February 2017",WRM,False,cleanup,active,,0,(fixed formatting error)
21832807,"19:50, 9 February 2017",WRM,False,cleanup,active,,103,"(fixed typo, added ref)"
21832805,"19:49, 9 February 2017",WRM,False,sourcing,active,,4450,"(added references, changed intro, broke into 3 parts)"
21485829,"14:55, 11 December 2016",Joel.Miles925,False,revert,active,,-152,(RCP reverted edits by 198.8.80.77 (talk) to  revision #18285169 by WikiHow Intern)
21485822,"14:50, 11 December 2016",198.8.80.77,False,sourcing,reverted,Joel.Miles925,152,(Added the critical element of establishing an online presence to market your business. Local searches for home inspectors are a recurring source of business outside of realtor referrals.)
18285169,"05:59, 23 August 2015",WikiHow Intern,False,deletion,reverted,Joel.Miles925,-72,(removing broken link)
18081255,"02:15, 29 July 2015",MiscBot,False,deletion,active,,-168,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
12808401,"22:45, 25 February 2014",MiscBot,False,deletion,active,,-19,(Adding parts/methods magic word.)
11625147,"14:03, 31 October 2013",Wikiphoto,False,addition,active,,107,(Enlarging and centering Steps photos)
11625146,"14:03, 31 October 2013",Wikiphoto,False,major_addition,active,,675,(Saving new step-by-step photos)
11022901,"00:26, 6 September 2013",Jansen Henschel,False,addition,active,,43,(categorization)
11002062,"20:01, 3 September 2013",WRM,False,major_addition,active,,4313,(Creating new article)
