Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32446581,"00:14, 19 April 2024",MiscBot,False,deletion,active,,-71,(Celebrity Green boxes converted to use new format)
32152501,"02:22, 21 December 2023",WikiHow Horizon 3,False,deletion,active,,-73,(Deleted link/s)
31947500,"13:27, 21 September 2023",WikiHow Projects,False,addition,active,,369,(Updated green box.)
30733113,"00:52, 28 July 2022",MiscBot,False,addition,active,,18,(adding magic word for horizontal table of contents)
30540168,"02:30, 13 May 2022",Seymour Edits,False,deletion,active,,-16,(Shortening method headers)
30414632,"14:56, 25 March 2022",Wikivisual,False,addition,active,,69,(Saving new step-by-step photos)
29896158,"06:31, 16 September 2021",MiscBot,False,adjustment,active,,0,(Automatic category consolidation.)
29685151,"21:23, 25 June 2021",WikiHow Expert Review,False,addition,active,,204,(Integrated tips from NCA)
28242394,"21:48, 12 June 2020",Seymour Edits,False,deletion,active,,-21,(Removed GBs.)
28062677,"13:42, 2 May 2020",Hibou8,False,addition,active,,276,
26258212,"23:53, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24538990,"18:24, 10 May 2018",Aiosis,False,revert,active,,7122,(Reverted edits by 173.251.92.250 (Talk); changed back to last version by Wikivisual)
24538983,"18:24, 10 May 2018",173.251.92.250,False,major_deletion,reverted,Aiosis,-7122,(Replacing page with 'Plese just don't')
23657485,"09:21, 3 December 2017",Wikivisual,False,addition,reverted,Aiosis,483,(Saving new step-by-step photos)
23530093,"17:51, 9 November 2017",Seymour Edits,False,addition,active,,9,
23526443,"01:48, 9 November 2017",Batreeq,False,addition,active,,68,(Quick edit while patrolling)
23526417,"01:39, 9 November 2017",Seymour Edits,False,major_addition,active,,4365,(Expanded content and created sections.)
22724464,"00:36, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-74,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
19286872,"07:17, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-52,(Removing redundant wikitext from Related wikiHows section)
17862707,"18:38, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
16806383,"11:07, 5 March 2015",Wikivisual,False,addition,reverted,Aiosis,212,(Saving new step-by-step photos)
8919944,"18:54, 24 December 2012",Ttrimm,False,addition,active,,126,(Adding related wikihow from NAB)
5734403,"10:56, 13 March 2011",Sammy123,False,addition,active,,33,(categorization)
5702494,"22:01, 5 March 2011",Flickety,False,major_addition,active,,1085,(NFD removed)
5689974,"01:43, 3 March 2011",Smurfs,False,addition,active,,100,(Added image: Cry Baby.jpg)
5689947,"01:41, 3 March 2011",Editor590489584,False,addition,active,,28,(Adding templates (nfd) from new article boost)
5689941,"01:40, 3 March 2011",Smurfs,False,addition,active,,129,
5689764,"01:00, 3 March 2011",Mkperry99,False,addition,active,,29,
5689373,"23:45, 2 March 2011",Zombieberry1,False,major_addition,active,,598,(Creating new article)
