Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33499217,"01:01, 20 June 2025",MiscBot,False,deletion,active,,-97,(Automatic external link checking: updating and/or deleting links that are broken)
31274948,"01:41, 19 January 2023",WikiHow Projects,False,deletion,active,,-171,(removing broken links)
29520987,"10:38, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-41,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26325660,"05:43, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25134277,"20:57, 24 August 2018",Anna,False,deletion,active,,-63,(title seems okay as is)
25114928,"21:07, 20 August 2018",R2_d2000,False,addition,active,,62,"(removing hyphen (it is not needed), requesting title change)"
23844680,"12:08, 11 January 2018",Aiosis,False,revert,active,,8200,(Reverted edits by 183.87.163.14 (Talk); changed back to last version by Wikivisual)
23844581,"11:11, 11 January 2018",183.87.163.14,False,major_deletion,reverted,Aiosis,-8200,
23381542,"17:37, 13 October 2017",Wikivisual,False,adjustment,reverted,Aiosis,0,(Saving new step-by-step photos)
23341127,"09:41, 7 October 2017",Wikivisual,False,major_addition,reverted,Aiosis,609,(Saving new step-by-step photos)
23173727,"07:35, 7 September 2017",RelatedWikihowsBot,False,deletion,active,,-116,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
23120617,"22:34, 28 August 2017",Or Gozal,False,major_addition,active,,4543,(expanded article (new editor))
22725757,"00:40, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-116,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22280394,"08:42, 24 April 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22129413,"21:23, 27 March 2017",Flickety,False,addition,active,,29,(Add relevant sub-category)
21293540,"09:38, 7 November 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20851925,"22:36, 25 August 2016",WikiHow Projects,False,deletion,active,,-196,(removing broken link)
20692217,"08:42, 1 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20509591,"08:38, 1 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20120485,"08:36, 29 April 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19906566,"08:43, 29 March 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19337185,"00:46, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-188,(Removing redundant wikitext from Related wikiHows section)
18072263,"23:21, 28 July 2015",MiscBot,False,deletion,active,,-54,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16107535,"19:18, 9 December 2014",MiscBot,False,addition,active,,14,(Adding conversion template.)
15335546,"19:07, 11 September 2014",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
13886246,"18:19, 10 June 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13060019,"23:56, 22 March 2014",WikiHowUser20221012045502,False,addition,active,,401,(Related wikiHows)
12189024,"17:49, 22 December 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11889864,"18:20, 23 November 2013",Votebot,False,deletion,active,,-4,(reordering tips and warnings based on votes)
11536792,"22:35, 24 October 2013",Votebot,False,addition,active,,4,(reordering tips and warnings based on votes)
10288781,"17:08, 25 June 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
8872627,"21:32, 13 December 2012",LargeImageBot,False,deletion,active,,-97,(Resized images to the {{largeimage}} size.)
7179354,"01:44, 24 January 2012",Thomscher,False,addition,active,,55,(Enlarging and centering Steps photos; enlarging intro image)
7179145,"01:22, 24 January 2012",Thomscher,False,addition,active,,1,(Enlarging Steps photos to 300 pixels; enlarging intro image)
7177646,"23:45, 23 January 2012",Wikiphoto,False,addition,active,,468,(Saving new step-by-step photos)
6657464,"21:02, 21 September 2011",WRM,False,sourcing,active,,-190,(→‎Sources and Citations)
6657460,"21:00, 21 September 2011",WRM,False,sourcing,active,,-86,(→‎Sources and Citations)
5921961,"22:27, 25 April 2011",Fianchetto,False,addition,active,,56,(categorization)
5919783,"13:00, 25 April 2011",WRM,False,major_addition,active,,3803,(Creating new article)
