Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32994833,"09:48, 12 December 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32921331,"09:49, 11 November 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32850034,"08:56, 11 October 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31413901,"12:20, 6 March 2023",ICanGuessItLol,False,revert,active,,-69,(Reverted edits by Pappu Kumar 1 (Talk); changed back to last version by ICanGuessItLol)
31413899,"12:19, 6 March 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,70,
31413897,"12:18, 6 March 2023",Pappu Kumar 1,False,deletion,reverted,ICanGuessItLol,-80,
31413896,"12:17, 6 March 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,79,
31413886,"12:14, 6 March 2023",ICanGuessItLol,False,revert,reverted,ICanGuessItLol,-77,(Reverted edits by Pappu Kumar 1 (Talk); changed back to last version by ICanGuessItLol)
31413884,"12:13, 6 March 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,77,
31392956,"11:46, 27 February 2023",ICanGuessItLol,False,revert,reverted,ICanGuessItLol,-252,(RCP reverted edits by Pappu Kumar 1 (talk) to  revision #31377766 by Agusbou2015)
31392865,"11:15, 27 February 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,252,
31377766,"16:20, 21 February 2023",Agusbou2015,False,revert,reverted,ICanGuessItLol,-76,(RCP reverted edits by Pappu Kumar 1 (talk) to  revision #29815086 by Seymour Edits)
31376515,"05:43, 21 February 2023",Pappu Kumar 1,False,addition,reverted,ICanGuessItLol,76,
29815086,"16:05, 17 August 2021",Seymour Edits,False,addition,reverted,Agusbou2015,161,(Added expert refs)
29514088,"09:55, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27960092,"09:07, 8 April 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27743386,"06:03, 18 February 2020",Seymour Edits,False,sourcing,reverted,Agusbou2015,398,"(Added sources, reflist, and removed a bad link for the wikihaus content team.)"
27318458,"10:45, 5 November 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27073546,"09:41, 13 September 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26940922,"09:41, 13 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26328867,"06:00, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25855639,"10:13, 8 January 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
