Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34098522,"20:09, 19 February 2026",MiscBot,False,deletion,active,,-158,(Removing Related Articles section)
34082944,"03:13, 19 February 2026",MiscBot,False,revert,active,,160,(Reverting the Related Articles section removal)
34067205,"20:05, 18 February 2026",MiscBot,False,deletion,active,,-160,(Removing Related Articles section)
33436645,"16:00, 29 May 2025",MiscBot,False,deletion,active,,-13,(Automatic external link checking: updating and/or deleting links that are broken)
33224184,"20:16, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32847905,"13:50, 10 October 2024",WikiHow Projects,False,addition,active,,87,
32147330,"23:49, 18 December 2023",WikiHow Horizon 3,False,deletion,active,,-110,(Deleted link/s)
31381242,"02:07, 23 February 2023",WikiHow Projects,False,deletion,active,,-77,(removing broken link)
27933907,"08:30, 2 April 2020",RelatedWikihowsBot,False,deletion,active,,-39,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27822186,"15:11, 6 March 2020",Caitlynn L,False,addition,active,,8,(helping WikiHaus Trainee - adding more context)
27814846,"08:25, 5 March 2020",WikiHaus Trainee,False,addition,active,,51,(Adding relevant wikihow link)
27395114,"16:27, 21 November 2019",Hope E Armstrong,False,revert,active,,-25,(RCP reverted edits by Thicccccccc daddy 101 (talk) to  revision #26649776 by Zodi)
27394043,"13:03, 21 November 2019",Thc dad 101,False,addition,active,,1,
27394037,"13:02, 21 November 2019",Thc dad 101,False,addition,active,,24,
26649776,"16:27, 6 June 2019",Zodi,False,revert,reverted,Hope E Armstrong,-67,(RCP reverted edits by 64.251.55.130 (talk) to  revision #26253034 by MiscBot)
26649514,"15:09, 6 June 2019",64.251.55.130,False,addition,reverted,Zodi,67,(hit the publish button)
26253034,"23:32, 28 March 2019",MiscBot,False,sourcing,reverted,Zodi,-11,(Updating References section name to match new sitewide conventions)
26197784,"17:14, 18 March 2019",WikiHowUser20220204205835,False,revert,active,,-99,(RCP reverted edits by 169.204.151.247 (talk) to  revision #25358949 by HerrGamer)
26197779,"17:13, 18 March 2019",169.204.151.247,False,addition,reverted,WikiHowUser20220204205835,99,
25358949,"19:17, 4 October 2018",HerrGamer,False,revert,reverted,WikiHowUser20220204205835,-4,(RCP reverted edits by 107.1.219.45 (talk) to  revision #24758641 by Davecrosby)
25358938,"19:14, 4 October 2018",107.1.219.45,False,addition,reverted,HerrGamer,4,
24758641,"11:27, 15 June 2018",Davecrosby,False,revert,reverted,HerrGamer,16484,(Reverted edits by 5.148.158.218 (Talk); changed back to last version by MiscBot)
24758533,"10:26, 15 June 2018",5.148.158.218,False,major_deletion,reverted,Davecrosby,-940,(Replacing page with 'sut up')
24758531,"10:26, 15 June 2018",5.148.158.218,False,major_deletion,reverted,Davecrosby,-15544,(→‎Steps)
24575317,"23:57, 14 May 2018",MiscBot,False,deletion,reverted,Zodi,-445,(Converting summary section to the new Summary template.)
24467742,"16:37, 30 April 2018",RedirectsBot,False,addition,active,,2,(Updating link to point directly to article instead of redirect)
24379104,"23:44, 13 April 2018",Seymour Edits,False,major_addition,active,,567,(adding Quick Summary for wikiHaus)
