Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33230340,"21:41, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
29695671,"07:36, 29 June 2021",MiscBot,False,deletion,active,,-9,(Automatic category consolidation.)
29514204,"09:55, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-78,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29255709,"17:45, 23 February 2021",That21PilotsFan,False,revert,active,,7,(RCP reverted edits by BananaAppleChocolate (talk) to  revision #27382094 by Darkbox)
29253773,"15:57, 23 February 2021",BananaAppleChocolate,False,deletion,reverted,That21PilotsFan,-7,(→‎Finishing the Model: clean up)
27382094,"18:45, 18 November 2019",Darkbox,False,revert,reverted,That21PilotsFan,13230,(RCP reverted edits by Isaac Wray (talk) to  revision #27351729 by 66.74.207.237)
27382091,"18:44, 18 November 2019",Isaac Wray,False,addition,reverted,Darkbox,167,
27382079,"18:40, 18 November 2019",Isaac Wray,False,deletion,reverted,Darkbox,-21,(Removing all content from page)
27382058,"18:32, 18 November 2019",164.52.227.98,False,major_deletion,active,,-13376,(Replacing page with 'just dont you are gay')
27351729,"05:31, 12 November 2019",66.74.207.237,False,deletion,reverted,Darkbox,-1,
27294663,"01:03, 31 October 2019",WikiHowUser20230227233914,False,addition,active,,6,(adding fa tag)
26587088,"09:19, 23 May 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26258763,"23:56, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26214477,"09:14, 22 March 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25371405,"01:58, 7 October 2018",Seymour Edits,False,addition,active,,141,(Added the Summary template to this article)
25094217,"09:17, 17 August 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24607055,"16:22, 18 May 2018",Apoc2626,False,deletion,active,,-9,(Quick edit while patrolling)
24606955,"16:12, 18 May 2018",168.99.161.0,False,addition,active,,19,
23455633,"23:24, 26 October 2017",WikiHow Intern,False,addition,active,,9,(Change to appropriate sub-category)
23189216,"08:46, 10 September 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22812266,"22:07, 9 July 2017",Caeiia,False,revert,active,,-135,(RCP reverted edits by JMRTV2 (talk) to  revision #22695460 by RelatedWikihowsBot)
22811159,"17:55, 9 July 2017",JMRTV2,False,addition,reverted,Caeiia,135,
22695460,"18:38, 26 June 2017",RelatedWikihowsBot,False,deletion,reverted,Caeiia,-49,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22383473,"08:48, 9 May 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22216648,"11:59, 12 April 2017",Leafdapple09,False,cleanup,active,,4,(Fixing misspellings via the Spellchecker tool)
22213162,"18:11, 11 April 2017",WF,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
22205599,"14:51, 10 April 2017",Wikivisual,False,addition,active,,386,(Saving new step-by-step photos)
22195847,"08:46, 8 April 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22075961,"08:51, 20 March 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21782418,"23:24, 1 February 2017",Cactusruby,False,addition,active,,3,(Quick edit while patrollingminor fixes)
21781829,"20:55, 1 February 2017",Hanyardi,False,cleanup,active,,2,(Fixing misspellings via the Spellchecker tool)
21775596,"18:37, 31 January 2017",Programix,False,cleanup,active,,3,(Fixing misspellings via the Spellchecker tool)
21771033,"01:20, 31 January 2017",UnitGuardian,False,addition,active,,28,(Adding conversion template.)
21748836,"00:00, 28 January 2017",Seymour Edits,False,sourcing,active,,512,"(added substeps, source)"
21748624,"22:43, 27 January 2017",Seymour Edits,False,sourcing,active,,8069,"(expanded steps, added sources, restructured for clarity)"
20790175,"03:59, 18 August 2016",Stub Bot,False,addition,active,,24,(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note here.)
20335170,"09:45, 2 June 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20196372,"23:22, 11 May 2016",Lugia2453,False,revert,active,,-43,(Reverted edits by 99.90.65.22 (Talk); changed back to last version by WikihowSaver)
20196365,"23:20, 11 May 2016",99.90.65.22,False,deletion,reverted,Lugia2453,-34,
20196362,"23:19, 11 May 2016",99.90.65.22,False,addition,reverted,Lugia2453,77,
20173944,"22:41, 7 May 2016",WikihowSaver,False,revert,reverted,Lugia2453,-3,(RCP reverted edits by 130.65.109.61 (talk) to  revision #20138088 by Votebot)
20173932,"22:38, 7 May 2016",130.65.109.61,False,addition,reverted,WikihowSaver,3,
20138088,"08:31, 2 May 2016",Votebot,False,adjustment,reverted,WikihowSaver,0,(reordering tips and warnings based on votes)
19625740,"00:29, 12 February 2016",WikiHow Intern,False,deletion,active,,-47,(removing broken link)
19552374,"09:43, 30 January 2016",Votebot,False,adjustment,reverted,WikihowSaver,0,(reordering tips and warnings based on votes)
19340744,"01:10, 9 January 2016",RelatedWikihowsBot,False,deletion,reverted,Caeiia,-322,(Removing redundant wikitext from Related wikiHows section)
18955921,"09:38, 29 November 2015",Votebot,False,adjustment,reverted,WikihowSaver,0,(reordering tips and warnings based on votes)
18748537,"08:40, 29 October 2015",Votebot,False,adjustment,reverted,WikihowSaver,0,(reordering tips and warnings based on votes)
18526339,"08:34, 28 September 2015",Votebot,False,adjustment,reverted,WikihowSaver,0,(reordering tips and warnings based on votes)
18327221,"08:47, 28 August 2015",Votebot,False,adjustment,reverted,WikihowSaver,0,(reordering tips and warnings based on votes)
18180713,"00:21, 8 August 2015",WikiHow Intern,False,deletion,active,,-67,(removing broken link)
18078192,"01:13, 29 July 2015",MiscBot,False,deletion,active,,-154,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
