Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34114154,"05:09, 27 February 2026",MiscBot,False,deletion,active,,-35,(Removed broken video)
34091891,"18:43, 19 February 2026",MiscBot,False,deletion,active,,-85,(Removing Related Articles section)
34076057,"01:33, 19 February 2026",MiscBot,False,revert,active,,87,(Reverting the Related Articles section removal)
34060141,"18:22, 18 February 2026",MiscBot,False,deletion,active,,-87,(Removing Related Articles section)
33810752,"00:14, 5 November 2025",EpcotMagic,False,deletion,active,,-52,(Not mergeable - titles not interchangeable)
33810726,"23:36, 4 November 2025",Arrogance,False,addition,active,,52,
33491559,"02:45, 17 June 2025",Seymour Edits,False,sourcing,active,,102,(Added and replaced sources for the wikiHaus content team.)
31695099,"18:02, 8 June 2023",Seymour Edits,False,sourcing,active,,160,(Replaced bad references for wikiHaus content team)
30955617,"16:46, 10 October 2022",WikiHow Projects,False,addition,active,,45,(adding internal links)
30818356,"22:29, 26 August 2022",Seymour Edits,False,addition,active,,72,"(wikiHow internal test, please don't roll back)"
29521277,"10:40, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-42,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29424698,"10:08, 8 April 2021",RelatedWikihowsBot,False,deletion,active,,-51,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29377113,"19:48, 24 March 2021",Seymour Edits,False,addition,active,,112,(NCA edit.)
28804291,"09:35, 30 October 2020",MiscBot,False,sourcing,active,,-300,(Automatic link maintenance: cleaning up links to references that are broken)
28568261,"10:21, 3 September 2020",RelatedWikihowsBot,False,deletion,active,,-27,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28411432,"03:14, 24 July 2020",RedirectsBot,False,addition,active,,1,(Updating link to point directly to article instead of redirect)
28207347,"10:20, 4 June 2020",RelatedWikihowsBot,False,deletion,active,,-38,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27656080,"08:02, 29 January 2020",Shuprizen,False,revert,active,,102,(RCP reverted edits by 43.240.6.233 (talk) to  revision #27633972 by HumanBeing)
27655733,"04:05, 29 January 2020",43.240.6.233,False,deletion,reverted,Shuprizen,-102,
27633972,"10:20, 23 January 2020",HumanBeing,False,revert,reverted,Shuprizen,-77,(RCP reverted edits by 103.97.184.50 (talk) to  revision #27307945 by Wikivisual)
27633872,"10:01, 23 January 2020",103.97.184.50,False,addition,reverted,HumanBeing,77,
27307945,"11:16, 3 November 2019",Wikivisual,False,addition,reverted,HumanBeing,306,(Saving new step-by-step photos)
27188740,"16:12, 8 October 2019",Alabaster,False,deletion,active,,-2,(Quick edit while patrolling)
27188600,"15:44, 8 October 2019",31.125.111.19,False,addition,active,,2,
27044822,"18:55, 6 September 2019",Seymour Edits,False,major_deletion,active,,-752,(revised to focus on actionable language; reordered text; added explanation; updated step titles; added info for clarity; proofread)
27030829,"12:12, 5 September 2019",Seymour Edits,False,major_addition,active,,4071,(rewrote article; kept relevant images)
26780525,"11:45, 10 July 2019",Caitlynn L,False,revert,active,,95,(RCP reverted edits by 49.248.110.166 (talk) to  revision #21916032 by SarahB)
26780431,"10:42, 10 July 2019",49.248.110.166,False,deletion,reverted,Caitlynn L,-95,
21916032,"11:25, 22 February 2017",SarahB,False,revert,reverted,Caitlynn L,0,(RCP reverted edits by 45.118.9.192 (talk) to  revision #21592923 by 43.225.25.50)
21915935,"10:44, 22 February 2017",45.118.9.192,False,adjustment,reverted,SarahB,0,
21592923,"11:52, 2 January 2017",43.225.25.50,False,deletion,reverted,SarahB,-4,
