Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34089426,"18:10, 19 February 2026",MiscBot,False,deletion,active,,-193,(Removing Related Articles section)
34073467,"00:55, 19 February 2026",MiscBot,False,revert,active,,207,(Reverting the Related Articles section removal)
34057531,"17:42, 18 February 2026",MiscBot,False,deletion,active,,-207,(Removing Related Articles section)
33757613,"20:17, 15 October 2025",WikiHow Projects,False,addition,active,,34,(Adding internal links)
33565259,"01:01, 22 July 2025",MiscBot,False,deletion,active,,-244,(Automatic external link checking: updating and/or deleting links that are broken)
32755927,"23:27, 1 September 2024",Seymour Edits,False,sourcing,active,,936,(Added references for wikiHaus content team)
32255797,"16:42, 2 February 2024",Zygomatt,False,revert,active,,1169,(accidental revert)
32255612,"14:41, 2 February 2024",WikiCat,False,revert,active,,-1169,(Reverted edits by Unicornpuppy (Talk); changed back to last version by 24.94.147.106)
32255611,"14:41, 2 February 2024",WikiCat,False,revert,active,,1169,(Reverted edits by 24.94.147.106 (Talk); changed back to last version by Seymour Edits)
32255596,"14:36, 2 February 2024",24.94.147.106,False,major_deletion,reverted,WikiCat,-1155,
32255594,"14:34, 2 February 2024",24.94.147.106,False,deletion,reverted,WikiCat,-14,
30801856,"03:26, 22 August 2022",Seymour Edits,False,sourcing,reverted,WikiCat,-6,(Removed/Added sources for the wikiHaus content team)
30801844,"03:25, 22 August 2022",Seymour Edits,False,sourcing,reverted,WikiCat,1,(Removed/Added sources for the wikiHaus content team)
30801841,"03:24, 22 August 2022",Seymour Edits,False,sourcing,reverted,WikiCat,6,(Removed/Added sources for the wikiHaus content team)
30552232,"10:53, 17 May 2022",XxVxX,False,revert,active,,-245,(RCP reverted edits by 217.165.30.65 (talk) to  revision #30546270 by MartinBilis)
30552177,"10:29, 17 May 2022",217.165.30.65,False,addition,reverted,XxVxX,18,
30552166,"10:27, 17 May 2022",217.165.30.65,False,addition,reverted,XxVxX,222,
30552162,"10:23, 17 May 2022",217.165.30.65,False,addition,reverted,XxVxX,5,
30546270,"10:39, 15 May 2022",MartinBilis,False,revert,reverted,XxVxX,42,(RCP reverted edits by 41.174.121.58 (talk) to  revision #30467900 by MylesWrites)
30546173,"09:21, 15 May 2022",41.174.121.58,False,deletion,reverted,MartinBilis,-42,
30467900,"14:00, 15 April 2022",MylesWrites,False,revert,reverted,MartinBilis,7838,(RCP reverted edits by 82.212.115.137 (talk) to  revision #30361071 by Wikivisual)
30467792,"12:52, 15 April 2022",82.212.115.137,False,major_deletion,reverted,MylesWrites,-7838,(Removing all content from page)
30361071,"14:06, 6 March 2022",Wikivisual,False,addition,reverted,MylesWrites,90,(Saving new step-by-step photos)
30219907,"13:10, 20 January 2022",Eric,False,revert,active,,-21,(RCP reverted edits by 60.243.161.145 (talk) to  revision #29816784 by Puchumoni)
30218828,"10:29, 20 January 2022",60.243.161.145,False,addition,reverted,Eric,21,
29816784,"10:55, 18 August 2021",Buterflie,False,revert,reverted,Eric,-35,(RCP reverted edits by 41.113.55.227 (talk) to  revision #29642802 by Crisscross8)
29816598,"08:41, 18 August 2021",41.113.55.227,False,deletion,reverted,Buterflie,-9,
29816580,"08:36, 18 August 2021",41.113.55.227,False,addition,reverted,Buterflie,44,
29642802,"23:48, 9 June 2021",Crisscross8,False,revert,reverted,Buterflie,-53,(RCP reverted edits by 131.242.30.121 (talk) to  revision #27881384 by WikiHow Projects)
29642783,"23:33, 9 June 2021",131.242.30.121,False,addition,reverted,Crisscross8,7,
29642779,"23:26, 9 June 2021",131.242.30.121,False,addition,reverted,Crisscross8,46,
27881384,"03:25, 21 March 2020",WikiHow Projects,False,deletion,reverted,Crisscross8,-151,(removing broken link)
