Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34090954,"18:30, 19 February 2026",MiscBot,False,deletion,active,,-68,(Removing Related Articles section)
34075068,"01:18, 19 February 2026",MiscBot,False,revert,active,,71,(Reverting the Related Articles section removal)
34059124,"18:05, 18 February 2026",MiscBot,False,deletion,active,,-71,(Removing Related Articles section)
30733275,"00:52, 28 July 2022",MiscBot,False,addition,active,,18,(adding magic word for horizontal table of contents)
30551031,"20:53, 16 May 2022",Seymour Edits,False,addition,active,,6,(tweaked headers)
30539506,"19:28, 12 May 2022",Seymour Edits,False,deletion,active,,-27,(Updating headers for TOC project.)
27394901,"15:56, 21 November 2019",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
27368511,"14:42, 15 November 2019",Wikivisual,False,major_addition,active,,679,(Saving new step-by-step photos)
27202697,"19:21, 11 October 2019",Seymour Edits,False,addition,active,,405,(added info for clarity; revised awkward text; updated step titles; proofread)
27136429,"15:17, 26 September 2019",Seymour Edits,False,addition,active,,210,(researched to add/clarify info; added text for clarity; revised intro; proofread)
27131826,"18:02, 25 September 2019",Seymour Edits,False,sourcing,active,,1458,(updated intro; replaced sources; added steps; added info for clarity; added explanation; updated section; proofread and revised)
27126842,"16:35, 24 September 2019",Seymour Edits,False,major_addition,active,,3035,(rewrote article; kept relevant images)
27080152,"00:19, 15 September 2019",Seymour Edits,False,addition,active,,133,(Added the Summary template to this article)
26694294,"10:19, 18 June 2019",Seymour Edits,False,sourcing,active,,638,(Added sources for the wikihaus content team.)
26249807,"23:18, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
21299901,"07:53, 8 November 2016",Flickety,False,addition,active,,16,(Switch to appropriate category)
19357110,"03:24, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-48,(Removing redundant wikitext from Related wikiHows section)
19107345,"19:47, 21 December 2015",Anna,False,deletion,active,,-9,(Quick edit while patrolling)
19097288,"01:11, 20 December 2015",24.32.33.159,False,addition,active,,123,(→‎Steps)
18092509,"06:38, 29 July 2015",MiscBot,False,deletion,active,,-238,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17959889,"18:44, 27 July 2015",InterwikiBot,False,deletion,active,,-35,"(Removing interwiki links, no longer needed in wikitext)"
15860366,"19:08, 10 November 2014",MiscBot,False,addition,active,,14,(Adding conversion template.)
11627943,"18:06, 31 October 2013",Wikiphoto,False,addition,active,,149,(Enlarging and centering Steps photos)
11627942,"18:06, 31 October 2013",Wikiphoto,False,major_addition,active,,762,(Saving new step-by-step photos)
10873404,"02:58, 21 August 2013",Loiswade42,False,revert,active,,-160,(Reverted edits by 122.163.199.134 (Talk); changed back to last version by Byankno1)
10852345,"14:29, 19 August 2013",122.163.199.134,False,addition,reverted,Loiswade42,160,(→‎Related wikiHows)
10057178,"13:23, 1 June 2013",EpcotMagic,False,addition,active,,39,(Adding video via video picker tool)
9340946,"05:47, 5 March 2013",InterwikiBot,False,addition,active,,35,(Adding interwiki link)
8704615,"02:53, 10 November 2012",Stevecon,False,major_addition,active,,1368,
8172621,"21:15, 30 July 2012",Stevecon,False,revert,active,,-642,(Reverted edits by Stevecon (Talk); changed back to last version by Okilde)
8172612,"21:14, 30 July 2012",Stevecon,False,major_addition,reverted,Stevecon,642,(→‎Steps)
8010737,"14:05, 30 June 2012",Okilde,False,addition,reverted,Stevecon,19,(Edits from the spell checker tool)
7642184,"06:20, 24 April 2012",Ashish Pratap Singh,False,addition,active,,46,(Edit via Image Picker: Added an image)
6590128,"13:48, 4 September 2011",WikiChic15,False,addition,active,,111,(related wikihows)
6264763,"08:03, 26 June 2011",IngeborgK,False,addition,active,,37,(categorization)
6264694,"07:00, 26 June 2011",WRM,False,major_addition,active,,4162,(Creating new article)
