Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33227496,"21:02, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32751393,"13:32, 30 August 2024",RubyRoseRain,False,deletion,active,,-38,
31752599,"14:42, 30 June 2023",ICanGuessItLol,False,deletion,active,,-48,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
31752114,"09:34, 30 June 2023",Seall,False,addition,active,,51,(Adding video via video picker tool)
31453082,"11:30, 20 March 2023",Wikivisual,False,major_addition,active,,1388,(Saving new step-by-step photos)
28690611,"13:07, 3 October 2020",Eric,False,revert,active,,-21,(Reverted edits by 60.52.60.8 (Talk); changed back to last version by Seymour Edits)
28690511,"11:51, 3 October 2020",60.52.60.8,False,addition,reverted,Eric,21,(-THE END -)
28674435,"14:49, 29 September 2020",Seymour Edits,False,sourcing,reverted,Eric,-24,(replaced bad sources for the wikihaus content team)
27812559,"19:20, 4 March 2020",WikiHow Projects,False,deletion,active,,-105,(removing broken link)
26783426,"05:58, 11 July 2019",WikiHowUser20230227233914,False,revert,active,,515,(Reverted edits by Quinton310 (Talk); changed back to last version by Seymour Edits)
26783420,"05:55, 11 July 2019",Quinton310,False,revert,reverted,WikiHowUser20230227233914,-515,(RCP reverted edits by Seymour Edits (talk) to  revision #26487643 by Zodi)
26783403,"05:42, 11 July 2019",Seymour Edits,False,sourcing,reverted,Eric,515,(Added sources for the wikihaus content team)
26487643,"16:44, 30 April 2019",Zodi,False,revert,reverted,Quinton310,18,(RCP reverted edits by Turdsparkle (talk) to  revision #26303645 by MiscBot)
26487608,"16:33, 30 April 2019",Turdsparkle,False,deletion,reverted,Zodi,-18,(→‎Ingredients)
26303645,"03:22, 29 March 2019",MiscBot,False,sourcing,reverted,Zodi,-9,(Updating References section name to match new sitewide conventions)
24896242,"17:17, 13 July 2018",Seymour Edits,False,addition,reverted,Eric,144,(Added the Summary template to this article)
21746270,"17:14, 27 January 2017",WikihowSaver,False,deletion,active,,-10,(categorizing)
18636562,"03:11, 13 October 2015",Wikivisual,False,major_addition,active,,1228,(Saving new step-by-step photos)
17223958,"20:55, 28 April 2015",Chelsea urbano,False,addition,active,,31,(categorization)
17223380,"18:56, 28 April 2015",WRM,False,major_addition,active,,9263,"(New page: If you don't have access to an oven or don't want to turn your oven on during hot weather, you can still enjoy homemade cake by utilizing an alternative cooking method. Some of the easi...)"
