Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33235470,"16:29, 11 March 2025",Stub Bot,False,deletion,active,,-24,
29980308,"15:23, 17 October 2021",WikiHow Projects,False,deletion,active,,-230,(removing broken link)
26294476,"02:38, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24033303,"13:35, 14 February 2018",WikiHow Intern,False,deletion,active,,-11,(Change to appropriate sub-category)
22353685,"16:35, 5 May 2017",Stub Bot,False,addition,active,,24,(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note here.)
19329001,"00:01, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-25,(Removing redundant wikitext from Related wikiHows section)
18064079,"21:12, 28 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17919412,"00:19, 25 July 2015",InterwikiBot,False,deletion,active,,-73,"(Removing interwiki links, no longer needed in wikitext)"
15685912,"18:43, 21 October 2014",InterwikiBot,False,addition,active,,35,(Adding interwiki link)
13522144,"06:05, 6 May 2014",Wikivisual,False,addition,active,,40,(Enlarging and centering Steps photos)
13522143,"06:05, 6 May 2014",Wikivisual,False,deletion,active,,-40,(Saving new step-by-step photos)
13519678,"21:40, 5 May 2014",Wikivisual,False,addition,active,,40,(Enlarging and centering Steps photos)
13519676,"21:40, 5 May 2014",Wikivisual,False,addition,active,,264,(Saving new step-by-step photos)
13141206,"00:18, 1 April 2014",InterwikiBot,False,addition,active,,38,(Adding interwiki link)
13085979,"23:57, 25 March 2014",Wikiphoto,False,deletion,active,,-325,(Removing all images from article.)
12543157,"05:56, 30 January 2014",Wikiphoto,False,addition,active,,5,(Enlarging and centering Steps photos)
12543156,"05:56, 30 January 2014",Wikiphoto,False,deletion,active,,-63,(Saving new step-by-step photos)
12451115,"12:27, 20 January 2014",Wikiphoto,False,addition,active,,64,(Enlarging and centering Steps photos)
12451114,"12:27, 20 January 2014",Wikiphoto,False,addition,active,,336,(Saving new step-by-step photos)
7666977,"15:37, 29 April 2012",Gloster flyer,False,addition,active,,2,(Edits from the spell checker tool)
6724151,"00:16, 9 October 2011",Maniac,False,deletion,active,,-54,(Edit via Quality Guardian: Removed image that didn't perfectly match the text.)
6658532,"00:53, 22 September 2011",Boosnap510,False,addition,active,,55,(Edit via Image Picker: Added an image)
6654882,"00:13, 21 September 2011",BR,False,revert,active,,-46,(Reverted edits by 911emo (Talk); changed back to last version by Wendy Weaver)
6654845,"00:03, 21 September 2011",911emo,False,addition,reverted,BR,46,(Edit via Image Picker: Added an image)
6651653,"00:43, 20 September 2011",Wendy Weaver,False,addition,reverted,BR,73,(Weaving the web of links)
6602832,"05:15, 7 September 2011",WRM,False,sourcing,active,,-120,(→‎Sources and Citations)
6061128,"11:11, 24 May 2011",WikiHowUser20221012045502,False,addition,active,,32,(categorization)
5870568,"18:00, 14 April 2011",WRM,False,major_addition,active,,3640,(Creating new article)
