Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
29994204,"03:13, 21 October 2021",MiscBot,False,deletion,active,,-11,(Automatic category consolidation.)
28177805,"02:45, 29 May 2020",Seymour Edits,False,deletion,active,,-164,(Link cleanup.)
27040179,"06:32, 6 September 2019",ExoticComet,False,deletion,active,,-6,(improving apostrophe consistency)
26287757,"02:07, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24006365,"16:56, 9 February 2018",WikiHow Intern,False,deletion,active,,-13,(Change to appropriate sub-category)
22770887,"21:50, 2 July 2017",WikiHow Projects,False,deletion,active,,-73,(removing broken link)
21366818,"13:56, 19 November 2016",Wikivisual,False,addition,active,,324,(Saving new step-by-step photos)
21267618,"22:45, 2 November 2016",Flickety,False,addition,active,,8,(Switch to appropriate category)
19357994,"03:32, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-103,(Removing redundant wikitext from Related wikiHows section)
18667498,"22:56, 16 October 2015",Seymour Edits,False,cleanup,active,,5375,"(Expanded to multiple parts, added steps, added citations, fixed typos, moved images.)"
17984192,"07:36, 28 July 2015",MiscBot,False,deletion,active,,-56,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17587743,"20:29, 11 June 2015",Stub Bot,False,addition,active,,24,"(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note <a href=""/wikiHow_talk:Article-Review-Team"" title=""wikiHow_talk:Article Review Team"">here</a>.)"
15858788,"18:35, 10 November 2014",MiscBot,False,addition,active,,14,(Adding conversion template.)
13187195,"05:51, 3 April 2014",Wikiphoto,False,addition,active,,37,(Enlarging and centering Steps photos)
13187194,"05:51, 3 April 2014",Wikiphoto,False,addition,active,,276,(Saving new step-by-step photos)
13085864,"23:51, 25 March 2014",Wikiphoto,False,deletion,active,,-244,(Removing all images from article.)
12742988,"03:23, 20 February 2014",Wikiphoto,False,addition,active,,116,
12642886,"22:41, 9 February 2014",Wikiphoto,False,deletion,active,,-116,(Enlarging and centering Steps photos)
12642885,"22:41, 9 February 2014",Wikiphoto,False,addition,active,,117,(Saving new step-by-step photos)
11697271,"02:06, 6 November 2013",TwilightSky,False,adjustment,active,,0,(Edits from the spell checker tool)
5211483,"17:17, 2 November 2010",BoldStepFixer,False,deletion,active,,-24,(fixing the bold issue)
4743877,"17:43, 24 June 2010",Iamcute4,False,addition,active,,119,(Added Image using ImageAdder Tool)
3746658,"23:56, 24 August 2009",Venita Stead,False,addition,active,,11,
3034439,"19:01, 24 January 2009",WikiHowUser20221012045502,False,addition,active,,232,(Related wikiHows)
3026202,"05:09, 22 January 2009",Flickety,False,adjustment,active,,0,(Get Ice Dams off of Your Roof moved to Get Ice Dams Off Your Roof)
3026201,"05:09, 22 January 2009",Flickety,False,addition,active,,35,(categorization WHAT?!)
3026199,"05:08, 22 January 2009",Flickety,False,deletion,active,,-27,(Cleanup removed)
3026198,"05:08, 22 January 2009",Flickety,False,addition,active,,186,(Edit)
3026068,"04:20, 22 January 2009",Laptop123,False,addition,active,,26,
3023680,"16:27, 21 January 2009",Editor590489584,False,addition,active,,29,
3022147,"02:29, 21 January 2009",74.78.196.232,False,major_addition,active,,617,"(New page: immediate solutions to ice dams on roof == Steps == #  u seing a snow rake , keep snow off roof from gutter , 4 feet up. fill a womens stocking with calcium chloride , not rock salt. use i...)"
