Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33521492,"03:28, 30 June 2025",ICanGuessItLol,False,deletion,active,,-3,(Fix awkward spacing from intro)
30811510,"20:57, 24 August 2022",Seymour Edits,False,addition,active,,116,"(wikiHow internal test, please don't roll back)"
30228573,"10:00, 22 January 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29768715,"09:07, 30 July 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29546135,"08:57, 13 May 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
28833330,"10:24, 6 November 2020",MiscBot,False,sourcing,active,,-279,(Automatic link maintenance: cleaning up links to references that are broken)
28047882,"19:24, 28 April 2020",Caitlynn L,False,revert,active,,-8834,(revert for wikiHaus test - message me if you have any questions)
27435334,"16:46, 2 December 2019",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
27330833,"15:42, 7 November 2019",Wikivisual,False,major_addition,active,,1051,(Saving new step-by-step photos)
27223225,"17:27, 16 October 2019",Sophia B,False,addition,active,,35,(defined a term in the intro)
27219673,"21:10, 15 October 2019",Seymour Edits,False,sourcing,active,,209,"(Adding new steps, changing intro, editing sources)"
27214829,"18:09, 14 October 2019",Seymour Edits,False,sourcing,active,,7539,"(Adding new parts, sources, and greenboxes)"
26349526,"08:05, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25584068,"18:12, 12 November 2018",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
19850663,"08:43, 20 March 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19679409,"11:02, 20 February 2016",122.129.124.233,False,deletion,active,,-15,
19663772,"09:47, 18 February 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16832755,"20:30, 8 March 2015",XxVxX,False,revert,active,,15,(RCP reverted edits by 188.109.15.95 (talk) to  revision #16529274 by Wikivisual)
16832741,"20:28, 8 March 2015",188.109.15.95,False,deletion,reverted,XxVxX,-15,
16529274,"19:51, 2 February 2015",Wikivisual,False,adjustment,reverted,XxVxX,0,(Saving new step-by-step photos)
16524626,"03:31, 2 February 2015",Wikivisual,False,addition,reverted,XxVxX,160,(Saving new step-by-step photos)
16510724,"23:55, 30 January 2015",Wikivisual,False,major_addition,reverted,XxVxX,749,(Saving new step-by-step photos)
15855844,"15:01, 10 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14445972,"18:24, 5 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12790553,"11:27, 24 February 2014",Benas51,False,addition,active,,47,(Adding video via video picker tool)
11693922,"21:52, 5 November 2013",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
11651525,"16:44, 2 November 2013",Votebot,False,addition,active,,3,(reordering tips and warnings based on votes)
10053191,"00:44, 1 June 2013",Krystle,False,revert,active,,76,(Reverted edits by 117.242.144.149 (Talk); changed back to last version by Votebot)
10025935,"10:45, 29 May 2013",117.242.144.149,False,deletion,reverted,Krystle,-76,
9788537,"15:59, 3 May 2013",Votebot,False,adjustment,reverted,Krystle,0,(reordering tips and warnings based on votes)
8221307,"03:14, 8 August 2012",Elocina,False,addition,active,,43,(Edit via Image Picker: Added an image)
6692851,"01:21, 1 October 2011",BR,False,revert,active,,-62,(Reverted edits by Queenkiwi (Talk); changed back to last version by Byankno1)
6688478,"20:24, 29 September 2011",Queenkiwi,False,addition,reverted,BR,62,(Edit via Image Picker: Added an image)
6686173,"04:39, 29 September 2011",EpcotMagic,False,addition,active,,44,(categorization)
6151582,"02:00, 7 June 2011",WRM,False,major_addition,active,,5083,(Creating new article)
