Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32988054,"17:36, 9 December 2024",Seymour Edits,False,addition,active,,191,
32799588,"22:27, 22 September 2024",WikiHow Horizon 3,False,deletion,active,,-73,(Deleted link)
32369751,"05:04, 18 March 2024",WikiHow Projects,False,deletion,active,,-110,(removing broken link)
31171196,"08:08, 15 December 2022",Seymour Edits,False,addition,active,,158,(Expert citation addition)
31010032,"16:34, 25 October 2022",MiscBot,False,cleanup,active,,-18,(Reformatting the Things You Should Know section)
30837519,"23:24, 1 September 2022",Seymour Edits,False,deletion,active,,-4,(Minor sentence structure correction)
30837516,"23:23, 1 September 2022",Seymour Edits,False,addition,active,,335,"(wikiHow internal test, please don't roll back)"
30053401,"09:58, 11 November 2021",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
29998664,"14:21, 22 October 2021",Wikivisual,False,major_addition,active,,712,(Saving new step-by-step photos)
29974482,"22:32, 14 October 2021",Seymour Edits,False,major_addition,active,,914,
29974036,"19:04, 14 October 2021",DWhisnant,False,cleanup,active,,1,(typo)
29969364,"03:07, 13 October 2021",Seymour Edits,False,addition,active,,138,(Added the Summary template to this article)
29969360,"03:05, 13 October 2021",Seymour Edits,False,addition,active,,3,
29969359,"03:05, 13 October 2021",Seymour Edits,False,major_addition,active,,5586,
29936286,"19:25, 30 September 2021",Seymour Edits,False,deletion,active,,-11,(tweaked header titles for internal project)
26346823,"07:47, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
18034313,"16:17, 28 July 2015",MiscBot,False,deletion,active,,-98,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17908454,"20:42, 24 July 2015",InterwikiBot,False,deletion,active,,-158,"(Removing interwiki links, no longer needed in wikitext)"
13687447,"17:30, 22 May 2014",InterwikiBot,False,addition,active,,55,(Adding interwiki link)
13156787,"03:12, 1 April 2014",InterwikiBot,False,addition,active,,39,(Adding interwiki link)
13147092,"01:25, 1 April 2014",InterwikiBot,False,addition,active,,30,(Adding interwiki link)
12111859,"13:56, 15 December 2013",Wikiphoto,False,addition,active,,64,(Enlarging and centering Steps photos)
12111858,"13:56, 15 December 2013",Wikiphoto,False,addition,active,,310,(Saving new step-by-step photos)
11488748,"22:53, 21 October 2013",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
10240640,"16:24, 20 June 2013",InterwikiBot,False,addition,active,,34,(Adding interwiki link)
9103665,"23:18, 26 January 2013",BR,False,revert,active,,-8,(Reverted edits by 86.15.1.110 (Talk); changed back to last version by Jam3swilliams)
9103413,"22:03, 26 January 2013",86.15.1.110,False,addition,reverted,BR,8,
9052935,"21:21, 17 January 2013",Jam3swilliams,False,addition,reverted,BR,54,(Edit via Image Picker: Added an image)
8028270,"17:55, 3 July 2012",ColinJ,False,deletion,active,,-1,(Quick edit while patrolling)
8028118,"17:33, 3 July 2012",99.65.214.209,False,addition,active,,1,(→‎Steps)
7148594,"02:13, 18 January 2012",Cheeser,False,addition,active,,37,(categorization)
7120631,"05:49, 12 January 2012",WRM,False,major_addition,active,,2197,(New page: Use voltage testers to confirm that you have shut off electricity to a receptacle or fixture when you are doing any kind of electrical work. Different models will help you to accomplish di...)
