Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33719196,"21:07, 6 October 2025",Leyassine,False,deletion,active,,-1,
33487573,"02:16, 15 June 2025",Bhoimus,False,addition,active,,19,(adding Horizontal TOC magic word (forums.wikihow.com/t/16140))
33352083,"18:01, 26 April 2025",MiscBot,False,addition,active,,5,(Automatic external link checking: updating and/or deleting links that are broken)
32381426,"20:39, 21 March 2024",WikiHow Intern,False,revert,active,,248,(Reverting Static to Video for STU)
32359656,"08:47, 13 March 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32272438,"22:40, 7 February 2024",WikiHow Intern,False,deletion,active,,-248,(Changing some videos to static images for STU)
31960672,"04:04, 27 September 2023",WikiHow Projects,False,revert,active,,0,(formatting article for wikiHaus - please do not revert)
31896557,"10:49, 29 August 2023",WikiHow Projects,False,deletion,active,,-476,(removing broken links)
31896555,"10:47, 29 August 2023",WikiHow Projects,False,addition,active,,2,(updating link)
31816555,"17:11, 27 July 2023",WikiHow Projects,False,revert,active,,-4,(formatting article for wikiHaus - please do not revert)
31677305,"16:55, 1 June 2023",Wikivisual,False,major_addition,active,,1344,(Saving new step-by-step photos)
31171402,"09:42, 15 December 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30997212,"16:57, 21 October 2022",Seymour Edits,False,addition,active,,9,(Corrected expert citation)
30997211,"16:56, 21 October 2022",Seymour Edits,False,addition,active,,151,(Added expert citation)
29523813,"10:56, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-26,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29290605,"11:24, 4 March 2021",RelatedWikihowsBot,False,deletion,active,,-39,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27548396,"11:33, 2 January 2020",RelatedWikihowsBot,False,deletion,active,,-32,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26674062,"09:20, 13 June 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26253050,"23:32, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25976502,"10:15, 3 February 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25525416,"09:20, 2 November 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24943981,"23:13, 22 July 2018",Seymour Edits,False,addition,active,,145,(Added the Summary template to this article)
23802676,"19:31, 2 January 2018",Caeiia,False,addition,active,,2,
22845452,"08:44, 15 July 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22618820,"08:45, 14 June 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21785151,"09:44, 2 February 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21379032,"23:57, 21 November 2016",Anna,False,addition,active,,20,(categ)
20651129,"08:44, 25 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20517877,"12:31, 2 July 2016",Wikivisual,False,major_addition,active,,715,(Saving new step-by-step photos)
20020207,"08:52, 14 April 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19923522,"16:12, 31 March 2016",Seymour Edits,False,major_addition,active,,517,(clarified content and added sourcing material)
19908564,"16:41, 29 March 2016",Seymour Edits,False,major_addition,active,,7136,(increased content and sourcing and added options)
19901085,"18:02, 28 March 2016",Anna,False,revert,active,,-2396,(Reverted edits by Seymour Edits (Talk); changed back to last version by Jcomeau_ictx)
19886188,"18:51, 25 March 2016",Seymour Edits,False,revert,reverted,Anna,2396,(Reverted edits by Jcomeau ictx (Talk); changed back to last version by Seymour Edits)
19867686,"21:44, 22 March 2016",Jcomeau_ictx,False,revert,reverted,Anna,-2396,(Reverted edits by Seymour Edits (Talk); changed back to last version by RelatedWikihowsBot)
19867593,"21:32, 22 March 2016",Seymour Edits,False,major_addition,reverted,Anna,2396,(increased content and sourcing)
19344201,"01:34, 9 January 2016",RelatedWikihowsBot,False,deletion,reverted,Jcomeau_ictx,-177,(Removing redundant wikitext from Related wikiHows section)
18079429,"01:37, 29 July 2015",MiscBot,False,deletion,active,,-28,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17942597,"17:18, 27 July 2015",InterwikiBot,False,deletion,active,,-113,"(Removing interwiki links, no longer needed in wikitext)"
17573646,"18:07, 10 June 2015",Jcomeau_ictx,False,addition,reverted,Anna,16,
17573410,"18:04, 10 June 2015",Jcomeau_ictx,False,revert,reverted,Anna,18,(Reverted edits by WikihowSaver (Talk); changed back to last version by Jcomeau_ictx)
17569816,"11:23, 10 June 2015",WikihowSaver,False,deletion,reverted,Jcomeau_ictx,-18,(removed not helpful related wikiHows and added better ones)
