Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33400521,"01:00, 15 May 2025",MiscBot,False,addition,active,,55,(Automatic external link checking: updating and/or deleting links that are broken)
33223553,"20:08, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32666821,"16:36, 21 July 2024",WikiHow Horizon,False,addition,active,,175,(Updated link/s)
31296034,"02:51, 27 January 2023",65.185.87.44,False,addition,active,,22,
31148912,"19:34, 8 December 2022",Thomas_Ch,False,cleanup,active,,-22,(fixed typo)
30703279,"14:14, 17 July 2022",WikiHow Projects,False,revert,active,,-1,(formatting article for wikiHaus - please do not revert)
30185411,"19:08, 6 January 2022",Kyle Hall,False,revert,active,,-2,(Reverted edits by Kyle Hall (Talk); changed back to last version by NotAnAlien1024)
29574617,"18:59, 21 May 2021",Kyle Hall,False,addition,reverted,Kyle Hall,2,(reordered methods)
29015340,"09:45, 22 December 2020",NotAnAlien1024,False,addition,reverted,Kyle Hall,47,(categorization)
28984872,"09:43, 14 December 2020",CategoryGuardian,False,deletion,active,,-37,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
28525795,"22:43, 24 August 2020",Kyle Hall,False,deletion,reverted,Kyle Hall,-87,(integrated expert GB)
28370561,"23:21, 13 July 2020",Seymour Edits,False,addition,active,,38,
27930673,"22:37, 1 April 2020",Sean Volavong,False,addition,active,,247,(Updated green box.)
26257803,"23:52, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26102946,"10:54, 28 February 2019",Seymour Edits,False,addition,active,,140,(Added the Summary template to this article)
25070431,"13:36, 13 August 2018",Wikivisual,False,major_addition,active,,1021,(Saving new step-by-step photos)
24996047,"12:49, 31 July 2018",Seymour Edits,False,addition,active,,281,(edited article)
24973411,"17:57, 27 July 2018",Seymour Edits,False,addition,active,,112,(edited article)
24973406,"17:56, 27 July 2018",Seymour Edits,False,major_addition,active,,7896,(edited article)
24858974,"17:06, 5 July 2018",Wikivisual,False,addition,active,,80,(Saving new step-by-step photos)
24695175,"12:36, 4 June 2018",Wikivisual,False,deletion,active,,-8,(Saving new step-by-step photos)
21975030,"09:53, 3 March 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21527138,"16:10, 18 December 2016",24.239.119.79,False,addition,active,,127,(→‎Tips)
21047987,"08:18, 30 September 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19350814,"02:27, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-127,(Removing redundant wikitext from Related wikiHows section)
18086829,"04:14, 29 July 2015",MiscBot,False,deletion,active,,-112,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17953638,"18:26, 27 July 2015",InterwikiBot,False,deletion,active,,-311,"(Removing interwiki links, no longer needed in wikitext)"
17722315,"13:27, 2 July 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16088513,"14:57, 7 December 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15825975,"15:36, 6 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15477560,"18:45, 27 September 2014",Anna,False,revert,active,,11,(Reverted edits by Helenny (Talk); changed back to last version by WanderWoman)
15476645,"18:38, 27 September 2014",Helenny,False,revert,reverted,Anna,-11,(RCP reverted edits by WanderWoman (talk) to  revision #13162367 by InterwikiBot)
15476584,"18:25, 27 September 2014",WanderWoman,False,addition,reverted,Anna,11,(Parts to Methods.)
13162367,"04:21, 1 April 2014",InterwikiBot,False,addition,reverted,Helenny,75,(Adding interwiki link)
12387565,"01:22, 14 January 2014",Isorhythmic,False,revert,active,,2,(Reverted edits by 2.97.156.77 (Talk); changed back to last version by Votebot)
12385198,"18:53, 13 January 2014",2.97.156.77,False,deletion,reverted,Isorhythmic,-2,(→‎Things You'll Need)
11589643,"22:58, 28 October 2013",Votebot,False,deletion,reverted,Isorhythmic,-2,(reordering tips and warnings based on votes)
11486717,"22:23, 21 October 2013",Votebot,False,addition,reverted,Isorhythmic,2,(reordering tips and warnings based on votes)
10699655,"23:40, 6 August 2013",MiscBot,False,deletion,active,,-15,(Removing nointroimg template)
10691890,"16:56, 6 August 2013",InterwikiBot,False,addition,reverted,Helenny,43,(Adding interwiki link)
10479624,"16:36, 15 July 2013",InterwikiBot,False,addition,reverted,Helenny,43,(Adding interwiki link)
10333598,"16:09, 30 June 2013",InterwikiBot,False,addition,reverted,Helenny,49,(Adding interwiki link)
10240908,"16:29, 20 June 2013",InterwikiBot,False,addition,reverted,Helenny,51,(Adding interwiki link)
10162603,"17:02, 12 June 2013",InterwikiBot,False,addition,reverted,Helenny,56,(Adding interwiki link)
10109943,"15:04, 7 June 2013",Votebot,False,deletion,reverted,Isorhythmic,-1,(reordering tips and warnings based on votes)
