Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33182145,"19:23, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32643284,"10:15, 11 July 2024",WikiHow Projects,False,deletion,active,,-16,(updating link)
32616273,"09:05, 30 June 2024",151.225.30.116,False,cleanup,active,,-1,(Fix the spelling mistake (chord -> cord))
32428300,"06:42, 11 April 2024",151.225.28.28,False,addition,active,,55,
30441923,"16:21, 4 April 2022",Seymour Edits,False,addition,active,,156,(Added Expert Citations for the Lookback project.)
29886558,"01:12, 15 September 2021",MiscBot,False,deletion,active,,-7,(Automatic category consolidation.)
28685882,"06:40, 2 October 2020",WikiHow Projects,False,revert,active,,64,"(adding comment for test, please don't revert, thanks!)"
28410900,"21:18, 23 July 2020",Seymour Edits,False,addition,active,,38,
26765427,"04:11, 6 July 2019",99.250.44.37,False,adjustment,active,,0,
26675111,"14:24, 13 June 2019",Seymour Edits,False,addition,active,,157,(Added the Summary template to this article)
26276893,"01:20, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26086230,"15:16, 25 February 2019",Wikivisual,False,major_addition,active,,1396,(Saving new step-by-step photos)
25914808,"17:15, 21 January 2019",Dr. Carrie,False,deletion,active,,-39,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
25865427,"16:01, 10 January 2019",Seymour Edits,False,addition,active,,39,(→‎Steps:  fixed minor issues and formatted better)
25865399,"15:56, 10 January 2019",Seymour Edits,False,major_addition,active,,2839,"(changed to methods, added another method)"
25851892,"15:17, 7 January 2019",Seymour Edits,False,sourcing,active,,7296,"(created article. 3 methods, substeps, intro, references)"
24235840,"17:57, 19 March 2018",EpcotMagic,False,deletion,active,,-65,(title changed)
24235839,"17:57, 19 March 2018",EpcotMagic,False,adjustment,active,,0,(Byankno1 moved page Fix a Ceiling Fan to Diagnose a Problem in Your Ceiling Fan without leaving a redirect: more specific to contents)
24235834,"17:56, 19 March 2018",EpcotMagic,False,deletion,active,,-8,(tweak title request - will look at later)
24222200,"18:25, 16 March 2018",SarahB,False,revert,active,,59,(Reverted edits by Dakota Doty (Talk); changed back to last version by Celestiapaw)
24222194,"18:21, 16 March 2018",Dakota Doty,False,revert,reverted,SarahB,-59,(RCP reverted edits by Celestiapaw (talk) to  revision #23884123 by WikiHow Intern)
24222185,"18:18, 16 March 2018",Celestiapaw,False,addition,reverted,SarahB,59,
23884123,"18:06, 18 January 2018",WikiHow Intern,False,deletion,reverted,Dakota Doty,-1,(Change to appropriate sub-category)
21222234,"21:53, 26 October 2016",Flickety,False,addition,active,,10,(Switch to appropriate category)
19279820,"05:26, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-152,(Removing redundant wikitext from Related wikiHows section)
17725696,"17:51, 2 July 2015",WikiHowUser20221012045502,False,addition,active,,329,(Related wikiHows)
17715632,"17:35, 1 July 2015",WikiHow Intern,False,addition,reverted,Dakota Doty,40,(Moving article to quality review. Disagree? Contact me or leave a note here.)
14433023,"14:58, 4 August 2014",Andrea M Thompson,False,addition,active,,24,(categorization)
14432718,"14:22, 4 August 2014",Markis00,False,major_addition,active,,1746,(Creating a new article via the Article Creator)
